start_time,stop_time,avg_intensity
0,5,46.7
5,10,75.8
10,15,44.1
15,20,37.8
20,25,39.7
25,30,39.75
30,35,34.5
35,40,28.9
40,45,28.2
45,50,24.950000000000003
50,55,23.2
55,60,23.25
60,65,24.950000000000003
65,70,27.200000000000003
70,75,24.05
75,80,20.7
80,85,19.8
85,90,19.6
90,95,18.8
95,100,18.299999999999997
100,105,17.450000000000003
105,110,15.75
110,115,14.05
115,120,14.0
120,125,15.55
125,130,18.9
130,135,21.5
135,140,23.950000000000003
140,145,25.2
145,150,25.55
150,155,27.6
155,160,31.95
160,165,37.5
165,170,45.6
170,175,63.93333333333334
175,180,91.4
180,185,100.0
185,190,101.85
190,195,80.75
195,200,39.05
200,205,18.549999999999997
205,210,18.0
210,215,22.65
215,220,27.4
220,225,16.4
225,230,15.25
230,235,17.5
235,240,17.033333333333335
240,245,14.0
245,250,16.4
250,255,30.8
255,260,40.2
260,265,18.3
265,270,10.4
270,275,10.5
275,280,9.75
280,285,9.95
285,290,10.0
290,295,10.0
295,300,10.0
300,305,9.65
305,310,11.166666666666666
310,315,13.3
315,320,13.45
320,325,12.15
325,330,10.25
330,335,9.75
335,340,10.0
340,345,10.0
345,350,10.0
350,355,10.0
355,360,9.5
360,365,10.0
365,370,12.3
370,375,15.55
375,380,14.15
380,385,29.85
385,390,38.0
390,395,17.2
395,400,8.600000000000001
400,405,10.0
405,410,15.05
410,415,24.65
415,420,31.4
420,425,22.6
425,430,12.7
430,435,9.55
435,440,9.75
440,445,10.0
445,450,10.0
450,455,10.0
455,460,10.0
460,465,10.05
465,470,10.1
470,475,10.05
475,480,10.0
480,485,10.0
485,490,10.0
490,495,10.0
495,500,10.0
500,505,10.0
505,510,10.0
510,515,10.0
515,520,10.0
520,525,10.0
525,530,9.65
530,535,10.0
535,540,10.55
540,545,15.35
545,550,27.0
550,555,19.6
555,560,10.0
560,565,8.35
565,570,10.0
570,575,10.0
575,580,10.0
580,585,10.0
585,590,10.0
590,595,10.0
595,600,10.0
600,605,8.7
605,610,11.3
610,615,23.2
615,620,17.9
620,625,10.0
625,630,8.7
630,635,10.0
635,640,10.0
640,645,10.0
645,650,10.0
650,655,10.0
655,660,10.0
660,665,10.0
665,670,10.0
670,675,10.0
675,680,10.0
680,685,10.0
685,690,10.0
690,695,10.0
695,700,10.0
700,705,9.25
705,710,13.8
710,715,17.7
715,720,19.066666666666666
720,725,14.100000000000001
725,730,10.0
730,735,9.2
735,740,10.0
740,745,10.0
745,750,10.0
750,755,10.0
755,760,10.0
760,765,10.0
765,770,10.0
770,775,10.0
775,780,10.0
780,785,10.0
785,790,10.0
790,795,10.0
795,800,10.0
800,805,10.0
805,810,10.0
810,815,7.0
