start_time,end_time,text
0.08,2.71,"So, I just logged into my Roblox account"
2.7199999999999998,4.95,and I got banned. Your behavior at
4.96,7.269,Roblox has been in violation of our
7.279,10.47,terms of use. Reason for spam. Subscribe
10.48,13.589,"to my channel. Sub to my channel,"
13.599,15.87,please. An offensive
15.88,19.51,item. Give me your Roblox. I just wanted
19.52,21.91,"to play some Roblox today. Oh, all I"
21.92,23.75,have to do is agree. You want me to
23.76,27.029,"admit I did all of those? Okay, so we're"
27.039,29.669,back on Roblox. Y'all told me to play
29.679,32.549,"get a snack at 4:00 a.m., which sounds"
32.559,34.709,right up my alleyway. I love a late
34.719,36.91,"night snack. It's me, your"
36.92,39.19,self-conscious. I am interrupting your
39.2,41.67,sleep to say that you are starving. You
41.68,43.75,appear to be waking up due to your
43.76,45.67,starvation. Sounds about right. You
45.68,47.43,"honestly can't sleep in this condition,"
47.44,49.43,so I advise getting a late night snack.
49.44,51.91,"Just try to be sneaky about it. Okay,"
51.92,53.51,"anyways, you're waking up. I'll see you"
53.52,55.59,"soon. So, they entered my mind, woke me"
55.6,57.83,up to get a late night snack. What's the
57.84,59.83,worst that can possibly happen? Here's
59.84,62.229,my bedroom. 4 in the morning. We got
62.239,65.03,some memes on the wall. Laughing orange.
65.04,67.67,That's from like 2009. Statue
67.68,69.429,"collection. Clearly, I haven't"
69.439,71.75,accumulated all of these yet. I'm still
71.76,74.71,a child. Yummy. Eat sword. Delicious.
74.72,76.109,And a
76.119,80.23,garbag. A garbag with mysterious purple
80.24,83.03,gas floating out. Let's pick up these
83.04,85.83,"ticks. Oh, cash. Cash money. We have"
85.84,88.63,money. Wow. Am I going to buy a snack?
88.64,91.51,Whoa. Who tossed all of these plants
91.52,93.91,around? Why is there a plant on the
93.92,96.069,ceiling? Mother is going to be pissed
96.079,97.83,when she sees this. I'm not really
97.84,99.19,feeling the blue carpet in this
99.2,101.51,household. What is this window? Leads to
101.52,103.99,this mysterious room with disco balls.
104.0,106.149,Must be the party room. How to get a
106.159,109.35,"snack at 4:00 a.m. Oh, look. Robux."
109.36,111.67,I'mma pick all this money up. And that's
111.68,113.749,how you get free Robux. Another plant.
113.759,115.749,"So, this one has not been knocked over"
115.759,118.469,yet. More money. Let's just grab as much
118.479,122.069,"money as we can. We have 24, 25, 26"
122.079,125.03,monies. Carpet. There's a carpet on top
125.04,127.109,of the carpet. My dogs would see this
127.119,128.63,"and be like, ""This is the peeing"
128.64,131.99,"carpet."" More mysterious purple gas"
132.0,134.47,bubbling out of the gar bag. Thanks for
