start_time,end_time,words
0,5,"So , I just logged into my Roblox account and I got banned . Your behavior at"
5,10,Roblox has been in violation of our terms of use . Reason for spam .
10,15,"Subscribe to my channel . Sub to my channel , please . An"
15,20,offensive item . Give me your Roblox . I just wanted to
20,25,"play some Roblox today . Oh , all I have to do is agree . You want me to admit I did"
25,30,"all of those ? Okay , so we 're back on Roblox . Y'all told me to play get"
30,35,"a snack at 4:00 a.m. , which sounds right up my alleyway . I love a late"
35,40,"night snack . It 's me , your self - conscious . I am interrupting your sleep to say"
40,45,that you are starving . You appear to be waking up due to your starvation . Sounds
45,50,"about right . You honestly ca n't sleep in this condition , so I advise getting a late night snack . Just"
50,55,"try to be sneaky about it . Okay , anyways , you 're waking up . I 'll see you soon . So , they entered my"
55,60,"mind , woke me up to get a late night snack . What 's the worst that can possibly happen ? Here 's"
60,65,my bedroom . 4 in the morning . We got some memes on the wall . Laughing
65,70,"orange . That 's from like 2009 . Statue collection . Clearly , I have n't"
70,75,accumulated all of these yet . I 'm still a child . Yummy . Eat sword . Delicious .
75,80,And a garbag . A garbag with mysterious
80,85,"purple gas floating out . Let 's pick up these ticks . Oh , cash . Cash"
85,90,money . We have money . Wow . Am I going to buy a snack ? Whoa . Who tossed
90,95,all of these plants around ? Why is there a plant on the ceiling ? Mother is
95,100,going to be pissed when she sees this . I 'm not really feeling the blue carpet in this household .
100,105,What is this window ? Leads to this mysterious room with disco balls . Must be the
105,110,"party room . How to get a snack at 4:00 a.m. Oh , look . Robux . I'mma"
110,115,"pick all this money up . And that 's how you get free Robux . Another plant . So , this one has not"
115,120,been knocked over yet . More money . Let 's just grab as much money as we
120,125,"can . We have 24 , 25 , 26 monies . Carpet . There 's a carpet on"
125,130,"top of the carpet . My dogs would see this and be like , "" This is the peeing carpet . "" More"
130,135,mysterious purple gas bubbling out of the gar bag . Thanks for playing .
135,140,"I did n't even play . Okay , you know what ? The whole objective is to go to the kitchen . Oh , I think we 're"
140,145,in the kitchen . There 's a fridge . Open it . And should we get a snack ? Some Bloxy Cola .
145,150,Why does that rhyme with Ebola ? Bloxy Cola . Ebola . I have to pick up the
150,155,Robux in the fridge . What 's this guy ? He does n't look like food . Is this somebody 's head ? Why is
155,160,there a head in the freezer and some cobwebs ? I know for a fact that spiders can
160,165,"not live in the freezer or the fridge . Let 's close it . Anyway , should we turn the stove"
165,170,on ? Perhaps cook a Bloxy Cola . How to make a good breakfast . It 's 4:00 a.m. Is it
170,175,"breakfast time already ? I think so . One , breakfast time already ? I think so . One , get egg . Two , cook egg on stove . Three , place"
175,180,"cooked egg on plate . Four , place orange juice . Five , enjoy . Oh , okay . Somehow I"
180,185,think we must acquire an egg or some chips for noobs . What do you mean I ca n't pick this up ? I
185,190,"can only have one thing at a time . I think we 're going to have to put down our Bloxy soda . Wait , was that"
190,195,"candle there a second ago ? I do n't think that candle was there a second ago . Okay ,"
195,200,"chips . Can we eat them ? Wait , I just picked up some chips , but it 's it 's a man in my"
200,205,"inventory . Why is there a little man ? Anyways , I think we should go acquire an egg . That 's"
205,210,"crazy . I turned on the stove and it turned on the lights . Oh , look . More money . What do I"
210,215,need all this money for ? I 'm in my house . Am I going to go out and buy
215,220,"groceries ? Uh - oh . I threw the chips groceries ? Uh - oh . I threw the chips away . I ca n't get them anymore . Oh , but now I"
220,225,can pick up the orange that I Hey y with another game of video . Looks
225,230,like we are going to play a game called Get a Snack at 4 a.m. I ca n't move . You 're
230,235,holding me hostage . Good thing it 's not at 3:00 a.m. That 's when all the creepy stuff
235,240,"happens , right ? Okay . Welcome , Tutti Frutti 9000 . Well ,"
240,245,thank you . What happened ? I got the uh - oh ending . The orange . I thought we were going to milk
245,250,"him and make orange juice out of him . Got that rumbly tumbly . Honestly , ca n't sleep in this"
250,255,"condition , so I I He just wo n't shut up . That 's why they call him the annoying orange , I guess . Okay , we 're going"
255,260,"to try this again , except we 're going to find an egg . I saw something move right here . Oh , these are"
260,265,"just trees . Wow , that 's me outside . Let 's take a walk at 4:00"
265,270,"a.m. Oh , how convenient . There 's a store right across the street from my house"
270,275,"that me , a 12 - year - old , can go to by myself . And it 's open 24 hours . How"
275,280,convenient . And they also have the mysterious purple gas leaking out of the garbagi .
280,285,"Place an item here and talk to me about it to purchase . Bro 's asleep . Okay , what have they"
285,290,gone in the store ? Do they got eggs ? I think we should get a egg . or this mysterious floating
290,295,and rotating orb . Do you feel timelines shifting ?
295,300,"What does that even mean ? There 's free money at this grocery store . Cool . Ah , eggs . I ca n't"
300,305,pick up the eggs because I have this mysterious orb . We no longer sell
305,310,toothpaste and orange juice together due to the amount of people buying and consuming them both .
310,315,"Do n't do this unless it is in a video game . Definitely not . H Yeah , you 're not supposed to . It 's supposed to be really bad for your teeth . You"
315,320,'re not supposed to brush your teeth right after having orange juice because orange juice is so acidic .
320,325,"God , I ca n't get anything because I have this orb . Out of order due to being too cold ."
325,330,"What ? We ca n't have ice cream sandwiches because it 's too cold . Okay , let me throw away my"
330,335,orb . Wo ! Did you really just throw away a store item
335,340,right in the trash ? Sh . I did no such thing . What 's wrong with you ? I thought you were
340,345,"n't looking . How was he able to see ? You did n't place anything . Oh , okay . Sorry . Okay , hold"
345,350,Egg . Let 's just ignore that I threw away a magical orb and we 're
350,355,just going to get the eggs . You sure you want to buy this egg ? It 'll cost you $
355,360,"25 . Talk to me again to purchase , bro . $ 25 . Eggs in real life are"
360,365,"n't even that expensive , man . Inflation has gone through the roof . I 'm going have to"
365,370,sacrifice my rent money to get this egg . Your inventory is full . Get rid of that item . You
370,375,"can pick this up . Okay , hold on . I have to take the orange juice . Oh , did I just"
375,380,steal it ? Uh - oh . Uh - oh . Who are you ? And why is the world red ? Did you really think I would
380,385,"n't see a stealing ? Uh , I do n't have anything . It 's time for you to pay"
385,390,"the price . Bro , I thought we were in my dreamland . Did he just"
390,395,un alive me for taking some orange juice ? You should buy the item
395,400,"first . Ah , okay . Thank you . I guess we learned a very valuable life lesson today . Do n't steal the orange"
400,405,"juice . I think what I have to do next time is buy the egg , go home , drop it off ,"
405,410,"and then buy the orange juice , and go home and drop it off . Why is it so difficult to have a"
410,415,"snack these days ? I 'm so hungry . I could eat a blue Roblox head . Okay , we 're going to"
415,420,take our soda . This is our snack . Chips for noobs
420,425,and some Bloxy soda . Nom . That was delicious .
425,430,Epic breakfast . This is something you 'd eat while gaming . Nice . I want to
430,435,"eat the head in the freezer . Is that possible ? Okay , that might have been an epic breakfast ,"
435,440,but it 's definitely not an ideal breakfast . Not for a growing young lad like
440,445,myself . I need to get all the money in this house . Anything that mother and father leave
445,450,"around , I 'm going to use it to buy some eggs and some orange juice . I 'm going to"
450,455,"have the ultimate breakfast . There 's me . Oh , it 's so dark out . Oh , the moon is"
455,460,"still out now . Okay , guys . No shoplifting . Oh , why does this car look like a sticker ? This is my"
460,465,Cashier . It 's not even a real car . It 's a piece of paper .
465,470,"Oh , what is this ? What is this guy ? Maybe we should not talk to strangers on the way"
470,475,"to the grocery store at 4 in the morning . Purple man gives you a bad feeling . It 's me ,"
475,480,purple guy . I think he 's very friendly . He ai n't doing nothing but being purple . Is being
480,485,purple a crime ? There 's so many monies on the floor . Do n't mind if I do . I 'm going to take all of
485,490,"these . Okay , shut up . I 'm going to put it witch brew . That was n't regular Bloxy soda ."
490,495,"Look , put this in the trash . Why ca n't I put it in the trash ? Okay , that was trash ."
495,500,"Oh , look . Money . Okay , a single egg . All right , Mr. Cashier Man , shut up and"
500,505,"take my money . One egg . Yes , I put the item"
505,510,"here . I do want to buy . Okay , will you let me leave now ? I hope so . No"
510,515,"distractions . Good night , purple guy . Good night , cashier 's car . I 'm on my way to go"
515,520,home and make a delightful breakfast . Turn on the stove . I 'm going to place my
520,525,egg directly on the stove . No pan . Be raw dog in it . Cooking my egg . This is taking a
525,530,long time . I 'm going to go get my orange juice while it cooks . And hopefully the house does n't burn down by the time I
530,535,"get back . Oh , money . I got free money get back . Oh , money . I got free money everywhere here . Hello , purple guy . I 'm back ."
535,540,"All right , here comes the orange juice . Sway to more money just in"
540,545,case this sippy cup of orange juice cost something ridiculous like $ 37 . Why ca n't I pick it
545,550,"up , bro ? Why ca n't I get the juice ? Why is"
550,555,"there an alarm ? What did I do ? House fire . Oh , I"
555,560,did n't think the egg would cook that fast . You left the stove on
560,565,for too long . Crazy how that can happen . I did n't know how long the egg was going to
565,570,take to cook . I thought I was going to go back to the house and it was going to be perfectly scrambled right in front of me . I just
570,575,"wanted a snack at 4:00 a.m. House casually burns down . Okay , we 're going to do this right"
575,580,this time . Turn on egg and cook it . I 'm watching the house . I 'm making sure it does n't
580,585,"burn down . Oh , that 's it . Oh , wow . I turned around for 2 seconds and"
585,590,it 's a giant egg . Oh no . Oh no . I tried to
590,595,turn off the dial . The house is on fire . What do you want me to do ? I might as
595,600,well jump in it . The house burns down . I burned down with it . Goodbye world .
600,605,"Okay , we 're going to make the perfect breakfast . We have exactly 3 seconds to"
605,610,turn off the stove once the egg is done . No waiting . No admiring its
610,615,"yokiness once it 's done cooking . Okay , it 's off . Pick up the egg . Hurry up ."
615,620,"The egg is on the table . I repeat , the egg is on the table . Nobody eat it . I 'm going to the"
620,625,store to get my orange juice . I 'll be right back . Nobody better interrupt my snack
625,630,time . I hope $ 20 is enough for some orange juice . No distractions . I 'm
630,635,"getting my juice . I got the orange juice . Wake up , cashier . Man , give it to me before I"
635,640,"steal it . $ 30 . $ 30 for orange juice , bro . Where am I going to get $ 30"
640,645,"from ? We got money in here . Ah , $ 28 . Oh , there 's money in the back . Okay , I 'm"
