start_time,stop_time,avg_intensity
0,20,50.9
20,40,35.7125
40,60,25.142857142857142
60,80,24.728571428571428
80,100,19.125
100,120,15.5
120,140,19.975
140,160,27.914285714285715
160,180,61.900000000000006
180,200,77.61428571428571
200,220,22.17142857142857
220,240,16.4875
240,260,26.62857142857143
260,280,12.485714285714286
280,300,9.985714285714286
300,320,11.625
320,340,10.614285714285714
340,360,9.875
360,380,13.428571428571429
380,400,23.4125
400,420,21.74285714285714
420,440,13.785714285714286
440,460,10.0
460,480,10.042857142857143
480,500,10.0
500,520,10.0
520,540,10.057142857142859
540,560,19.12857142857143
560,580,9.5875
580,600,10.0
600,620,15.275
620,640,9.62857142857143
640,660,10.0
660,680,10.0
680,700,10.0
700,720,15.125
720,740,10.942857142857141
740,760,10.0
760,780,10.0
780,800,10.0
800,820,8.2
