start_time,end_time,text
0.2,3.09,What do you find most sexy about my daughter?
3.09,6.32,"Her butt, I mean, like, you know,"
6.32,8.61,"I immediately went to like you know, sex things."
8.61,9.716,She's gorgeous.
9.716,10.61,So you're having sex with my daughter's butt?
10.61,11.484,No.
20.13,21.22,Mother-in-law.
21.22,22.09,Son-in-law.
22.09,25.52,"He will be my father-in-law, his name is Ned."
27.555,28.76,Oh goodness.
28.76,30.05,16 years.
30.05,32.475,"So first off, Brian is my only."
35.27,38.37,"She did, oh, you're gonna bring that up?"
38.37,39.85,"Yes, she did."
39.85,41.29,I made him move out of the basement.
41.29,42.51,Yes!
42.51,44.66,"Okay, go ahead, shoot."
44.66,47.33,Were you a virgin when you met my daughter?
47.33,49.3,"No, I was definitely not."
49.3,51.673,How many people did you sleep with before you
51.673,53.71,married my daughter?
58.11,59.13,Nine.
59.13,60.24,So she made 10.
60.24,62.29,She was 10.
62.29,64.24,When did you first sleep with my son?
65.98,67.9,We waited a few weeks.
67.9,69.86,"Nice, a few weeks."
69.86,74.86,"The first time we had sex was on his living room couch,"
75.01,78.04,while his current girlfriend was in their bedroom.
78.04,79.41,"It happened, and that was like"
79.41,80.95,a year before we got together.
80.95,82.55,"Well, let's just do this then."
84.21,86.23,What did you first think about me
86.23,88.853,when I started dating your daughter?
88.853,90.62,I was wondering why she was dating you.
91.63,93.03,Where did you meet my son?
94.04,95.37,At a New Year's Eve party
95.37,97.03,"And, tell me more."
97.03,100.285,I was wearing a skirt with no underwear
101.89,103.79,Have you ever had sex in my house?
103.79,105.67,I knew this question was gonna come up.
105.67,107.79,You've had sex in my house?
107.79,111.6,"Oh you fucker, oh."
112.45,114.98,You and Jesse are in so much trouble right now.
114.98,116.08,What are you talking about?
116.08,118.04,"I took a drink, that doesn't mean anything."
118.04,120.45,It means you don't wanna tell me the truth!
120.45,124.06,What is your least favorite thing about me?
124.06,125.31,"Oh my,"
125.31,126.89,"It's okay, you can be honest."
126.89,127.723,Really?
127.723,128.556,Yeah.
128.556,131.69,"I'm gonna say it, sometimes you're insensitive"
131.69,133.28,"and I'm not gonna say anything more,"
133.28,134.86,and I'm gonna drink to that.
134.86,136.46,"Sometimes I'm insensitive, ah."
138.75,142.03,Do you think me and your daughter will last?
146.16,148.4,That's a really long pause for that question.
148.4,150.59,What do you think is my worst habit?
150.59,152.76,"When I'm trying to be confrontational with you,"
152.76,154.264,"you do this, look, look."
154.264,155.735,No
157.68,158.716,I hate that.
159.549,161.36,I can't look at you in the face.
161.36,164.16,Do you think I take good enough care of your daughter?
166.08,166.913,No.
168.53,169.363,Really?
169.363,170.196,Mm-hmm.
170.196,171.029,"No, wait, really?"
171.029,171.862,Mm-hmm.
171.862,173.929,Do you think I take good enough care of your son?
174.762,177.32,What? Why are you laughing?
177.32,179.82,It seems like he does a lot of chores.
181.34,182.77,You got a double shot of this?
182.77,186.44,"She needs a cleaning lady, and she needs a landscaper."
186.44,189.78,"Okay, so when you guys collude together and kill me and"
189.78,192.587,"collect the insurance money, you can buy all that shit."
192.587,194.514,Yes.
194.514,195.347,Jesus
196.86,199.27,Is this what you guys talk about all day long?
201.03,202.51,What's the worst thing you've ever said
202.51,203.93,about me to my partner?
207.21,208.36,You can't drink
208.36,211.12,I can't drink? You wanna know the worst thing...
211.12,212.4,I wanna know this one.
212.4,215.59,"That you probably need to zip it,"
217.91,219.53,and that's as far as I'm gonna go with that.
219.53,220.363,Okay.
220.363,222.385,Are you a good lover to my son?
222.385,223.83,Aww
223.83,226.27,Are you a good lover to my son?
226.27,227.76,"Yes, sometimes."
227.76,229.76,How often do you have sex?
229.76,230.73,Better be more than once a week.
230.73,231.644,It's not once a week
234.354,236.55,Poor Brian.
238.26,239.21,How often?
239.21,243.73,"Twice a week, but if it was up to me, everyday."
245.81,247.48,That's all on him.
247.48,248.85,That's all on him.
