start_time,end_time,text
0.2,3.09,What do you find most sexy about my daughter?
3.09,8.610000000000001,"Her butt, I mean, like, you know, I immediately went to like you know, sex things."
8.61,9.716,She's gorgeous.
9.716,10.610000000000001,So you're having sex with my daughter's butt?
10.61,11.484,No.
20.13,21.22,Mother-in-law.
21.22,22.090000000000003,Son-in-law.
22.09,25.519999999999996,"He will be my father-in-law, his name is Ned."
27.555,28.76,Oh goodness.
28.76,30.05,16 years.
30.05,32.474999999999994,"So first off, Brian is my only."
35.27,38.370000000000005,"She did, oh, you're gonna bring that up?"
38.37,39.849999999999994,"Yes, she did."
39.85,41.29,I made him move out of the basement.
41.29,42.51,Yes!
42.51,44.66,"Okay, go ahead, shoot."
44.66,47.329999999999984,Were you a virgin when you met my daughter?
47.33,49.29999999999999,"No, I was definitely not."
49.3,53.71,How many people did you sleep with before you married my daughter?
58.11,59.13,Nine.
59.13,60.24000000000001,So she made 10.
60.24,62.28999999999999,She was 10.
62.29,64.23999999999998,When did you first sleep with my son?
65.98,67.89999999999999,We waited a few weeks.
67.9,69.86,"Nice, a few weeks."
69.86,78.03999999999998,"The first time we had sex was on his living room couch, while his current girlfriend was in their bedroom."
78.04,80.94999999999999,"It happened, and that was like a year before we got together."
80.95,82.55000000000001,"Well, let's just do this then."
84.21,88.853,What did you first think about me when I started dating your daughter?
88.853,90.62000000000003,I was wondering why she was dating you.
91.63,93.03,Where did you meet my son?
94.04,97.03,"At a New Year's Eve party And, tell me more."
97.03,103.79000000000002,I was wearing a skirt with no underwear Have you ever had sex in my house?
103.79,105.67,I knew this question was gonna come up.
105.67,107.79000000000002,You've had sex in my house?
107.79,111.60000000000001,"Oh you fucker, oh."
112.45,114.97999999999999,You and Jesse are in so much trouble right now.
114.98,116.08000000000001,What are you talking about?
116.08,118.04000000000003,"I took a drink, that doesn't mean anything."
118.04,120.45000000000003,It means you don't wanna tell me the truth!
120.45,124.05999999999997,What is your least favorite thing about me?
124.06,126.89,"Oh my, It's okay, you can be honest."
126.89,127.723,Really?
127.723,128.556,Yeah.
128.556,134.86000000000004,"I'm gonna say it, sometimes you're insensitive and I'm not gonna say anything more, and I'm gonna drink to that."
134.86,136.45999999999998,"Sometimes I'm insensitive, ah."
138.75,142.03,Do you think me and your daughter will last?
146.16,148.4,That's a really long pause for that question.
148.4,150.58999999999997,What do you think is my worst habit?
150.59,154.264,"When I'm trying to be confrontational with you, you do this, look, look."
154.264,158.716,No I hate that.
159.549,161.35999999999996,I can't look at you in the face.
161.36,164.16000000000005,Do you think I take good enough care of your daughter?
166.08,166.913,No.
168.53,169.363,Really?
169.363,170.196,Mm-hmm.
170.196,171.029,"No, wait, really?"
171.029,171.862,Mm-hmm.
171.862,173.92899999999997,Do you think I take good enough care of your son?
174.762,175.2492380952381,What?
175.2492380952381,177.32,Why are you laughing?
177.32,179.82000000000002,It seems like he does a lot of chores.
181.34,182.77,You got a double shot of this?
182.77,186.44,"She needs a cleaning lady, and she needs a landscaper."
186.44,192.58699999999996,"Okay, so when you guys collude together and kill me and collect the insurance money, you can buy all that shit."
192.587,194.514,Yes.
194.514,199.26999999999998,Jesus Is this what you guys talk about all day long?
201.03,203.92999999999998,What's the worst thing you've ever said about me to my partner?
207.21,209.20333333333332,You can't drink I can't drink?
209.20333333333332,211.11999999999995,You wanna know the worst thing...
211.12,212.4,I wanna know this one.
212.4,219.53000000000003,"That you probably need to zip it, and that's as far as I'm gonna go with that."
219.53,220.363,Okay.
220.363,222.385,Are you a good lover to my son?
222.385,226.27,Aww Are you a good lover to my son?
226.27,227.76,"Yes, sometimes."
227.76,229.76000000000002,How often do you have sex?
229.76,230.73000000000002,Better be more than once a week.
230.73,236.55,It's not once a week Poor Brian.
238.26,239.21,How often?
239.21,243.72999999999993,"Twice a week, but if it was up to me, everyday."
245.81,247.48,That's all on him.
247.48,248.84999999999997,That's all on him.
248.85,252.19000000000003,How often do you sleep with my daughter?
252.19,254.35999999999999,Probably once a week.
255.45,257.5400000000001,God I'm getting laid more than you.
257.54,259.62000000000006,"Okay, that's good to know."
259.62,260.86000000000007,She's pregnant though.
260.86,261.804,She's watching Real Housewives-
261.804,266.42,"No she wants to bone you, and you're playing video games, so what the fuck?"
266.42,271.3099999999999,"Whoa, apparently based on her statistics is that we're just boning plenty enough."
271.31,272.14300000000003,I've heard.
273.099,273.932,What do you mean you've heard?
273.932,275.0299999999999,You have a reputation.
276.95,281.74,"Yes Oh, fuck, are you kidding me?"
281.74,285.2900000000002,"I don't know, I just heard that yours is very large."
285.29,286.77,"Cut that, oh my god."
286.77,289.6999999999999,"I can't believe, how many shots have you had?"
289.7,291.4599999999999,Are you fucking kidding me right now?
291.46,294.8399999999999,"It's only gonna be on the internet for fucking ever, so that's cool."
297.423,299.62999999999994,I don't want this one.
299.63,300.4630000000001,What is it?
300.463,305.313,Hm-mmh No.
305.313,306.46,"Yeah, but."
306.46,309.1899999999999,"Just ask, this is a easy one."
309.19,310.72999999999996,Have you ever cheated on my son?
310.73,312.66000000000014,"if not, have you ever come close?"
312.66,315.18,"No, why is that so hard for you to ask?"
315.18,319.1800000000001,"Because that would hurt him so bad, if he thought."
319.18,320.5330000000001,I have never come close.
321.98,323.25000000000006,Your son is everything.
323.25,324.72,"Aw, thank you."
324.72,327.1,Have you ever cheated on my daughter?
327.1,328.04,No.
328.04,329.198,No.
329.198,330.597,No.
330.597,331.629,No.
331.629,332.462,No.
333.593,334.426,No.
334.426,335.71000000000004,Why'd you look away?
335.71,337.7000000000001,That's after like three nos though.
337.7,340.3,Have you guys ever gotten close to breaking up?
346.4,348.75,Have you guys ever gotten close to breaking up?
349.67,351.19,Yeah.
351.19,360.04999999999995,"We just weren't on the same page about everything, and, now we are, so we're good."
360.05,360.883,Long haul.
360.883,361.52709090909093,"Got things, ya know,"
361.52709090909093,361.6988484848485,yeah
361.6988484848485,367.33,"that's what it is, that's what a relationship is, you have problems, you talk about them and you fix them."
367.33,370.92999999999995,I'm so thankful that you're my granddaughter's mother.
370.93,375.61,"She's an extraordinary mom, I mean how could I have ever asked for anything more?"
377.29,380.17,"And my friend, you are one of my best friends, too."
380.17,391.9200000000002,"Yeah, I'm thankful for the relationship you have with Jesse and that if him and I are having a problem or something I can call you, and you're neutral about things and you talk to me and you're often on my side."
392.893,393.922,"Yeah, I love you, too."
393.922,395.78,I love you.
395.78,397.7699999999999,"Alright, let's do it, last one."
