start_time,stop_time,avg_intensity
0,20,25.833333333333332
20,40,24.792307692307695
40,60,13.6
60,80,20.45384615384615
80,100,25.55
100,120,21.515384615384615
120,140,10.13846153846154
140,160,13.0
160,180,13.899999999999999
180,200,27.07857142857143
200,220,21.799999999999997
220,240,26.599999999999998
240,260,33.253846153846155
260,280,68.6
280,300,40.276923076923076
300,320,10.271428571428572
320,340,10.0
340,360,10.0
360,380,13.285714285714286
380,400,13.5
400,420,14.823076923076922
420,440,10.721428571428572
440,460,8.875
