start_time,end_time,words
0,5,"What do you find most sexy about my daughter ? Her butt , I mean ,"
5,10,"like , you know , I immediately went to like you know , sex things . She 's gorgeous . So you 're"
10,15,having sex with my daughter 's butt ? No .
20,25,"Mother - in - law . Son - in - law . He will be my father - in - law , his"
25,30,name is Ned . Oh goodness . 16
30,35,"years . So first off , Brian is my only ."
35,40,"She did , oh , you 're gon na bring that up ? Yes , she did . I"
40,45,"made him move out of the basement . Yes ! Okay , go ahead , shoot . Were"
45,50,"you a virgin when you met my daughter ? No , I was definitely not . How many"
50,55,people did you sleep with before you married my daughter ?
55,60,Nine . So she
60,65,made 10 . She was 10 . When did you first sleep with my son ?
65,70,"We waited a few weeks . Nice , a few weeks ."
70,75,"The first time we had sex was on his living room couch ,"
75,80,"while his current girlfriend was in their bedroom . It happened , and that was like a year"
80,85,"before we got together . Well , let 's just do this then . What did you"
85,90,first think about me when I started dating your daughter ? I was wondering why she
90,95,was dating you . Where did you meet my son ? At a New Year 's
95,100,"Eve party And , tell me more . I was wearing a skirt with no"
100,105,underwear Have you ever had sex in my house ? I knew this question
105,110,was gon na come up . You 've had sex in my house ? Oh you
110,115,"fucker , oh . You and Jesse are in so much trouble right now ."
115,120,"What are you talking about ? I took a drink , that does n't mean anything . It means you do n't wanna tell me"
120,125,the truth ! What is your least favorite thing about me ? Oh
125,130,"my , It 's okay , you can be honest . Really ? Yeah . I 'm gon na say it ,"
130,135,"sometimes you 're insensitive and I 'm not gon na say anything more , and I 'm gon na drink to that ."
135,140,"Sometimes I 'm insensitive , ah . Do you think me"
140,145,and your daughter will last ?
145,150,That 's a really long pause for that question . What do you think is my
150,155,"worst habit ? When I 'm trying to be confrontational with you , you do this , look , look ."
155,160,No I hate that . I ca
160,165,n't look at you in the face . Do you think I take good enough care of your daughter ?
165,170,No . Really ? Mm -
170,175,"hmm . No , wait , really ? Mm - hmm . Do you think I take good enough care of your son ?"
175,180,What ? Why are you laughing ? It seems like he does a lot of chores .
180,185,"You got a double shot of this ? She needs a cleaning lady , and"
185,190,"she needs a landscaper . Okay , so when you guys collude together and kill me and"
190,195,"collect the insurance money , you can buy all that shit . Yes ."
195,200,Jesus Is this what you guys talk about all day long ?
200,205,What 's the worst thing you 've ever said about me to my partner ?
205,210,You ca n't drink I ca n't drink ? You wanna
210,215,know the worst thing ... I wanna know this one . That you probably need to
215,220,"zip it , and that 's as far as I 'm gon na go with that ."
220,225,Okay . Are you a good lover to my son ? Aww Are you a good
225,230,"lover to my son ? Yes , sometimes . How often do you have sex ? Better"
230,235,be more than once a week . It 's not once a week
235,240,Poor Brian . How often ? Twice
240,245,"a week , but if it was up to me , everyday ."
245,250,That 's all on him . That 's all on him . How often do
250,255,you sleep with my daughter ? Probably once a week .
255,260,"God I 'm getting laid more than you . Okay , that 's good to know . She 's"
260,265,"pregnant though . She 's watching Real Housewives- No she wants to bone you , and you 're playing video"
265,270,"games , so what the fuck ? Whoa , apparently based on her statistics is that we 're"
270,275,just boning plenty enough . I 've heard . What do you mean you 've heard ? You have a
275,280,"reputation . Yes Oh , fuck ,"
280,285,"are you kidding me ? I do n't know , I just heard that yours is very"
285,290,"large . Cut that , oh my god . I ca n't believe , how many shots have you had ? Are"
290,295,"you fucking kidding me right now ? It 's only gon na be on the internet for fucking ever , so that 's cool ."
295,300,I do n't want this one .
300,305,What is it ? Hm - mmh
305,310,"No . Yeah , but . Just ask , this is a easy one . Have you ever"
310,315,"cheated on my son ? if not , have you ever come close ? No , why is that so hard for you to"
315,320,"ask ? Because that would hurt him so bad , if he thought . I have never"
320,325,"come close . Your son is everything . Aw , thank you ."
325,330,Have you ever cheated on my daughter ? No . No .
330,335,No . No . No . No . Why 'd
335,340,you look away ? That 's after like three nos though . Have you guys ever gotten close to
340,345,breaking up ?
345,350,Have you guys ever gotten close to breaking up ?
350,355,Yeah . We just were n't on the same page about
355,360,"everything , and , now we are , so we 're"
360,365,"good . Long haul . Got things , ya know , yeah that 's what it is , that 's what a relationship is , you have"
365,370,"problems , you talk about them and you fix them . I 'm so thankful that you 're my"
370,375,"granddaughter 's mother . She 's an extraordinary mom , I mean how could I have ever asked for"
375,380,"anything more ? And my friend , you are one of my best friends ,"
380,385,"too . Yeah , I 'm thankful for the relationship you have with Jesse and that if him and I are having a problem or"
385,390,"something I can call you , and you 're neutral about things and you talk to"
390,395,"me and you 're often on my side . Yeah , I love you , too . I"
395,400,"love you . Alright , let 's do it , last one . If you were n't married to my daughter ,"
400,405,"would you like me ? Yes , yeah ."
405,410,"Yeah definitely . I think that we vibe , I think we have the same kind"
410,415,"of sense of humor , we would have talked , hung out . I would have liked you too ."
415,420,"Let 's take another shot , I really hope , thank you so much for doing this with me , I know"
420,425,"this is kinda crazy but I hope you had fun , and I had a lot of fun . I had fun"
425,430,"too . Good job , girl ."
430,435,"I love you . I love you , too . I love you so much . I do too , I love you so much ."
435,440,I do n't know if I can say I learned
440,445,anything about you . Except that you want me to do more chores . And that you had sex in my house !
445,450,"What , who said that ? Oh , you fucker ."
