start_time,end_time,text
0.08,1.709,I'm about to enter one of the world's
1.7189999999999999,4.23,strangest places a country that doesn't
4.24,6.19,exist honestly you could probably find
6.2,7.47,bodies you could probably find
7.48,9.91,ammunition this is transnistria and
9.92,11.31,you've never heard of it before because
11.32,13.15,it cannot be found on any map
13.16,15.03,transnistria has its own government
15.04,17.15,currency passport and even their own
17.16,19.39,military on the surface it might seem
19.4,21.349,like any other country but inside these
21.359,23.589,mysterious borders citizens wave flags
23.599,25.429,from their communist paths and strict
25.439,27.269,military checkpoints can be found all
27.279,29.23,over so what is it really like to live
29.24,30.71,in a country that the rest of the world
30.72,32.549,thinks is fake and who exactly are the
32.559,34.43,people who call this place
34.44,36.59,home come with me as I explore
36.6,39.229,transnistria where less than 500 tourist
39.239,41.59,visit a
41.6,44.27,year getting to transnistria isn't so
44.28,46.59,easy first we have to fly to mdova
46.6,48.389,Europe's poorest and least visited
48.399,49.99,country so I'm traveling with my wife
50.0,52.069,Deana and her mom Sheila and her mom
52.079,53.75,does not know where we're going we're
53.76,56.83,literally at the airport are you excited
56.84,60.79,yeah where are we going I just sow
60.8,62.47,and she's the kind of type that just
62.48,63.67,goes with the flow and I know she's
63.68,65.109,going to have a good time but she
65.119,66.429,literally doesn't know where we're about
66.439,67.99,to board the flight to where do you
68.0,69.19,think we're
75.4,77.91,going as soon as we arrive I start to
77.92,79.87,take in the unusual Vibe of the capital
79.88,81.749,city It's a beautiful morning in Kish
81.759,84.149,now mova I'm heading out to meet my
84.159,86.03,guide Tim who's actually an american guy
86.04,87.59,that's been living in transnistria for
87.6,89.51,17 years and together we're going to be
89.52,91.35,heading in to learn all about this
93.84,96.19,Place traveling from mdova into
96.2,98.51,transnistria is no joke this isn't your
98.52,100.59,typical border crossing one wrong move
100.6,102.469,and things could get messy checkpoint
102.479,104.789,checkpoint can I shoot now of course but
104.799,106.709,just like that we're in and I'm starting
106.719,108.469,to notice small differences between this
108.479,110.23,land and where we just came from it's
110.24,111.709,just fun to look out the window here you
111.719,114.469,just see that you don't usually see
114.479,115.789,infrastructure from the Soviet unions
115.799,117.109,there they didn't do anything with it
117.119,118.83,and if somebody's not taking care of it
118.84,121.069,it's collapsing driving on these roads
121.079,122.749,feels like taking a time machine back to
122.759,124.749,the Soviet Union before it dissolved
124.759,126.59,into the modern Russia we know today
126.6,129.27,here the shadow of war never fully faded
129.28,131.47,especially underground here we have a
131.48,133.35,whole network of caves that goes on for
133.36,136.55,130 km just non-stop it's not even
136.56,138.43,mapped by the way we've had cavers come
138.44,142.19,here from Australia they got lost 130 km
142.2,144.39,that's like 60 70 miles or something
144.4,146.55,yeah you can see uh the old marks on the
146.56,149.03,walls this is from the mining blocks
149.04,151.27,that built the city of Odessa there's
151.28,153.309,such this network it's built so deep
153.319,155.15,underground that during World War II it
155.16,157.869,was great bunkers and then again with
157.879,160.75,the civil war with malova between pinova
160.76,162.949,and uh malova it was also used for
162.959,165.869,bunkers how deep have you been to this
165.879,167.71,we don't go too deep because you get
167.72,170.229,back too far it's it's pitch black
170.239,171.91,honestly you could probably find bodies
171.92,173.869,you could probably find ammunition you
173.879,175.47,could probably find there might be an
175.48,177.91,old tank back there 100 km back who
177.92,179.63,knows it's so bizarre to see things like
179.64,181.509,this here like just existing and there's
181.519,183.27,nobody around it honestly makes me want
183.28,184.75,to walk through it and see how far I can
184.76,186.789,go so this one has a star this was
186.799,189.11,carved by uh Soviet soldiers in World
189.12,191.07,War II and this is the Soviet star
191.08,192.75,that's not the original paint there's
192.76,194.71,some bikers from terespol that come out
194.72,197.07,here and paint it every year but inside
197.08,199.55,this particular cave we brought you here
199.56,201.509,because the names of the World War II
201.519,204.149,soldiers are carved on the wall along
204.159,206.509,with the date there's a good hangout
206.519,209.869,spot for kids there's seashells this um
209.879,212.309,actually had million million years and
212.319,217.429,it's holy crap part of s sea yeah me
217.439,219.19,back for sure there were lights it's
219.2,221.03,cold in here these old rusted things
221.04,223.429,these carried uh
223.439,226.869,electricity uh uh Communications cables
226.879,229.63,even water going all the way back so the
229.64,232.229,soldiers who were uh carrying ammunition
232.239,235.19,and had jeeps and tanks had electricity
236.319,238.789,Communications this is so freaky man
238.799,240.63,we've only stepped just inside was there
240.64,242.589,a lot of like combat here in World War
242.599,245.11,II Oh yeah this is the front lines of
245.12,246.71,what they called the kitchen Al Yash
246.72,248.949,offensive and it was the biggest battle
248.959,251.47,after Stalingrad but oh c but in in
251.48,252.789,Western schools you don't really learn
252.799,255.55,about no not at all before we explore
255.56,257.749,any further let's get our facts straight
257.759,259.469,what is transnistria and why is it
259.479,261.39,considered a fake country during World
261.4,263.469,War II the area became a Battleground
263.479,265.629,under Nazi occupation where thousands of
265.639,267.39,Jews and Romani people were killed in
267.4,269.27,concentration camps then when the Soviet
269.28,271.99,Union collapse in 1991 mdova became its
272.0,274.39,own independent country but transnistria
274.4,276.59,home to many Russian speakers wanted no
276.6,278.43,part of it they declared independence
278.44,280.43,although no one not even Russia
280.44,282.469,recognizes them as a Sovereign Nation
282.479,284.55,about a year later things escalated into
284.56,286.23,a brutal war between mova and
286.24,288.35,transnistrian forces backed by Russian
288.36,289.909,troops the conflict ended with a
289.919,291.83,ceasefire but Russian soldiers have
291.84,293.59,remained here ever since we've made it
293.6,295.909,somewhere on the outskirts of taspo to a
295.919,298.029,guy's house actually Tim's friend he's
298.039,300.15,got a collection of weapons we've been
300.16,302.189,told dude these buildings to me are so
302.199,303.71,bizarre it looks like they just stick it
303.72,305.35,with like gum in the middle yeah
305.36,307.43,whatever material that is throw it
307.44,321.47,together and like there it
324.199,327.71,is very cool sounds very very communist
327.72,329.43,hearing this old record play communist
329.44,331.749,song from Soviet times send shivers down
331.759,333.71,my spine but nothing compares to the
333.72,336.749,guns he's about to show
342.4,345.43,right yeah he found this in kid can this
345.44,348.27,Village a monaster yeah you found it
348.28,351.07,there doesn't work no it's not illegal
351.08,355.01,if be work wow
357.199,361.189,good yeah so you can instead of multiple
361.199,362.87,ways to
362.88,366.27,die please don't do that do you put
366.28,368.35,close to your body when you shoot cuz
368.36,370.99,the you want to put it on your shoulder
371.0,374.11,under my shoulder no no like him ah okay
374.12,376.189,yeah so your shoulder takes the uh
376.199,378.51,Reverb of a
380.84,386.589,okay it's pretty heavy it's like 20
386.599,389.99,l oh do you think people die with that
390.0,392.15,sword yeah yes I'm sure they did it
392.16,394.589,wouldn't take much to die with you look
394.599,396.11,cute with that helmet on there's a
396.12,400.15,schwas inside of it oh let really this
400.16,403.11,is actually an mg34 machine gun from the
403.12,405.629,Germans in World War II it's heavy well
405.639,407.27,Arnold Schwarzenegger and Predator would
411.12,415.39,this dude that's crazy so trania and so
415.4,418.99,is Bulgaria 17 16 yeah oh wow that's a
419.0,420.51,beautiful hand
420.52,422.83,yeah this is over 100 years old and we
422.84,427.589,have old Soviet uniforms too socialist
427.599,432.07,oslavia 17 18 years what is this
432.08,434.79,one oh captain of
434.8,437.23,Yugoslavia could actually be a fashion
437.24,439.07,yeah it really could I swear this room
439.08,440.83,packed with all these Collectibles holds
440.84,442.67,so much value I've never seen anything
442.68,444.39,like it before in my life our journey
444.4,446.11,continues to explore some monuments in
446.12,448.07,this unrecognized country online it says
448.08,449.629,there's like a half a million people on
449.639,451.79,nria but it's like it's not true they
451.8,454.029,all left no uh it's not that they all
454.039,455.71,left the the families are still here but
455.72,457.309,usually at least one person from each
457.319,459.869,family works works outside of trans so
459.879,462.629,what what is the population I would say
463.759,466.71,"300,000 this is a World War II Memorial"
466.72,467.869,and what you'll find interesting about
467.879,469.309,all the villages here is this was the
469.319,470.79,front lines of the kitchen alash
470.8,472.95,offensive and all these names are people
472.96,475.35,who died in World War II from this
475.36,477.43,Village interesting statue cuz he's
477.44,479.749,holding a pepar machine gun which is the
479.759,482.11,machine gun that was held up over the re
482.12,483.83,tag in Germany at the end of World War
483.84,485.909,II not only is there a World War II
485.919,488.43,monument here but there is a monument to
488.44,491.11,the civil war with malova because there
491.12,492.589,was a missile strike here and this
492.599,494.909,missile unfortunately killed all these
494.919,497.27,kids uh you can see they're no older
497.28,500.309,than 18 or 19 this is a manager of the
500.319,501.79,old Soviet theater and he's going to
501.8,503.35,take us in
503.36,521.35,cool we got a lot of keys there
521.36,525.389,okay whoa this is cool man welcome to
525.399,527.97,Soviet Union in
530.88,533.47,1950 we just entered into a Soviet
533.48,535.67,theater that's literally been untouched
535.68,537.63,for decades and this is exactly how it
537.64,539.91,was during Soviet times you can even see
539.92,541.949,the smell in here smells like the Soviet
541.959,544.43,Union the speakers the chairs the
544.44,547.069,ceilings in here is an old film movie
547.079,549.15,room where nothing has changed since
549.16,552.829,1940 W so yeah you can see it's inside
552.839,556.55,they have these poster of sun movies all
556.56,559.11,machines they have the old real movies
559.12,561.55,here from the Soviet Union exactly
561.56,563.71,nothing's changed it's all here in good
563.72,565.43,condition yeah should be in a museum
565.44,567.43,these are super valuable to someone very
567.44,569.35,rarely have I been to a place that's
569.36,571.67,completely Frozen in time it's really
571.68,573.59,the only place left in the world that
573.6,574.87,you really feel like you're in the
574.88,576.55,Soviet Union when you're traveling here
576.56,577.75,because all the other former Soviet
577.76,579.67,countries like usbekistan Armenia
579.68,581.63,Georgia they've moved on they've
581.64,583.15,developed a lot and they've become a lot
583.16,584.47,more modern and different with new
584.48,586.389,governments and new systems in place but
586.399,588.79,here in transnistria it's literally like
588.8,590.99,you're in the Soviet Union as a traveler
591.0,592.269,that's cool as someone who's interested
592.279,594.43,in history and how the world works and
594.44,596.19,the influence that the Soviet Union had
596.2,598.31,on the world it's
598.32,600.55,fascinating so this bank here you only
600.56,602.949,have a local card yeah and it's not on
602.959,605.03,the Swift Code system so you can't use
605.04,607.19,it anywhere outside of trans anista so
607.2,609.31,ethnically they're a mix of movian
609.32,612.069,ukrainians Romanians and Russians if you
612.079,613.79,have the family heritage you are
613.8,616.71,eligible for all these passports oh wow
616.72,618.43,some people I know people who have five
618.44,620.71,passports really yeah okay so we're
620.72,623.19,going to an old Soviet buffet and it's
623.2,625.35,just as it was in the Soviet Union
625.36,627.11,grandmothers make all the food they put
627.12,628.91,it out in buffet style and you just take
628.92,630.59,what you want want and it's very cheap
630.6,633.67,and healthy perfect are you hungry
635.8,639.31,cow tasty oh my God see this is all
639.32,646.59,local people this is so
646.6,648.829,wild I actually met tourist here they're
648.839,650.99,from lvia you guys enjoying yeah we are
651.0,652.75,enjoying this because this is actually
652.76,654.99,part of our past we lived this but now
655.0,657.47,we are happy that we are out of this and
657.48,660.35,part of the western world thank God
660.36,661.829,going through the buffet here which
661.839,663.67,feels like Russian Grandma serving me
663.68,667.03,food thank you it's $3 a meal including
667.04,669.43,the water now this is a meal we got for
669.44,674.829,soup sour cream chicken cabbage
674.839,677.59,eggplant that up Yummy
677.6,679.629,Yummy in the light bulb here they have
679.639,681.79,the mascot from the 1980 Olympics which
681.8,683.269,was in Russia what do you think about
683.279,689.91,the cafe
689.92,691.55,check out how crazy the money Works in
691.56,693.19,transnistria so these are the Bills
693.2,694.75,they're actually the smallest bills in
694.76,696.269,the world they're tiny I have small
696.279,698.829,hands there's denominations of 25 rubles
698.839,700.03,yes they're called rubles like Russian
700.04,701.99,rubles but they're completely worthless
702.0,703.829,outside of transnistria and then you
703.839,706.55,have these plastic coins literally it's
706.56,707.629,the only place in the world where you
707.639,710.35,can find plastic coins here's one Ruble
710.36,712.269,it's a circle this is three rubles it's
712.279,714.15,a square so I guess if you're blind you
714.16,716.31,can feel the edges of it and realize the
716.32,718.829,denomination but yes they are completely
719.92,721.35,so freaking
721.36,723.389,weird like much of the region
723.399,725.11,transnistrian people follow Eastern
725.12,727.269,Orthodox Christianity which means Di and
727.279,728.75,her mother have to cover up now that
728.76,730.71,we're about to visit a church wow these
730.72,733.79,are beautiful churches here incredible
733.8,735.91,this was originally a mosque because the
735.92,737.829,Ottoman Empire controlled this region
737.839,740.269,and a Katarina the great sent her Army
740.279,742.31,from Russia to take over this area and
742.32,744.35,they did and now it's a Russian Orthodox
749.839,751.829,I've been in so many churches in my life
751.839,754.189,especially all over Eastern Europe this
754.199,756.11,one's so different the way everything
756.12,757.829,just feels like it's very raw and
757.839,760.67,natural and you got Jesus lit up here in
760.68,762.99,the sunlight and in this box which is
763.0,764.71,from Jerusalem they believe that this is
764.72,768.43,the original cross that Jesus died on
768.44,769.949,and something you'll notice that tells
769.959,772.269,you about how open and free the culture
772.279,774.389,is here if this was a gothic church in
774.399,776.35,Germany there would be security
776.36,777.829,everywhere and this would be in a box
777.839,779.87,with cameras on it there's no security
779.88,781.389,yeah nothing no one's going to take it
