start_time,stop_time,avg_intensity
0,20,64.0
20,40,33.06666666666667
40,60,47.800000000000004
60,80,32.5
80,100,35.45
100,120,36.23333333333333
120,140,34.699999999999996
140,160,25.066666666666666
160,180,16.066666666666666
180,200,11.033333333333333
200,220,9.833333333333334
220,240,11.933333333333332
240,260,22.599999999999998
260,280,29.766666666666666
280,300,20.433333333333334
300,320,29.3
320,340,23.566666666666666
340,360,14.933333333333332
360,380,15.700000000000001
380,400,20.3
400,420,26.3
420,440,31.599999999999998
440,460,17.633333333333333
460,480,9.15
480,500,11.133333333333333
500,520,15.033333333333333
520,540,17.133333333333333
540,560,10.433333333333334
560,580,14.1
580,600,20.266666666666666
600,620,29.5
620,640,30.266666666666666
640,660,20.099999999999998
660,680,29.333333333333332
680,700,38.666666666666664
700,720,19.966666666666665
720,740,40.36666666666667
740,760,47.36666666666667
760,780,27.96666666666667
780,800,15.533333333333331
800,820,12.566666666666668
820,840,18.833333333333332
840,860,17.2
860,880,16.5
880,900,24.099999999999998
900,920,22.0
920,940,20.066666666666666
940,960,16.599999999999998
960,980,21.0
980,1000,16.5
1000,1020,42.1
1020,1040,97.0
1040,1060,39.6
1060,1080,20.933333333333334
1080,1100,20.2
1100,1120,23.599999999999998
1120,1140,16.666666666666668
1140,1160,11.066666666666668
1160,1180,16.333333333333332
1180,1200,12.866666666666665
1200,1220,10.6
1220,1240,11.533333333333333
1240,1260,12.6
1260,1280,27.53333333333333
1280,1300,18.266666666666666
1300,1320,8.566666666666666
1320,1340,9.700000000000001
1340,1360,13.033333333333333
1360,1380,14.766666666666666
1380,1400,12.066666666666668
1400,1420,11.4
1420,1440,13.75
1440,1460,13.1
1460,1480,8.966666666666667
1480,1500,13.699999999999998
1500,1520,22.03333333333333
1520,1540,16.599999999999998
1540,1560,13.700000000000001
1560,1580,18.733333333333334
1580,1600,12.233333333333334
1600,1620,13.866666666666667
1620,1640,20.933333333333334
1640,1660,20.3
1660,1680,15.6
1680,1700,12.066666666666668
1700,1720,16.866666666666667
1720,1740,12.199999999999998
1740,1760,9.766666666666667
1760,1780,10.0
1780,1800,9.366666666666667
1800,1820,10.95
1820,1840,19.6
1840,1860,10.0
1860,1880,10.0
1880,1900,10.0
1900,1920,10.0
1920,1940,10.0
1940,1960,10.0
1960,1980,10.0
1980,2000,10.0
2000,2020,10.0
2020,2040,10.0
2040,2060,6.4
