start_time,end_time,words
0,20,I 'm about to enter one of the world 's strangest places a country that does n't exist honestly you could probably find bodies you could probably find ammunition this is transnistria and you 've never heard of it before because it can not be found on any map transnistria has its own government currency passport and even their own military on the surface it might seem like any
20,40,other country but inside these mysterious borders citizens wave flags from their communist paths and strict military checkpoints can be found all over so what is it really like to live in a country that the rest of the world thinks is fake and who exactly are the people who call this place home come with me as I explore transnistria where less than 500 tourist
40,60,visit a year getting to transnistria is n't so easy first we have to fly to mdova Europe 's poorest and least visited country so I 'm traveling with my wife Deana and her mom Sheila and her mom does not know where we 're going we 're literally at the airport are you excited yeah where are we going I
60,80,just sow and she 's the kind of type that just goes with the flow and I know she 's going to have a good time but she literally does n't know where we 're about to board the flight to where do you think we 're going as soon as we arrive I start to take in the unusual Vibe of the capital
80,100,city It 's a beautiful morning in Kish now mova I 'm heading out to meet my guide Tim who 's actually an american guy that 's been living in transnistria for 17 years and together we 're going to be heading in to learn all about this Place traveling from mdova into transnistria is no joke this is n't your typical border crossing
100,120,one wrong move and things could get messy checkpoint checkpoint can I shoot now of course but just like that we 're in and I 'm starting to notice small differences between this land and where we just came from it 's just fun to look out the window here you just see that you do n't usually see infrastructure from the Soviet unions there they did n't do anything with it and if somebody 's not taking care of it it 's collapsing
120,140,driving on these roads feels like taking a time machine back to the Soviet Union before it dissolved into the modern Russia we know today here the shadow of war never fully faded especially underground here we have a whole network of caves that goes on for 130 km just non - stop it 's not even mapped by the way we 've had cavers come here from
140,160,Australia they got lost 130 km that 's like 60 70 miles or something yeah you can see uh the old marks on the walls this is from the mining blocks that built the city of Odessa there 's such this network it 's built so deep underground that during World War II it was great bunkers and then again with the civil war with malova
160,180,between pinova and uh malova it was also used for bunkers how deep have you been to this we do n't go too deep because you get back too far it 's it 's pitch black honestly you could probably find bodies you could probably find ammunition you could probably find there might be an old tank back there 100 km back who knows it 's so bizarre to see things like this
180,200,here like just existing and there 's nobody around it honestly makes me want to walk through it and see how far I can go so this one has a star this was carved by uh Soviet soldiers in World War II and this is the Soviet star that 's not the original paint there 's some bikers from terespol that come out here and paint it every year but inside this particular cave we brought you here
200,220,because the names of the World War II soldiers are carved on the wall along with the date there 's a good hangout spot for kids there 's seashells this um actually had million million years and it 's holy crap part of s sea yeah me back for sure there were lights it 's cold in here
220,240,these old rusted things these carried uh electricity uh uh Communications cables even water going all the way back so the soldiers who were uh carrying ammunition and had jeeps and tanks had electricity Communications this is so freaky man we 've only stepped just
240,260,inside was there a lot of like combat here in World War II Oh yeah this is the front lines of what they called the kitchen Al Yash offensive and it was the biggest battle after Stalingrad but oh c but in in Western schools you do n't really learn about no not at all before we explore any further let 's get our facts straight what is transnistria and why is it
260,280,considered a fake country during World War II the area became a Battleground under Nazi occupation where thousands of Jews and Romani people were killed in concentration camps then when the Soviet Union collapse in 1991 mdova became its own independent country but transnistria home to many Russian speakers wanted no part of it they declared independence although no one not even
280,300,Russia recognizes them as a Sovereign Nation about a year later things escalated into a brutal war between mova and transnistrian forces backed by Russian troops the conflict ended with a ceasefire but Russian soldiers have remained here ever since we 've made it somewhere on the outskirts of taspo to a guy 's house actually Tim 's friend he 's got a collection of weapons we 've
300,320,been told dude these buildings to me are so bizarre it looks like they just stick it with like gum in the middle yeah whatever material that is throw it together and like
320,340,there it is very cool sounds very very communist hearing this old record play communist song from Soviet times send shivers down my spine but nothing compares to the guns he 's about to show
