start_time,stop_time,avg_intensity
0,20,22.958333333333332
20,40,14.12
40,60,19.71
60,80,20.21
80,100,20.05
100,120,18.63
120,140,18.009999999999998
140,160,18.97
160,180,11.34
180,200,30.78
200,220,22.52
220,240,23.919999999999998
240,260,17.79
260,280,41.239999999999995
280,300,50.260000000000005
300,320,44.9
320,340,23.16
340,360,29.71111111111111
360,380,22.318181818181817
380,400,17.7
400,420,14.422222222222224
420,440,37.445454545454545
440,460,48.62
460,480,29.65555555555555
480,500,13.445454545454545
500,520,55.779999999999994
520,540,80.38888888888889
540,560,39.82727272727273
560,580,10.555555555555555
580,600,10.799999999999999
600,620,6.4
