start_time,end_time,words
0,5,so we got a chance to unbox the pro and pro Max iPhone 16 but what about the
5,10,standard iPhone 16s which in some ways seem more interesting this generation because
10,15,they have most of what the pro and pro Max have but at a more affordable price and arguably in
15,20,colors that people are more excited for MO is definitely more excited for these colors right here this one
20,25,they 're calling teal maybe this one 's my favorite I do n't know San Jose Sharks this is Mo 's favorite which
25,30,is called ultramarine and I think he likes it because it 's called ultramarine at least has to be part of it
30,35,obviously we have the plus and the standard size they 've rearranged the camera layout on
35,40,the back these devices do have quite a bit of wobble because of that camera layout I 'm going to compare
40,45,the wobble to the previous generation with the diagonal camera layout we 'll do a wobble
45,50,comparison very soon I was surprised that Apple gave the camera control functionality
50,55,to the standard model not just the pro cuz it kind of seems like a pro feature and a way for them to
55,60,differentiate but they know more than I do they got all kinds of data and market research that is a beautiful color
60,65,ultramarine yeah they have all kinds of data to suggest where they need to be at from a price point
65,70,perspective and which ones are going to be their hot models and which features they should have in there so we have camera
70,75,control on the standard iPhone this is a little bit lighter there 's no titanium here we 've got the aluminum
75,80,frame finish on the back I think it 's pretty nice I mean definitely an iPhone I 'm pretty sure
80,85,that 's an iPhone USBC we also got the physical SIM tray Canadian version we
85,90,have eim buil in as well big power switch volume rocker action button
90,95,pretty nice package starting at a lot pretty nice package starting at a lot less than the pro model the unboxing experience is
95,100,identical as we carry on braided USBC cable packed up in the origami style and
100,105,the good old SIM tool unchanged for Generations now when it comes
105,110,to comparing the 15 to the 16 good Lord they are very very similar very
110,115,very similar in form factor let 's do that wobble test that I am so
115,120,curious about in the very Corner we 're okay on the 15 as we move up the
120,125,device we increase our wobble we do get wobble in the very oh we got a double
125,130,wobble it 's it 's more wobbly we get wobble here wobble here wobble here whatever I mean a
130,135,lot of smartphones are wobbling at this point it 's a plague it 's a wobble plague of course Google cares about
135,140,these things shots fired that 's up to you to decide all right let 's move on to the teal see
140,145,how it compares to the ultramarine and this is the plus siiz
145,150,iPhone 16 standard oh I love it is it enough to persuade Mo to change his mind oh
150,155,ultramarine versus teal teal is very nice teal is very nice he says
155,160,teal is very nice do we have previous gen plus we do and once
160,165,again we are extremely comparable wobble test oh wobble test gets even worse
165,170,that one wobbles if you touch it if you try to make it wobble but when you place it down it 's no wobble this
170,175,one you place it down and it just wobbles see what I mean it just wobbles when you just place it on the table 15
175,180,sits there unless you aim to make it wobble okay I 'm going nuts here with this
180,185,wobble thing but if we go instead and compare to the new Pro Models we can see the scale
185,190,difference there Pro Max versus iPhone 16 and pro 16
190,195,versus standard 16 you can also tell here that the non - pro variant is
195,200,slightly thinner which is cool I mean it 's slight but it is there this episode has been sponsored by ESR and their
200,205,brand new iPhone 16 cases so let 's start with the tough case exceed 7x military
205,210,grade protection foldable stash stand built in designed to work with mag save
210,215,this is going to be your super rugged option you can see the mag safe on the back and we have
215,220,a multi - layer setup we have coverage on the power port and of course we 've also got access for camera
220,225,control now so this is what 's called the foldable stash stand and this obviously allows you to
225,230,have a better viewing experience hybrid case with stash stand
230,235,clear color Halo lock magnetic case stash stand still get that
235,240,functionality like that slightly less of a tank than the tough case but
240,245,arguably more stylish I also notice that the stand changes color from a
245,250,darker metallic to a silver so next up we have the soft case satisfying texture very
250,255,soft still got our mag safe built in still have access to our camera control a
255,260,microfiber soft touch interior they 're actually stating that this one is 3x military
260,265,grade protection as well so similar protection level to the hybrid the other thing about
265,270,the stand is you can pick uh between a number of angles depending on what
