start_time,end_time,text
24.016,25.622,Good morning.
27.226,30.154,It has been quite a privilege
30.154,36.533,being able to grow up in two quite different ways of life.
38.161,40.443,"I was born in Germany,"
40.443,43.865,and at the same time had the chance
43.865,48.903,to learn more about an ancient art coming from the Shaolin Temple.
49.333,51.711,"When you grow up in an Asian family,"
51.711,53.489,it is quite common
53.489,57.911,"that firstly, you don't argue with your father,"
58.551,63.312,"and secondly, you either become medical doctor,"
63.622,66.309,"engineer, or lawyer."
66.309,71.53,Elsewise your parents will be very unhappy.
72.0,75.768,"So having that said,"
76.247,81.83,"I finished my academic education with two university degrees,"
81.83,83.39,"an MBA,"
84.28,89.388,and quite a collection of different certificates and diplomas -
89.388,94.734,everything that my parents thought would be useful to have.
95.074,98.601,"But throughout this education,"
100.506,102.687,I felt something was missing.
104.266,109.789,Because I was learning about many different aspects -
110.519,112.682,"how the plant is working,"
113.121,115.628,"what an atom is made out of,"
116.211,119.123,"how a political system is functioning,"
120.063,123.657,"but somehow, the subject was missing"
124.341,127.915,to learn something about myself.
129.941,132.127,"So with the age of four,"
132.127,133.441,for the first time
133.441,137.647,"I got introduced into the monastic practices,"
138.927,145.06,and I was very happy to find out that the main part of these practices
145.06,151.009,were dealing with the exploration and the discovery of yourself.
153.222,155.284,"There was mental training,"
156.926,163.183,"development of behavior combined with the physical training,"
163.183,168.546,all aspects of what nowadays is known as Shaolin Kung-Fu.
170.716,172.786,"Now, despite the wishes of my parents"
172.786,178.853,"to somehow go out in the market and try to manage the world,"
180.299,185.699,I decided to continue this monastic life
186.768,192.006,and start learning more about myself first.
193.487,197.237,"Now, in the preparation for this talk,"
197.237,202.358,I was asked to share a few words on
203.479,206.424,"what is important in this lifetime,"
207.998,209.387,"and see,"
211.719,214.719,it's already challenging
215.957,219.691,to put three decades into a single talk.
221.544,225.684,But the picture I would like to show you
226.531,228.971,summarizes very much
230.605,235.254,what I consider as being valuable in this lifetime.
237.408,242.626,There is something about sharing with others.
244.452,246.922,There is something about connection.
247.172,251.261,There is the training and development of yourself.
251.261,255.681,"It is to enjoy your time, even doing nothing."
256.093,258.79,And one main aspect is
260.0,261.474,to find a way
262.177,265.547,and do the things you like to do.
266.779,270.499,"Now, when I received the invitation"
270.869,273.045,"to have a talk at today's event,"
273.045,277.329,"especially under the slogan ""High, Higher, Highest,"""
278.087,282.972,"something very particular came up on my mind,"
283.352,288.449,and a master from the Shaolin Temple
289.219,295.325,once told me a story that I would like to share with you.
300.787,303.196,"A man was living close to a mountain,"
303.766,306.522,and every day he was thinking:
307.226,311.006,How would it be to climb that mountain
311.006,313.526,and what would I see on the peak?
314.096,320.464,"So finally, the day came, and the man went on the journey."
321.514,324.019,"Arriving at the foot of the mountain,"
324.019,326.037,he met the first traveler.
327.029,328.459,"So he asked,"
329.169,333.939,"""How did you get up the mountain, and what did you see from the top?"""
334.199,336.299,"And so the traveler shared his path,"
336.299,338.749,and also the view that he had.
340.053,342.363,"But then the man was thinking,"
344.113,349.178,"""The way that this traveler described to me sounds very exhausting."
350.158,352.713,"I need to find another way to climb."""
353.751,356.623,So he continued to walk on the foot of the mountain
356.623,359.116,until he met the next traveler.
359.366,361.504,"So once again he asked,"
362.244,364.747,"""How did you climb up that mountain,"
365.087,367.52,"and what did you see from the top?"""
368.76,371.55,And so again the traveler shared his story.
373.971,378.23,"Still not being determined on which direction and which way to go,"
380.11,384.91,"the man asked 30 more people, 30 more travelers."
385.61,388.2,"When he finished talking to all of them,"
388.2,390.578,he finally made up his mind.
391.12,394.65,"""Now that so many people already shared with me their paths"
394.65,398.73,"and especially what they all saw from the top,"
398.73,401.311,"I don't need to climb there anymore."""
401.95,403.99,It is very unfortunate
404.4,407.494,this man never went on the journey.
409.127,411.705,"Now, to conclude this story,"
413.257,414.492,"firstly,"
415.862,421.5,each individual needs to find the most suitable way
421.5,423.777,to climb that mountain.
425.754,429.841,"But secondly, there is information"
430.5,433.537,"possible to be shared with words,"
434.884,437.289,but it is impossible
438.993,442.819,to share the experience of clarity
442.819,447.409,when you are standing on that peak by yourself.
449.138,453.872,To invest the right effort
454.562,457.069,"in climbing that peak,"
458.037,463.966,"it's very much what all the Buddhist practices,"
464.637,466.304,"the Shaolin training,"
467.784,471.148,or any spiritual practice is about.
472.922,477.357,Clarity means you see more clear.
477.687,483.497,"When you see more clear, interrelations become more apparent."
483.757,485.187,"When you see more clear,"
485.187,492.117,there is no need to believe anyone or believe anything.
493.165,497.494,Seeing clear means you can distinguish for yourself
497.494,500.72,which is the proper direction to take
501.09,505.362,and which decisions do I have to make
505.362,511.923,in order to make my goals or aspirations start to shape?
512.203,515.653,"Now, at today's talk, you will have the chance"
515.653,521.039,to become inspired by quite a lot of different travelers.
521.279,523.844,"But in this particular talk,"
524.579,528.84,"I can't, and I won't tell you which way to go."
530.601,536.768,"It's just that along your personal journey,"
538.704,541.849,you will encounter challenges.
542.979,546.799,"Those challenges will either prevent you,"
547.139,549.898,"or some of them even stop you,"
550.378,553.632,from moving on and climbing that mountain.
555.004,558.764,"In the Shaolin Temple, we refer to them"
559.224,563.63,"as ""the five hindrances."""
564.68,571.22,The five hindrances are describing different states of the mind.
572.605,574.635,"In those states of the mind,"
574.635,578.46,it becomes very hard to see clearly
578.46,582.488,and therefore engage in the right decisions.
582.488,586.998,"The first hindrance is called ""sensual desire."""
586.998,591.17,Sensual desire arises in the moment
591.17,594.3,when you are paying attention to something
594.3,597.84,that is giving you a positive emotion.
598.983,604.633,This positive emotion can originate from five gates of your body:
605.693,611.75,"Seeing, hearing, smelling, tasting, or feeling."
613.117,618.159,"So in your mind, you climb up that mountain."
619.631,622.011,"After one mile of walking,"
622.301,625.543,you discover a beautiful restaurant
626.913,630.033,surrounded by beautiful people.
630.793,636.423,You smell delicious food and the great variety of beverages.
636.423,639.103,"When you follow that temptation,"
640.283,643.463,you have already lost your track.
644.153,648.379,When this temptation becomes so strong
648.659,652.17,"that you don't want to leave that place anymore,"
653.3,657.82,then the sensual desire has turned into an obsession.
659.738,661.466,"In both cases,"
661.776,667.721,remaining at that place means that you can't get clarity.
668.201,672.021,"The second hindrance, ""ill-will,"""
672.271,674.835,describes the state of the mind
675.215,678.645,that arises from negative emotions.
679.425,681.775,"In that state of the mind,"
