start_time,end_time,text
24.016,25.622,Good morning.
27.226,36.53300000000001,It has been quite a privilege being able to grow up in two quite different ways of life.
38.161,48.903,"I was born in Germany, and at the same time had the chance to learn more about an ancient art coming from the Shaolin Temple."
49.333,66.309,"When you grow up in an Asian family, it is quite common that firstly, you don't argue with your father, and secondly, you either become medical doctor, engineer, or lawyer."
66.309,71.52999999999999,Elsewise your parents will be very unhappy.
72.0,94.73399999999998,"So having that said, I finished my academic education with two university degrees, an MBA, and quite a collection of different certificates and diplomas - everything that my parents thought would be useful to have."
95.074,102.687,"But throughout this education, I felt something was missing."
104.266,127.915,"Because I was learning about many different aspects - how the plant is working, what an atom is made out of, how a political system is functioning, but somehow, the subject was missing to learn something about myself."
129.941,151.009,"So with the age of four, for the first time I got introduced into the monastic practices, and I was very happy to find out that the main part of these practices were dealing with the exploration and the discovery of yourself."
153.222,168.546,"There was mental training, development of behavior combined with the physical training, all aspects of what nowadays is known as Shaolin Kung-Fu."
170.716,192.00599999999994,"Now, despite the wishes of my parents to somehow go out in the market and try to manage the world, I decided to continue this monastic life and start learning more about myself first."
193.487,219.691,"Now, in the preparation for this talk, I was asked to share a few words on what is important in this lifetime, and see, it's already challenging to put three decades into a single talk."
221.544,235.25400000000002,But the picture I would like to show you summarizes very much what I consider as being valuable in this lifetime.
237.408,242.626,There is something about sharing with others.
244.452,246.922,There is something about connection.
247.172,251.261,There is the training and development of yourself.
251.261,255.68100000000004,"It is to enjoy your time, even doing nothing."
256.093,265.54700000000014,And one main aspect is to find a way and do the things you like to do.
266.779,295.32499999999993,"Now, when I received the invitation to have a talk at today's event, especially under the slogan ""High, Higher, Highest,"" something very particular came up on my mind, and a master from the Shaolin Temple once told me a story that I would like to share with you."
300.787,313.52599999999995,"A man was living close to a mountain, and every day he was thinking: How would it be to climb that mountain and what would I see on the peak?"
314.096,320.4639999999998,"So finally, the day came, and the man went on the journey."
321.514,326.03700000000003,"Arriving at the foot of the mountain, he met the first traveler."
327.029,333.9390000000003,"So he asked, ""How did you get up the mountain, and what did you see from the top?"""
334.199,338.7490000000001,"And so the traveler shared his path, and also the view that he had."
