start_time,stop_time,avg_intensity
0,20,11.228571428571428
20,40,11.383333333333333
40,60,9.879999999999999
60,80,10.0
80,100,10.0
100,120,9.86
120,140,14.216666666666667
140,160,11.16
160,180,10.0
180,200,10.0
200,220,10.0
220,240,10.583333333333334
240,260,10.82
260,280,8.866666666666667
280,300,31.3
300,320,16.68
320,340,19.64
340,360,17.26666666666667
360,380,13.419999999999998
380,400,16.14
400,420,19.099999999999998
420,440,24.9
440,460,31.766666666666666
460,480,31.560000000000002
480,500,21.52
500,520,22.733333333333334
520,540,21.3
540,560,29.900000000000002
560,580,52.5
580,600,52.08
600,620,45.583333333333336
620,640,47.4
640,660,56.23333333333333
660,680,69.76
680,700,52.0
700,720,54.199999999999996
720,740,69.66
740,760,67.8
760,780,50.160000000000004
780,800,53.3
800,820,52.300000000000004
820,840,54.02
840,860,67.88333333333334
860,880,52.96
880,900,52.7
900,920,51.61666666666667
920,940,53.279999999999994
940,960,67.44
960,980,91.8
980,1000,66.31666666666666
1000,1020,66.92
1020,1040,61.166666666666664
1040,1060,49.38
1060,1080,50.22
1080,1100,43.833333333333336
1100,1120,12.288888888888888
