start_time,end_time,words
20,40,Good morning . It has been quite a privilege being able to grow up in two quite different ways of life . I was born in
40,60,"Germany , and at the same time had the chance to learn more about an ancient art coming from the Shaolin Temple . When you grow up in an Asian family , it is quite common that firstly , you do n't argue with your father , and secondly ,"
60,80,"you either become medical doctor , engineer , or lawyer . Elsewise your parents will be very unhappy . So having that said , I finished my academic education with"
80,100,"two university degrees , an MBA , and quite a collection of different certificates and diplomas - everything that my parents thought would be useful to have . But throughout this education ,"
100,120,"I felt something was missing . Because I was learning about many different aspects - how the plant is working , what an atom is made out of , how a political system is functioning ,"
120,140,"but somehow , the subject was missing to learn something about myself . So with the age of four , for the first time I got introduced into the monastic practices , and I was"
140,160,"very happy to find out that the main part of these practices were dealing with the exploration and the discovery of yourself . There was mental training , development of behavior"
160,180,"combined with the physical training , all aspects of what nowadays is known as Shaolin Kung - Fu . Now , despite the wishes of my parents to somehow go out in the market and try to manage the world ,"
180,200,"I decided to continue this monastic life and start learning more about myself first . Now , in the preparation for this talk , I was asked to"
200,220,"share a few words on what is important in this lifetime , and see , it 's already challenging to put three decades into a single talk ."
220,240,But the picture I would like to show you summarizes very much what I consider as being valuable in this lifetime . There is something
240,260,"about sharing with others . There is something about connection . There is the training and development of yourself . It is to enjoy your time , even doing nothing . And one main aspect is"
260,280,"to find a way to find a way and do the things you like to do . Now , when I received the invitation to have a talk at today 's event , especially under the slogan "" High , Higher , Highest , "" something very"
280,300,"particular came up on my mind , and a master from the Shaolin Temple once told me a story that I would like to share with you ."
300,320,"A man was living close to a mountain , and every day he was thinking : How would it be to climb that mountain and what would I see on the peak ? So finally , the day came , and the man went on the"
320,340,"journey . Arriving at the foot of the mountain , he met the first traveler . So he asked , "" How did you get up the mountain , and what did you see from the top ? "" And so the traveler shared his path , and also the view that he had ."
340,360,"But then the man was thinking , "" The way that this traveler described to me sounds very exhausting . I need to find another way to climb . "" So he continued to walk on the foot of the mountain until he met the next traveler . So"
360,380,"once again he asked , "" How did you climb up that mountain , and what did you see from the top ? "" And so again the traveler shared his story . Still not being determined on which direction and which way to go ,"
380,400,"the man asked 30 more people , 30 more travelers . When he finished talking to all of them , he finally made up his mind . "" Now that so many people already shared with me their paths and especially what they all saw from the top , I do n't need to"
400,420,"climb there anymore . "" It is very unfortunate this man never went on the journey . Now , to conclude this story , firstly , each individual needs to find the"
420,440,"most suitable way to climb that mountain . But secondly , there is information possible to be shared with words , but it is impossible to share"
440,460,"the experience of clarity when you are standing on that peak by yourself . To invest the right effort in climbing that peak , it 's very much"
460,480,"what all the Buddhist practices , the Shaolin training , or any spiritual practice is about . Clarity means you see more clear . When you see more clear ,"
480,500,"interrelations become more apparent . When you see more clear , there is no need to believe anyone or believe anything . Seeing clear means you can distinguish for yourself which is the proper"
500,520,"direction to take and which decisions do I have to make in order to make my goals or aspirations start to shape ? Now , at today 's talk , you will have the chance to become inspired by quite a lot of"
520,540,"different travelers . But in this particular talk , I ca n't , and I wo n't tell you which way to go . It 's just that along your personal journey , you will"
540,560,"encounter challenges . Those challenges will either prevent you , or some of them even stop you , from moving on and climbing that mountain . In the Shaolin Temple , we refer to them as """
560,580,"the five hindrances . "" The five hindrances are describing different states of the mind . In those states of the mind , it becomes very hard to see clearly and therefore"
580,600,"engage in the right decisions . The first hindrance is called "" sensual desire . "" Sensual desire arises in the moment when you are paying attention to something that is giving you a positive emotion . This"
600,620,"positive emotion can originate from five gates of your body : Seeing , hearing , smelling , tasting , or feeling . So in your mind , you climb up that mountain ."
620,640,"After one mile of walking , you discover a beautiful restaurant surrounded by beautiful people . You smell delicious food and the great variety of beverages . When you follow that temptation ,"
640,660,"you have already lost your track . When this temptation becomes so strong that you do n't want to leave that place anymore , then the sensual desire has turned into an obsession ."
660,680,"In both cases , remaining at that place means that you ca n't get clarity . The second hindrance , "" ill - will , "" describes the state of the mind that arises from negative emotions . In"
680,700,"that state of the mind , you have an aversion , a rejection , or simply a dislike against either an object , a situation , or can be even a person . To simplify , it means : You are"
700,720,"climbing the mountain , and it starts to rain , but you do n't like rain . You discover the roads are bumpy , but you do n't like bumpy roads . In order to cross the river , you need to swim , but you do n’t like swimming ."
720,740,"Whatever it is that you dislike , it wo n’t make it a pleasant journey unless you learn to let go of this ill - will . It ’s more likely even that you wo n't continue that journey . The third hindrance originally translated as """
740,760,"sloth and torpor . "" "" Sloth "" means it ’s the heaviness of the body . "" Torpor "" means it ’s the dullness of the mind . It is characterized by sleepiness , non - motivation , lack of energy , and oftentimes can manifest"
760,780,"itself in a state of depression . Now , a simile used in Buddhism describes it as "" imprisonment . "" You find yourself locked in a cell . It becomes very hard to make any type of mental or"
780,800,"physical effort . So in order to continue your path , there is only one option left . You need to find a way to get out from that hole , from that cell . Now , the fourth hindrance is called "" restlessness . "" It is the"
800,820,"state of an unsettled mind . "" Unsettle mind "" means your mind can not settle . Settle where ? Settle in the present moment . An unsettled mind either is worrying about the future or traveling into the past"
820,840,"and rejecting , judging about an event that happened into your past . A simile used here is the monkey mind , constantly jumping from one branch to another , unable to stay for too long time at the"
840,860,"present moment . The problem is there is no time to see clearly anymore . Now , the last of the five hindrances is called "" skeptical doubt , "" and it 's very closely related to a state of mind which is based on"
860,880,indecisiveness . It is very easy in that state of mind getting lost in thoughts . Can I do this ? Is this the right path ? What will the others say ? What if this ? What if that ? The mind can not synchronize with your own actions anymore .
