start_time,end_time,text
0.033,1.901,I got 100 of my subscribers
1.901,4.104,"and gave them each $10,000."
4.104,7.007,And I also rented one of the largest malls in the world
7.007,8.475,and locked them inside.
8.475,11.511,"And for the next 10 hours, I'm gonna hunt them down."
11.511,12.345,Run!
12.345,13.179,Get outta here!
13.179,14.381,Skedaddle!
14.381,16.649,"If I find them, I take my $10,000 back."
16.649,18.918,"If they survive until morning, they keep it."
18.918,20.186,I've never been in this mall.
20.186,21.755,This place is massive.
21.755,22.589,Let's go!
22.589,23.656,"Oh my God, yes!"
23.656,25.892,"No, one's gonna find me here."
25.892,27.327,No way!
27.327,29.295,Can we put this in our pockets right now?
29.295,30.964,"I know I saw someone at Lego Land,"
30.964,32.565,so me and the boys are gonna check it out.
32.565,33.4,This is ridiculous.
33.4,34.534,"Whoa, this is actually crazy."
34.534,36.703,I know for a fact someone is in this room.
36.703,37.537,Isn't it funny
37.537,39.806,that there's probably gonna be somebody here?
39.806,41.307,Let's go this way.
43.243,44.077,Come on!
44.077,45.278,"Wait, you found someone up there?"
45.278,46.312,"Yo, my parents literally told me"
46.312,47.414,not to be the first person out.
47.414,49.182,"The first person has officially been found,"
49.182,52.452,and he has now transformed into a mannequin.
52.452,54.888,"One down, 99 more to go."
54.888,55.722,"We need to spread out,"
55.722,57.323,so I sent Chandler and Karl to Toys R Us
57.323,58.858,while I checked out the ice rink.
58.858,60.126,This mall literally has everything.
60.126,63.029,This vending machine is suspiciously far off the wall.
65.098,65.932,Oh.
65.932,67.167,Why is this vending machine like this?
67.167,68.001,There's a ladder.
68.001,70.07,"If they climbed up that ladder into the ceiling,"
70.07,71.337,they deserve to win 10 grand.
71.337,73.339,I'm feeling there's people at this Toys R Us.
73.339,74.507,Did you see people here?
74.507,75.341,Do you know?
75.341,76.209,I don't know.
76.209,77.043,"Yeah, right!"
77.043,78.711,Are you even hiding?
79.612,81.214,Is there anybody else in the Toys R Us?
81.214,82.048,Yes.
82.048,82.882,"Oh, his morals are shot!"
82.882,84.918,Someone's definitely behind these curtains.
87.22,88.054,"Oh, snap!"
88.054,89.889,"Yo, I was not expecting the first one."
89.889,90.957,Oh my gosh.
90.957,92.125,There's no one else over here?
92.125,93.426,"Here, hold one second."
93.426,94.26,See his face?
94.26,96.896,"Yeah, there's someone else here."
98.098,100.133,"Oh, I see another blue shirt."
100.133,101.101,I can't.
101.101,102.936,"I just saved another $20,000."
102.936,104.704,I'm sorry for ruining your dreams.
104.704,105.772,It's fine. It's fine.
105.772,106.739,Oh.
106.739,107.674,No!
107.674,109.008,Are you the only one here?
109.008,109.843,Yes.
109.843,110.677,"Well, you just lied to me"
110.677,111.511,'cause there's somebody right here.
111.511,113.213,What a good guy.
113.213,114.314,Oh no.
114.314,116.349,"I hate you so much, not you so much,"
116.349,117.684,but I hate you so much.
