start_time,end_time,text
0.033,4.104000000000001,"I got 100 of my subscribers and gave them each $10,000."
4.104,8.474999999999998,And I also rented one of the largest malls in the world and locked them inside.
8.475,11.511,"And for the next 10 hours, I'm gonna hunt them down."
11.511,12.345,Run!
12.345,13.179,Get outta here!
13.179,14.381,Skedaddle!
14.381,16.648999999999997,"If I find them, I take my $10,000 back."
16.649,18.918,"If they survive until morning, they keep it."
18.918,20.186000000000003,I've never been in this mall.
20.186,21.755000000000003,This place is massive.
21.755,22.588999999999995,Let's go!
22.589,23.656,"Oh my God, yes!"
23.656,25.891999999999996,"No, one's gonna find me here."
25.892,27.327,No way!
27.327,29.295,Can we put this in our pockets right now?
29.295,32.565,"I know I saw someone at Lego Land, so me and the boys are gonna check it out."
32.565,33.4,This is ridiculous.
33.4,34.534000000000006,"Whoa, this is actually crazy."
34.534,36.702999999999996,I know for a fact someone is in this room.
36.703,39.806000000000004,Isn't it funny that there's probably gonna be somebody here?
39.806,41.306999999999995,Let's go this way.
43.243,44.077,Come on!
44.077,45.278,"Wait, you found someone up there?"
45.278,47.414,"Yo, my parents literally told me not to be the first person out."
47.414,52.452,"The first person has officially been found, and he has now transformed into a mannequin."
52.452,54.888000000000005,"One down, 99 more to go."
54.888,58.858,"We need to spread out, so I sent Chandler and Karl to Toys R Us while I checked out the ice rink."
58.858,60.126,This mall literally has everything.
60.126,63.029,This vending machine is suspiciously far off the wall.
65.098,65.932,Oh.
65.932,67.167,Why is this vending machine like this?
67.167,68.001,There's a ladder.
68.001,71.33700000000002,"If they climbed up that ladder into the ceiling, they deserve to win 10 grand."
71.337,73.33900000000001,I'm feeling there's people at this Toys R Us.
73.339,74.50699999999999,Did you see people here?
74.507,75.341,Do you know?
75.341,76.209,I don't know.
76.209,77.043,"Yeah, right!"
77.043,78.711,Are you even hiding?
79.612,81.21400000000001,Is there anybody else in the Toys R Us?
81.214,82.048,Yes.
82.048,82.882,"Oh, his morals are shot!"
82.882,84.91800000000002,Someone's definitely behind these curtains.
87.22,88.054,"Oh, snap!"
88.054,89.88900000000002,"Yo, I was not expecting the first one."
89.889,90.957,Oh my gosh.
90.957,92.125,There's no one else over here?
92.125,93.426,"Here, hold one second."
93.426,94.26000000000002,See his face?
94.26,96.89599999999999,"Yeah, there's someone else here."
98.098,100.13300000000001,"Oh, I see another blue shirt."
100.133,101.101,I can't.
101.101,102.936,"I just saved another $20,000."
102.936,104.70399999999998,I'm sorry for ruining your dreams.
104.704,105.238,It's fine.
105.238,105.77199999999999,It's fine.
105.772,106.739,Oh.
106.739,107.674,No!
107.674,109.00799999999998,Are you the only one here?
109.008,109.843,Yes.
109.843,111.51099999999998,"Well, you just lied to me 'cause there's somebody right here."
111.511,113.21300000000001,What a good guy.
113.213,114.314,Oh no.
114.314,117.684,"I hate you so much, not you so much, but I hate you so much."
117.684,118.88500000000002,I'm a super broke college student.
118.885,120.88699999999999,This money would actually change my life.
120.887,125.12499999999999,"10 grand would definitely mean a lot for, not only me, but for my family."
125.125,128.394,"We've been searching for three hours, and I've only found seven people."
128.394,130.797,"So, I need some backup."
130.797,132.53200000000004,I called in Sapnap and Marques.
132.532,135.301,"Guys, I need you to search this ski resort 'cause I don't have time for it."
135.301,136.236,Hello?
136.236,137.704,"Ah, found 'em."
137.704,139.539,Another one.
139.539,140.0252857142857,Oh!
140.0252857142857,141.24099999999999,Oh God!
141.241,142.1627878787879,There's a person there!
142.1627878787879,142.842,There's someone?
142.842,144.54399999999993,"Oh my God, how did you get in there?"
144.544,145.612,I found the person.
145.612,146.61299999999997,"Oh, you made a little fort."
146.613,148.91500000000005,"That was a genuinely good idea, but we got it."
148.915,152.48500000000004,"Nolan's checking the trashcans, Sapnap and Marques Brownlee are checking the ski resort."
152.485,154.92100000000005,I wonder how Karl and Chandler are doing?
154.921,159.02499999999992,We are gonna check every single water slide here twice.
159.025,162.22800000000004,I don't see anybody in there.
163.363,165.83200000000002,I didn't see anybody in there.
165.832,166.66599999999997,We're gonna check.
166.666,167.50000000000003,We're looking.
167.5,169.16900000000004,We'll check this slide.
169.169,171.037,"Wait, guys, there's nobody up here."
171.037,171.871,Hello?
171.871,172.705,"Yo, you called?"
172.705,174.07300000000006,"Yeah, I was curious what you're up to?"
174.073,175.27500000000003,We're at the water park.
175.275,176.109,I trust you.
176.109,177.81000000000003,"Just try to find more people, okay?"
177.81,178.64500000000004,Should we check?
178.645,180.38,They're not even allowed to be in there.
180.38,181.48100000000002,But what if they're cheating?
181.481,183.683,That's fair.
183.683,184.651,No way.
184.651,185.718,No way.
185.718,187.31999999999994,Now we're allowed to go on the slide!
187.32,188.254,Yeah!
188.254,189.088,Getting out of Toys R Us.
189.088,192.69199999999998,Apparently they were coming into Toys R Us.
193.693,194.761,I see you!
194.761,195.728,What's your number?
204.003,205.838,"Hey, where are you, sneaky?"
205.838,209.075,You're not gonna pull a fast one on Nolan!
209.075,213.846,"While the contestant was running from Nolan, he actually ran straight into Chandler and Karl."
213.846,215.21499999999997,"Look, he's running away!"
215.215,216.049,What?
216.049,218.18399999999997,"He's lucky my feet are wet, and I don't have shoes on."
218.184,219.152,I'm catching you.
219.152,221.821,Around the corner!
224.457,225.291,No!
226.426,227.62699999999998,You're fast.
227.627,231.464,"With just under six hours left, we had 78 people left to find."
232.532,234.76700000000002,We should go find people.
236.603,237.93700000000004,There's a briefcase right there.
237.937,241.374,That means there's somebody nearby.
241.374,242.208,Are you awake?
242.208,243.042,She's asleep.
244.143,245.111,Hello?
245.111,245.33076470588233,"Yeah,"
245.33076470588233,246.045,but we found you.
246.045,246.879,Good morning.
246.879,247.71399999999997,"No, you didn't."
247.714,248.54799999999997,"What is this, Tareq?"
248.548,249.382,A panda.
249.382,250.21600000000004,A hiding spot.
250.216,253.31900000000002,"If you're in this pile of ginormous stuffed animals, you're gonna get found."
253.319,254.654,See that zebra blanket right there?
254.654,256.556,That's oddly stretched out in the shape of a human.
256.556,257.99099999999993,Let's see if I just made 10 grand.
259.325,260.39300000000003,I think I scared you.
260.393,262.462,"No, but that would've been embarrassing if you weren't there."
262.462,264.197,Ya boy's exhausted.
265.665,266.99999999999994,No way you're back there.
267.0,269.335,"Yo, we have a little guest."
269.335,270.27,That's crazy.
270.27,271.104,Good luck to you.
271.104,273.07200000000006,"Thank you, you too."
273.072,274.04,"Yeah, let me get a putter."
274.04,275.241,"Chandler, what are you doing?"
275.241,276.442,You don't work here.
276.442,277.277,Relax.
277.277,278.2440000000001,What are you guys doing?
278.244,279.312,We're supposed to be looking.
279.312,280.28000000000003,"We're looking, man."
280.28,282.815,And you have to stop undermining the fact that we're looking.
282.815,285.5510000000001,"I don't know where he is, so..."
287.52,290.95699999999994,They are playing mini golf right outside.
294.661,295.495,Howdy.
295.495,297.2299999999999,They caught someone right outside the box.
297.23,301.167,"Experience is what it's all about, and I'm glad you guys got to play putt-putt while making me lose."
302.101,307.74,"We've caught 37 people so far, which might sound great, but I still have $630,000 on the line."
307.74,309.4419999999999,I think I might need some backup.
309.442,312.412,At exactly 5:00 AM I scheduled a SWAT team to show up.
312.412,315.4150000000001,"Believe it or not, there's an entire theme park in here."
315.415,316.949,We haven't even searched it yet.
316.949,318.0509999999999,Does this not look cool?
318.051,319.652,Here's the twist I haven't told them yet.
319.652,322.422,"Every person you guys find, I'll let you keep half the money."
322.422,323.289,"Yes, sir."
323.289,324.123,They're so serious.
324.123,324.957,What's the plan?
324.957,325.792,Do your thing.
325.792,326.62600000000003,You two back there.
326.626,328.72799999999984,"Us three, we're just gonna circle around the whole mall."
328.728,331.12999999999994,"7752, make sure the area's clear before we leave it."
331.13,334.80099999999993,Someone under the stairs by the exit.
334.801,335.635,What?
335.635,336.469,No way.
336.469,338.83799999999997,They are scanning this place like crazy.
338.838,341.54100000000005,"77, check behind the escalators to your nine."
341.541,345.04400000000004,"So, you're currently operating a thermal drone, and then calling it out to your people."
345.044,347.04599999999994,"Hey, we got two behind by the brown mat."
347.046,348.981,"Oh my gosh, there was a drone."
348.981,350.316,"Wait, is that someone hiding?"
350.316,351.14999999999986,"Come on, let's go, let's go."
351.15,351.984,"Come on, we're out."
351.984,352.88500000000005,How long have you been under there?
352.885,353.72,The whole time.
353.72,354.5539999999999,The whole time?
354.554,357.156,There's a drone flying literally right above my head.
357.156,357.99,All clear.
357.99,358.82500000000005,Oh my God.
358.825,360.25899999999996,How long have you been back there?
360.259,361.46099999999996,About five hours.
361.461,362.295,Tired.
362.295,363.83,Not gonna get away money on our watch.
363.83,365.431,This SWAT team does not mess around.
365.431,367.6329999999999,"Oh my God, bro, look at how many people they're finding."
367.633,369.4350000000001,He's carrying that like it weighs nothing.
369.435,372.972,You all managed to find 10 people faster than I found like two.
372.972,374.874,"As promised, you guys can take half of 'em."
374.874,375.708,Are you for real?
375.708,376.542,Yeah.
376.542,377.377,Thank you.
377.377,378.67799999999994,"Actually, here, take this one as well."
378.678,379.81199999999995,You each to get a clean briefcase of 10 grand.
379.812,380.646,Thank you!
380.646,381.481,Thank you.
381.481,382.315,Appreciate it.
382.315,384.217,SWAT team that crushed my dreams.
384.217,387.22,"And now that that's done, this entire theme park has to be empty."
387.22,388.42100000000005,Somehow they missed me.
388.421,390.89000000000016,I guess the drone didn't see me.
390.89,392.32499999999993,And now they're mannequins.
392.325,393.526,The hunt continues.
393.526,396.09499999999997,"Even with the SWAT team, we have too much area to search."
396.095,398.36399999999986,We've gotta get some contestants out in the open.
398.364,400.5659999999999,"And to do it, I called upon our friend, Jack Black."
400.566,403.26900000000006,This is gonna play over every speaker in the entire mall.
403.269,405.00399999999996,Jimmy's closing the water park.
405.004,407.807,You guys better find a new place to hide if you want that money.
407.807,408.641,"Thank you, Jack Black."
408.641,409.742,I love him so much.
409.742,411.8110000000001,He just said that they closed down the water park.
411.811,418.351,I have to go down all these flights I'm going to keep hiding here 'til the end of the night.
418.351,421.28699999999986,My next mission right now is gonna be to go to pee.
421.287,422.7219999999999,I hope I survive?
422.722,424.35699999999997,Gonna try to go under the stage right now.
424.357,426.4589999999999,I don't think he'll be able to catch us there.
429.362,430.696,Alrighty.
