start_time,end_time,words
0,5,"I got 100 of my subscribers and gave them each $ 10,000 . And I also"
5,10,"rented one of the largest malls in the world and locked them inside . And for the next 10 hours ,"
10,15,I 'm gon na hunt them down . Run ! Get outta here ! Skedaddle ! If I find
15,20,"them , I take my $ 10,000 back . If they survive until morning , they keep it . I 've never been in this"
20,25,"mall . This place is massive . Let 's go ! Oh my God , yes ! No , one 's gon na"
25,30,find me here . No way ! Can we put this in our pockets right now ? I know I saw
30,35,"someone at Lego Land , so me and the boys are gon na check it out . This is ridiculous . Whoa , this is actually crazy . I know"
35,40,for a fact someone is in this room . Is n't it funny that there 's probably gon na be somebody here ?
40,45,"Let 's go this way . Come on ! Wait , you found someone"
45,50,"up there ? Yo , my parents literally told me not to be the first person out . The first person has officially been found , and he has"
50,55,"now transformed into a mannequin . One down , 99 more to go . We"
55,60,"need to spread out , so I sent Chandler and Karl to Toys R Us while I checked out the ice rink . This mall literally has"
60,65,everything . This vending machine is suspiciously far off the wall .
65,70,Oh . Why is this vending machine like this ? There 's a ladder . If they climbed up that ladder into the
70,75,"ceiling , they deserve to win 10 grand . I 'm feeling there 's people at this Toys R Us . Did you see people here ? Do you"
75,80,"know ? I do n't know . Yeah , right ! Are you even hiding ? Is there"
80,85,"anybody else in the Toys R Us ? Yes . Oh , his morals are shot ! Someone 's definitely behind these curtains ."
85,90,"Oh , snap ! Yo , I was not expecting the first one ."
90,95,"Oh my gosh . There 's no one else over here ? Here , hold one second . See his face ? Yeah ,"
95,100,"there 's someone else here . Oh , I see another blue"
100,105,"shirt . I ca n't . I just saved another $ 20,000 . I 'm sorry for ruining your dreams . It 's"
105,110,fine . It 's fine . Oh . No ! Are you the only one here ? Yes .
110,115,"Well , you just lied to me 'cause there 's somebody right here . What a good guy . Oh no . I hate you"
115,120,"so much , not you so much , but I hate you so much . I 'm a super broke college student . This money would"
120,125,"actually change my life . 10 grand would definitely mean a lot for , not only me , but for my"
125,130,"family . We 've been searching for three hours , and I 've only found seven people . So , I need some"
130,135,"backup . I called in Sapnap and Marques . Guys , I need you to search this ski resort 'cause I do n't have"
135,140,"time for it . Hello ? Ah , found 'em . Another one ."
140,145,"Oh ! Oh God ! There 's a person there ! There 's someone ? Oh my God , how did you get in there ? I found"
145,150,"the person . Oh , you made a little fort . That was a genuinely good idea , but we got it . Nolan 's checking the"
150,155,"trashcans , Sapnap and Marques Brownlee are checking the ski resort . I wonder how Karl and Chandler are doing ?"
155,160,We are gon na check every single water slide here twice . I do n't
160,165,see anybody in there . I did n't see
165,170,"anybody in there . We 're gon na check . We 're looking . We 'll check this slide . Wait , guys ,"
170,175,"there 's nobody up here . Hello ? Yo , you called ? Yeah , I was curious what you 're up to ? We 're at the"
175,180,"water park . I trust you . Just try to find more people , okay ? Should we check ? They 're not even allowed to"
180,185,be in there . But what if they 're cheating ? That 's fair . No way .
185,190,No way . Now we 're allowed to go on the slide ! Yeah ! Getting out of Toys R Us .
190,195,Apparently they were coming into Toys R Us . I see you !
195,200,What 's your number ?
200,205,"Hey , where"
205,210,"are you , sneaky ? You 're not gon na pull a fast one on Nolan ! While the contestant"
210,215,"was running from Nolan , he actually ran straight into Chandler and Karl . Look , he 's running"
215,220,"away ! What ? He 's lucky my feet are wet , and I do n't have shoes on . I 'm catching you ."
220,225,Around the corner !
225,230,"No ! You 're fast . With just under six hours left , we had 78"
230,235,people left to find . We should go find people .
235,240,There 's a briefcase right there . That means there 's
240,245,somebody nearby . Are you awake ? She 's asleep .
245,250,"Hello ? Yeah , but we found you . Good morning . No , you did n't . What is this , Tareq ? A panda . A hiding"
250,255,"spot . If you 're in this pile of ginormous stuffed animals , you 're gon na get found . See that zebra blanket right there ? That 's"
255,260,oddly stretched out in the shape of a human . Let 's see if I just made 10 grand . I think I
260,265,"scared you . No , but that would 've been embarrassing if you were n't there . Ya boy 's exhausted ."
265,270,"No way you 're back there . Yo , we have a little guest . That 's"
270,275,"crazy . Good luck to you . Thank you , you too . Yeah , let me get a putter . Chandler , what are you"
275,280,doing ? You do n't work here . Relax . What are you guys doing ? We 're supposed to be looking . We 're
280,285,"looking , man . And you have to stop undermining the fact that we 're looking . I do n't know where"
285,290,"he is , so ... They are playing mini golf"
290,295,right outside .
295,300,"Howdy . They caught someone right outside the box . Experience is what it 's all about , and I 'm glad you guys got to play putt - putt"
300,305,"while making me lose . We 've caught 37 people so far , which might sound great , but"
305,310,"I still have $ 630,000 on the line . I think I might need some backup . At"
310,315,"exactly 5:00 AM I scheduled a SWAT team to show up . Believe it or not , there 's an entire theme"
315,320,park in here . We have n't even searched it yet . Does this not look cool ? Here 's the twist I have n't told them yet . Every
320,325,"person you guys find , I 'll let you keep half the money . Yes , sir . They 're so serious . What 's the plan ?"
325,330,"Do your thing . You two back there . Us three , we 're just gon na circle around the whole mall . 7752 , make sure the area 's"
330,335,clear before we leave it . Someone under the stairs by the exit .
335,340,"What ? No way . They are scanning this place like crazy . 77 , check behind"
340,345,"the escalators to your nine . So , you 're currently operating a thermal drone , and then calling it out to your"
345,350,"people . Hey , we got two behind by the brown mat . Oh my gosh , there was a drone . Wait , is that someone"
