start_time,stop_time,avg_intensity
0,20,49.45
20,40,17.711111111111112
40,60,15.2625
60,80,10.3125
80,100,10.0
100,120,11.955555555555556
120,140,21.7
140,160,22.91111111111111
160,180,10.0
180,200,10.0
200,220,10.0
220,240,10.0
240,260,10.0
260,280,9.825
280,300,22.1
300,320,11.3875
320,340,10.0
340,360,10.0
360,380,11.066666666666666
380,400,13.575
400,420,10.0
420,440,24.3875
440,460,13.125
460,480,9.822222222222223
480,500,10.0
500,520,10.0
520,540,10.0
540,560,10.0
560,580,12.0125
580,600,26.433333333333334
600,620,10.025
620,640,10.0
640,660,10.0
660,680,10.0
680,700,10.0
700,720,11.125
720,740,10.666666666666666
