start_time,end_time,text
0.12,2.51,Hello friends it's me today we are
2.52,3.629,watching videos that will make your
3.6390000000000002,7.829,brain hurt I look some skis wo how' you
7.839,11.07,do that is it broken is it chewy is it
11.08,14.35,stretchy what how is it doing this okay
14.36,16.07,this I can't tell if it's AI or not
16.08,17.99,because it looks way too realistic but
18.0,19.59,like how do they do that it has to be an
19.6,21.47,edit like that thing is stretchy it's
21.48,22.99,glitching up I think there's something
23.0,24.47,wrong with your skis you got to wait for
24.48,26.55,them to patch Us in the next update Ro
26.56,30.029,is climbing a ladder right okay wow very
30.039,32.51,cool very cool have you noticed there's
32.52,34.43,no support on this ladder oh is he going
34.44,36.229,to go through it is he going to pull
36.239,38.19,himself through it and somehow end oh he
38.2,41.11,did a flip even better wo you know
41.12,43.75,nothing but sheer determination and Aura
43.76,45.99,keeping this ladder up bro flipped
46.0,48.869,himself on a freestanding ladder do you
48.879,50.91,have any idea how much strength this
50.92,53.15,would take this is like extremely
53.16,54.79,impressive I would even think I could do
54.8,56.709,this on a ladder with some legs with
56.719,58.91,three people holding the ladder bro just
58.92,60.91,casually pretending that gravity doesn't
60.92,63.869,exist knock knock who's there wa your
63.879,66.03,cat is
66.04,69.19,huge wait a second maybe the house is
69.2,72.109,small oh that's a
72.119,75.87,child okay this is weird it looks like a
75.88,78.469,very modern apartment there's also cars
78.479,83.55,outside it's even got an
83.56,85.91,elevator it even makes the elevator
85.92,88.63,sounds and has marble floors like bro
88.64,91.39,this is like a super modern futuristic
91.4,94.109,Barbie playhouse for billionaire kids
94.119,96.03,it's even got ambient Lighting on the
96.04,98.31,ceiling for friends sake it's got a
98.32,100.91,backlit mirror in the bathroom this has
100.92,103.71,to be a replica of somebody's very fancy
103.72,106.069,house it's probably this big maybe
106.079,108.749,bigger kids look like giants in here
108.759,110.709,just drink half a bottle of water we'll
110.719,113.19,save the other half for later okay
113.2,116.069,everyone does
116.079,119.029,this bro made a little water bottle boat
119.039,121.029,nothing could have prepared me for this
121.039,123.069,moment you drink half a bottle of water
123.079,126.149,half right vertically not horizontally
126.159,128.15,what's wrong with you enjoy sipping the
128.16,129.71,other half from your little water bottle
129.72,131.55,boat and leave me out of these
131.56,134.19,Shenanigans I spent 2 weeks looking for
134.2,136.71,my iPad do you see the iPad the cover of
136.72,139.35,the iPad matches the seat perfectly it
139.36,140.869,looks like it's part of the seat has
140.879,142.91,nobody accidentally sat on this like is
142.92,145.27,that my frail buttbone or an iPad
145.28,146.99,usually when you lose something that you
147.0,149.11,use all the time it's usually right in
149.12,150.79,front of your eyes and then you miss it
150.8,153.15,like where did my glasses go oh nine
153.16,154.949,times out of 10 they're on my head this
154.959,156.509,is an optical illusion called The
156.519,158.79,Parallax effect where it looks like like
158.8,160.83,the plane is just floating in place bro
160.84,163.07,is glitching in real time just casually
163.08,164.869,over the ocean like hold on I'm waiting
164.879,167.03,for the other plane to pass before I go
167.04,168.99,so he's actually moving and if you keep
169.0,170.55,watching the video you can kind of see
170.56,172.55,like he's over the bridge now but the
172.56,174.75,way that the planes are moving together
174.76,176.99,when you move in the same parallel plane
177.0,178.75,it looks like you're not moving at all
178.76,180.869,pretty cool huh this is the sanso
180.879,182.949,football stadium in Milan it has a
182.959,185.19,spiral walkway and when people are
185.2,187.309,walking on it it looks like the entire
187.319,189.71,staircase is rotating but it's not it's
189.72,191.71,just the people making it look like it's
191.72,194.27,rotating isn't that so cool like it
194.28,196.509,looks like it's spinning no the people
196.519,198.27,are making it look like it's spinning by
198.28,199.99,walking down you know what if they all
200.0,202.75,walked up it would rotate the other way
202.76,205.509,remake instant Ramen okay it's
205.519,207.509,finished wait what are you doing why did
207.519,209.75,you drain it why are you cleaning it
209.76,211.39,aren't you going to eat it are we
211.4,214.11,reversing the entire process with a fine
214.12,216.429,tooth comb
216.439,218.47,rearrange all the
218.48,221.869,noodles and the dried toppings oh wow
221.879,228.4,put in the oven to dehydrate
233.0,235.55,it put all of the
235.56,238.589,toppings in a little contain oh wait oh
238.599,241.19,wait bro bro was really dedicated to
241.2,243.27,reversing the ramen he prints out the
243.28,246.03,ramen package oh we're doing this legit
246.04,248.229,just like brand new you could have just
248.239,250.589,used another Ramen package no not good
250.599,253.069,enough we started at 100 and now we're
253.079,256.11,at one even the little seasoning packet
256.12,259.509,I'm shook he like reduced the sauce he
259.519,261.909,did a little reduction into a
261.919,263.95,concentration and then put it all back
263.96,266.07,where it belongs you seal it off with a
266.08,268.31,hair straightener and it's like brand
268.32,270.71,new congratulations you can get one
270.72,272.67,whole dollar for that now I can't
272.68,275.95,believe bro just DIY some packaged Ramen
275.96,278.55,you can restore to factory settings
278.56,280.629,revert to its original form the
280.639,283.59,dehydrated Ramen Circle and the packets
283.6,285.55,I cannot believe this now sell it to
285.56,287.469,somebody see if they notice a difference
287.479,288.71,I wonder if somebody would cook this
288.72,289.83,again and they'd be like something
289.84,292.189,missing 50% of the flavor is gone almost
292.199,294.39,tastes like it's been cooked before one
294.4,296.55,star how do you like your fries with
296.56,298.67,ketchup on the side or ketchup drizzled
298.68,301.23,on top either way okay wrong answer this
301.24,303.27,is how this guy does fries ketchup then
303.28,305.55,fries then ketchup then fries then more
305.56,307.23,ketchup and another layer are you the
307.24,308.67,guy who ordered extra fries with your
308.68,311.029,ketchup here let me just top you off a
311.039,313.31,little bit fantastic oh man the fury
313.32,315.31,completely missed the fries it's
315.32,316.95,the best part completely normal
316.96,319.27,treatment of your average ketchup lover
319.28,322.27,backing an 18-wheeler like a pro there
322.28,324.83,is no way that truck can back up into
324.84,326.43,that corner like you're already too far
326.44,328.309,ahead like how do you even do this the
328.319,330.189,parking lot is full you hit the other
330.199,331.95,truck it's so close bro you like you're
331.96,333.629,already messed up bro there's like three
333.639,335.629,spots next to it like empty spots no
335.639,336.629,you're going to hit it you're going to
336.639,338.629,hit the car oh stop doing that stop
338.639,340.749,going in and out you ain't a burger oh
340.759,342.309,wow okay that was actually very
342.319,343.71,impressive you know maybe that's the
343.72,346.51,tech the In-N-Out until you get it right
346.52,348.83,oh he's so long and
348.84,351.79,awkward it's just the way I like my
351.8,354.469,men I hate these AI videos you're
354.479,356.43,watching a plate of mushrooms and then
356.44,359.39,what is that Suddenly It's a bird when
