start_time,end_time,words
0,20,Hello friends it 's me today we are watching videos that will make your brain hurt I look some skis wo how ' you do that is it broken is it chewy is it stretchy what how is it doing this okay this I ca n't tell if it 's AI or not because it looks way too realistic but like how do they do that it has to be an edit
20,40,like that thing is stretchy it 's glitching up I think there 's something wrong with your skis you got to wait for them to patch Us in the next update Ro is climbing a ladder right okay wow very cool very cool have you noticed there 's no support on this ladder oh is he going to go through it is he going to pull himself through it and somehow end oh he did a flip even
40,60,better wo you know nothing but sheer determination and Aura keeping this ladder up bro flipped himself on a freestanding ladder do you have any idea how much strength this would take this is like extremely impressive I would even think I could do this on a ladder with some legs with three people holding the ladder bro just casually pretending
60,80,that gravity does n't exist knock knock who 's there wa your cat is huge wait a second maybe the house is small oh that 's a child okay this is weird it looks like a very modern apartment there 's also cars
80,100,outside it 's even got an elevator it even makes the elevator sounds and has marble floors like bro this is like a super modern futuristic Barbie playhouse for billionaire kids it 's even got ambient Lighting on the ceiling for friends sake it 's got a backlit mirror in the
100,120,bathroom this has to be a replica of somebody 's very fancy house it 's probably this big maybe bigger kids look like giants in here just drink half a bottle of water we 'll save the other half for later okay everyone does this bro made a little water bottle boat nothing could
120,140,have prepared me for this moment you drink half a bottle of water half right vertically not horizontally what 's wrong with you enjoy sipping the other half from your little water bottle boat and leave me out of these Shenanigans I spent 2 weeks looking for my iPad do you see the iPad the cover of the iPad matches the seat perfectly it looks like it
140,160,'s part of the seat has nobody accidentally sat on this like is that my frail buttbone or an iPad usually when you lose something that you use all the time it 's usually right in front of your eyes and then you miss it like where did my glasses go oh nine times out of 10 they 're on my head this is an optical illusion called The Parallax effect where it looks like like the plane is just
160,180,floating in place bro is glitching in real time just casually over the ocean like hold on I 'm waiting for the other plane to pass before I go so he 's actually moving and if you keep watching the video you can kind of see like he 's over the bridge now but the way that the planes are moving together when you move in the same parallel plane it looks like you 're not moving at all pretty cool huh
180,200,this is the sanso football stadium in Milan it has a spiral walkway and when people are walking on it it looks like the entire staircase is rotating but it 's not it 's just the people making it look like it 's rotating is n't that so cool like it looks like it 's spinning no the people are making it look like it 's spinning by walking down you know what if they all
