start_time,stop_time,avg_intensity
0,5,47.05
5,10,54.6
10,15,16.799999999999997
15,20,14.166666666666666
20,25,11.8
25,30,14.7
30,35,15.1
35,40,13.95
40,45,12.3
45,50,10.3
50,55,9.799999999999999
55,60,10.0
60,65,10.0
65,70,10.0
70,75,9.2
75,80,15.933333333333335
80,85,14.850000000000001
85,90,9.466666666666667
90,95,10.0
95,100,10.0
100,105,9.766666666666667
105,110,11.399999999999999
110,115,14.05
115,120,16.15
120,125,16.099999999999998
125,130,25.45
130,135,39.0
135,140,41.65
140,145,34.400000000000006
145,150,23.03333333333333
150,155,15.95
155,160,13.5
160,165,11.05
165,170,10.4
170,175,10.933333333333332
175,180,9.8
180,185,12.733333333333334
185,190,18.8
190,195,21.133333333333333
195,200,15.399999999999999
200,205,9.299999999999999
205,210,10.0
210,215,10.0
215,220,10.0
220,225,10.0
225,230,10.0
230,235,10.0
235,240,10.0
240,245,10.0
245,250,10.0
250,255,10.0
255,260,10.0
260,265,10.0
265,270,10.0
270,275,10.0
275,280,10.0
280,285,10.0
285,290,10.0
290,295,10.0
295,300,10.0
300,305,10.0
305,310,10.0
310,315,10.0
315,320,10.0
320,325,10.0
325,330,10.0
330,335,9.2
335,340,10.25
340,345,28.5
345,350,64.4
350,355,100.75
355,360,69.76666666666667
360,365,37.349999999999994
365,370,26.8
370,375,15.1
375,380,14.4
380,385,15.333333333333334
385,390,15.799999999999999
390,395,17.266666666666666
395,400,18.25
400,405,11.8
405,410,9.7
410,415,9.833333333333334
415,420,10.15
420,425,11.05
425,430,12.766666666666666
430,435,12.05
435,440,15.466666666666667
440,445,22.4
445,450,21.549999999999997
450,455,13.4
455,460,8.95
460,465,10.0
465,470,10.0
470,475,10.0
475,480,9.366666666666667
480,485,13.350000000000001
485,490,21.55
490,495,33.5
495,500,18.400000000000002
500,505,7.75
505,510,10.0
510,515,10.0
515,520,10.0
520,525,9.433333333333334
525,530,13.95
530,535,20.900000000000002
535,540,22.4
540,545,18.65
545,550,12.133333333333333
550,555,9.25
555,560,10.0
560,565,10.0
565,570,10.0
570,575,10.0
575,580,10.0
580,585,10.0
585,590,10.0
590,595,10.0
595,600,10.0
600,605,10.0
605,610,10.0
610,615,10.0
615,620,10.0
620,625,10.0
625,630,10.0
630,635,10.0
635,640,6.4
