timestamp_sec,intensity
0.000,0.000
1.984,14.300
3.968,68.000
9.920,71.700
15.872,75.300
21.824,30.700
29.760,18.500
37.696,6.300
41.664,8.700
49.599,10.600
57.535,12.500
61.503,24.400
69.439,28.100
77.375,31.700
81.343,30.800
89.279,28.700
97.215,26.500
101.183,21.100
109.119,17.400
117.055,13.700
121.023,10.800
128.959,10.000
136.894,9.200
140.862,13.400
148.798,13.400
156.734,13.400
160.702,10.700
168.638,10.000
176.574,9.300
180.542,10.000
188.478,10.000
196.414,10.000
200.382,8.800
208.318,10.000
216.253,11.200
220.221,16.100
228.157,16.100
236.093,16.100
240.061,9.800
247.997,10.000
255.933,10.200
259.901,17.100
267.837,17.100
275.773,17.100
279.741,11.400
287.677,10.000
295.613,8.600
299.581,10.000
307.516,10.000
315.452,10.000
319.420,9.700
327.356,10.000
335.292,10.300
339.260,11.300
347.196,11.300
355.132,11.300
359.100,10.300
367.036,10.000
374.972,9.700
378.940,10.000
386.876,10.000
394.811,10.000
398.779,9.300
406.715,10.000
414.651,10.700
418.619,12.000
426.555,13.700
434.491,15.500
438.459,13.400
446.395,18.600
454.331,23.800
458.299,40.600
466.235,39.600
474.171,38.700
478.138,18.200
486.074,13.800
494.010,9.400
497.978,1.700
505.914,17.500
513.850,33.300
517.818,78.100
525.754,92.800
533.690,107.500
537.658,106.800
545.594,91.000
553.530,75.200
557.498,28.100
565.433,13.600
573.369,-0.800
577.337,16.800
585.273,18.700
593.209,20.600
597.177,21.300
605.113,23.100
613.049,24.800
617.017,29.600
624.953,27.200
632.889,24.800
636.857,7.400
644.793,11.000
652.728,14.600
656.696,43.200
664.632,45.400
672.568,47.600
676.536,28.100
684.472,21.800
692.408,15.500
696.376,16.000
704.312,13.900
712.248,11.800
716.216,12.100
724.152,11.300
732.088,10.500
736.055,10.300
743.991,10.000
751.927,9.700
755.895,10.000
763.831,10.000
771.767,10.000
775.735,7.900
783.671,10.000
791.607,12.100
795.575,17.700
803.511,20.700
811.447,23.700
815.415,25.500
823.350,24.900
831.286,24.300
835.254,20.600
843.190,17.600
851.126,14.700
855.094,11.000
863.030,10.000
870.966,9.000
874.934,12.100
882.870,12.400
890.806,12.800
894.774,11.200
902.710,11.900
910.645,12.700
914.613,9.900
922.549,16.100
930.485,22.300
934.453,42.700
942.389,42.800
950.325,42.800
954.293,22.900
962.229,16.300
970.165,9.800
974.133,11.300
982.069,10.000
990.005,8.700
993.972,10.000
1001.908,10.000
1009.844,10.000
1013.812,8.800
1021.748,10.000
1029.684,11.200
1033.652,15.200
1041.588,15.800
1049.524,16.300
1053.492,13.900
1061.428,12.800
1069.364,11.600
1073.332,10.600
1081.267,10.000
1089.203,9.400
1093.171,10.000
1101.107,10.000
1109.043,10.000
1113.011,10.000
1120.947,10.000
1128.883,10.000
1132.851,10.000
1140.787,10.000
1148.723,10.000
1152.691,10.000
1160.627,10.000
1168.562,10.000
1172.530,7.400
1180.466,10.000
1188.402,12.600
1192.370,22.900
1200.306,22.900
1208.242,22.900
1212.210,12.500
1220.146,10.000
1228.082,7.500
1232.050,10.600
1239.986,10.600
1247.922,10.600
1251.890,8.200
1259.825,10.000
1267.761,11.800
1271.729,19.200
1279.665,19.400
1287.601,19.700
1291.569,13.200
1299.505,11.300
1307.441,9.400
1311.409,9.100
1319.345,10.000
1327.281,10.900
1331.249,15.700
1339.184,15.700
1347.120,15.700
1351.088,11.200
1359.024,10.100
1366.960,8.900
1370.928,7.700
1378.864,10.000
1386.800,12.300
1390.768,21.400
1398.704,21.400
1406.640,21.400
1410.608,12.300
1418.544,10.000
1426.479,7.700
1430.447,10.000
1438.383,10.000
1446.319,10.000
1450.287,7.500
1458.223,10.000
1466.159,12.500
1470.127,21.100
1478.063,22.400
1485.999,23.800
1489.967,19.100
1497.903,16.600
1505.839,14.100
1509.807,-6.700
1517.742,10.000
1525.678,26.700
1529.646,89.200
1537.582,100.000
1545.518,110.800
1549.486,80.200
1557.422,64.200
1565.358,48.100
1569.326,30.500
1577.262,19.700
1585.198,8.900
1589.166,11.900
1597.102,10.000
1605.037,8.100
1609.005,10.000
1616.941,10.000
1624.877,10.000
1628.845,10.000
1636.781,10.000
1644.717,10.000
1648.685,10.000
1656.621,10.000
1664.557,10.000
1668.525,10.000
1676.461,10.000
1684.396,10.000
1688.364,10.000
1696.300,10.000
1704.236,10.000
1708.204,10.000
1716.140,10.000
1724.076,10.000
1728.044,10.000
1735.980,10.000
1743.916,10.000
1747.884,10.000
1755.820,10.000
1763.756,10.000
1767.724,10.000
1775.659,10.000
1783.595,10.000
1787.563,10.000
1795.499,10.000
1803.435,10.000
1807.403,9.500
1815.339,10.000
1823.275,10.500
1827.243,12.700
1835.179,12.700
1843.115,12.700
1847.083,10.500
1855.019,10.000
1862.954,9.500
1866.922,9.900
1874.858,10.000
1882.794,10.100
1886.762,10.300
1894.698,10.300
1902.634,10.300
1906.602,7.000
1914.538,10.000
1922.474,13.000
1926.442,25.300
1934.378,25.300
1942.314,25.300
1946.281,13.100
1954.217,10.000
1962.153,6.900
1968.105,10.000
1974.057,10.000
1980.009,10.000
1981.993,12.000
1983.977,10.000
1985.961,8.000
1983.977,2.000
1983.977,0.000
