start_time,end_time,text
0.399,1.79,Luke here at the art Boys YouTube
1.8,3.79,channel and welcome to Middleton Island
3.8,5.789,Alaska for the next 3 days me and my
5.799,7.11,boys are going to be traveling to this
7.12,9.39,remote island in the Gulf of Alaska to
9.4,11.83,explore abandoned military bases catch
11.84,14.11,and cook feral rabbits surf fish from
14.12,16.109,the beach explore World War II
16.119,18.39,shipwrecks and tag along with biologists
18.4,20.45,studying Birds
33.16,36.389,wish that I could stay wish for this
36.399,40.19,moment to never go
40.2,44.59,away but it's all in my mind and though
44.6,48.95,I know that there is nothing to
48.96,53.389,find you're beautiful sight in the
53.399,57.389,Su night that's
57.399,60.67,right and you can't put up a fire
60.68,61.95,in the
70.88,74.88,light welcome to Middleton
86.759,89.27,Island should we go explore and find a
91.92,95.03,yeah say hi oh hi my this is my son
95.04,97.19,Tommy and Nathan and I'm Luke by the way
97.2,98.91,are you full-time are you grad students
98.92,101.389,or what are you
101.399,103.95,students only a few people ever come to
103.96,106.389,Middleton Island the FAA has a weather
106.399,108.429,station here so once a month a crew
108.439,110.51,comes to do maintenance and there's a
110.52,112.709,team of biologists studying birds out
112.719,113.99,here and those two ladies on the
114.0,115.55,four-wheeler are biologists and they
115.56,117.149,offered to give us a tour of their
117.159,121.55,research facility
121.56,123.91,see some rabbit poo rumor has it this
123.92,126.35,island is infested with feral rabbits so
126.36,128.229,Tommy brought a little air rifle oh look
128.239,133.43,at this oh look at that it's a it's a
133.44,136.309,jaw oh we got so lucky on the weather
136.319,138.43,the Gulf of Alaska is not known for
140.959,143.99,gentle here look at this it's all ship
144.0,146.309,wreck yeah it's an old landing
146.319,148.67,craft do you guys know how this boat got
148.68,151.47,all the way up here 1964 there was a
151.48,153.79,massive earthquake the second biggest
153.8,155.91,ever recorded in the history of man and
155.92,158.11,during that earthquake Middleton Island
158.12,160.91,Rose 12 ft out of the ground all the
160.92,163.27,shoreline below these Bluffs didn't
163.28,168.07,exist before
170.12,173.03,oh rabbit you just saw a
173.04,175.509,rabbit there's wood here there's rabbits
175.519,177.39,to hunt the waterers right there so we
177.4,179.229,go fishing I think this might be a good
179.239,181.27,spot to camp yeah I think maybe over
181.28,203.789,here yeah I'm going to get all the Rocks
203.799,206.509,off all
206.519,215.149,right o we got it
215.159,217.75,so you've got a couple options this is a
217.76,228.55,sliced ham wrap or we can do hot
228.56,235.99,dog that's
236.0,238.509,good we got lunch in us I think it's
238.519,243.429,time to explore the island
243.439,245.429,so this right here is part of the FAA
245.439,247.39,facility here on Middleton Island it's
247.4,249.75,mostly a weather station and pretty much
249.76,251.71,all the commercial flights that go from
251.72,253.83,Asia and North America come up through
253.84,255.75,the Gulf of Alaska so this weather
255.76,257.349,station keeps an eye on all the weather
257.359,260.229,within a 250 M radius helps keep a lot
260.239,262.749,of people
262.759,266.909,safe oh just saw another
266.919,268.909,rabbit so another thing interesting
268.919,270.67,about Middleton island is there's an
270.68,273.83,abandoned military base on this island
273.84,279.35,and you can see the birds have taken
279.36,281.79,over oh look at all this equipment it's
281.8,287.23,just sitting in
287.24,290.15,here look at this old water
290.16,293.51,fountain oh and a dead bird this is a
293.52,295.83,very strong smell of seafood and Bird
303.44,306.27,I won't yeah car I'm really worried
306.28,308.87,about you guys stepping on a nail in
308.88,318.59,here oh here's the
318.6,324.79,bathrooms all the power
324.8,327.27,boxes got be so careful I don't want to
327.28,340.189,step on a nail or something out here
340.199,347.11,oh my goodness that building is full of
347.12,351.35,gold what stop I see one right
351.36,355.27,there hold on hold
355.28,358.51,on I just saw one hop over there Tom I
358.52,360.15,know it's just a tiny B
360.16,363.469,oh there's one right there see him he
363.479,365.629,just look at look at n look at oh he's
365.639,367.629,so close he was so close see him oh
367.639,370.749,there's a bunch right in
370.759,373.39,here it's my favorite type of hunting
373.4,375.23,lots of shooting and no
375.24,378.11,gutting okay you got that here you hold
378.12,379.629,on to
379.639,382.469,the he's in between those two generators
382.479,384.55,in the end these rabbits we're hunting
384.56,386.469,are not wild rabbits they're actually
386.479,388.71,feral they were released here on the
388.72,390.309,island and they have no natural
390.319,392.749,Predators there's no other mammals here
392.759,395.469,on this island so there's just tons and
395.479,397.749,tons of these rabbits and the rabbits do
397.759,399.55,compete with some of the birds for Den
399.56,403.629,locations how gun is come up
403.639,405.83,here see it can you see this can you see
405.84,408.79,him right
408.8,412.27,here other one's just sitting right
412.28,416.309,there see him do you see
416.319,418.27,him get
418.28,420.469,him okay go wait wait just wait wait
420.479,423.029,wait he'll stop he'll stop he'll stop
423.039,425.589,get him now get him now see him he'll
425.599,427.189,stop rabbits always stop to see if
427.199,430.23,you're chasing
430.24,434.15,him hey Tom yeah Tom you
434.16,438.43,ready oh there he
438.44,442.99,is we should check that out
443.0,446.55,okay oh there he is he was under there
446.56,451.51,there he is I can see him him take off
451.52,453.95,look at that think that's an eagle
453.96,456.01,feather right
458.84,462.07,there you got him Tom okay now go real
462.08,465.43,slow oh my goodness I got him there it
465.44,466.95,you don't want him to bite
466.96,470.23,you holy well there you go Tommy I'm
470.24,473.189,keeping the P just is it that fuzzy if I
473.199,475.39,get one I have the P you got to hold him
475.4,480.11,okay Nathan your turn
480.12,482.35,well there you go Tom high
482.36,486.029,five oh now I got to get a rabbit I make
486.039,487.35,sure he doesn't got any fleas or
487.36,488.99,something it looks pretty clean he's a
489.0,490.39,little bit he's a young one he'll be
490.4,492.35,tasty look at that that's that's a bit
492.36,493.79,of like a portapotty that's a
493.8,495.67,four-wheeler oh there's a snow machine
495.68,497.149,in there looks like people have just
497.159,501.79,been using that as a garbage
501.8,504.149,heat all these buildings are part of the
504.159,507.71,old Air Force Base it used to be here on
507.72,510.11,Middleton Tom's pretty decided to show
510.12,512.87,his rabbit off to some of the
514.839,520.67,nice done in one go yeah
520.68,524.47,yeah there you
524.48,527.79,go all
527.8,530.91,righty you want to see his rabbit oh
530.92,537.069,where you where you from I'm from
537.079,538.87,Japan I didn't think I was going to get
538.88,541.63,to practice right Japanese
541.64,544.11,today I'll see you
544.12,546.509,around there's another one just see
546.519,549.509,three rabbits right across the road oh
549.519,550.75,there's another
550.76,554.79,one seven yeah sure
554.8,557.23,that's what going good uh we wanted to
557.24,559.55,we wanted to show you our trophy here I
559.56,562.55,got it uh right by the uh military
562.56,565.389,base oh oh my goodness look at all these
565.399,567.87,these little little girl
567.88,569.91,helmets Yeah
569.92,572.35,so all of these these helmets washed up
572.36,574.829,so this is where all the FAA guys live
574.839,577.949,hey how
577.959,580.31,youo all right you guys take
580.32,582.23,care it
582.24,584.509,goes those guys just sitting in there
584.519,586.47,with their star leak watching the NBA
586.48,588.949,Finals normally there's only two F guys
588.959,590.31,but they got a little bit of a project
590.32,592.99,going on they've got extra crew in
593.0,596.19,here oh see it right there see the Buddy
596.2,599.91,there's there's two of them
599.92,601.509,oh there's one right there there's one
601.519,603.389,see him right there you see how many
603.399,605.35,there are it's getting closer to
605.36,607.47,Sunset oh there's one I see him I see
607.48,610.35,him he's right there there a big one go
612.64,616.99,him I hit it I think you hit him
617.0,620.829,buddy oh that's a big one look at the
620.839,624.63,size of that guy way than Tom you got it
624.64,627.509,oh this is heavy though she is heavy
627.519,629.47,here Tommy you guys want this is just a
629.48,632.829,work out killing that is a chunky
634.399,637.59,yeah all right I think that is a fat
637.6,641.23,rabbit there this backpack is heavy
641.24,650.71,there's a whole lot of rabbit in
650.72,653.15,here not a very big island it's only
653.16,656.79,about 5 miles long but all in all we did
656.8,659.75,uh probably close to 10 miles today not
659.76,661.79,bad for two little boys we need to find
661.8,671.15,a cutting
671.16,685.11,board that is a fat
686.8,689.91,definitely okay
689.92,692.629,to do you got to take your knife two is
692.639,694.99,you got to scream all this junk
695.0,697.949,off you you let
702.24,706.19,why see okay I can't that's how you you
706.2,712.11,get it all on a spit right there is this
712.12,715.629,good I don't no I I vacuum sealed some
715.639,717.069,delicious steaks with a little bit of
717.079,718.71,butter and rosemary we're going to put
718.72,726.03,those in here
726.04,728.43,here Nathan's rabbit's so fat it's
728.44,730.629,taking forever to cook over the fire so
730.639,736.98,I think we're going to go stew
741.199,749.4,it all right
771.44,774.91,got you guys pretty full yeah let's get
774.92,776.99,ready for bed we do some dessert in bed
777.0,779.99,okay took the dishes down to the ocean
780.0,785.03,and uh managed to get my shoes pretty
785.04,796.55,wet yeah hopefully my my shoes will dry
796.56,798.71,overnight Nathan where'd you go I can't
798.72,801.99,see you you're
802.0,804.509,camouflaged you no farting in my good
804.519,806.67,sleeping bags okay you guys are probably
806.68,809.189,too tired for dessert no no then we'll
809.199,810.71,pull out the uh chocolate caramel
810.72,813.43,ganache brownies how about that oh my
813.44,815.629,goodness yeah ganache is basically
815.639,817.269,decadent fudge what do you think you
817.279,820.47,like ganach I love it we're going to see
820.48,821.829,you guys in the morning we've got a lot
821.839,825.03,of exploring to do all
825.04,828.67,right Dad good morning D good morning
828.68,834.749,Nathan I get up and make
834.759,836.99,breakfast it's 8:00 in the morning and I
837.0,839.43,already need sunscreen the Sun is is
839.44,841.47,intense up here in Alaska but it's up
841.48,844.069,for so long that you can get burned
