start_time,end_time,words
0,5,Luke here at the art Boys YouTube channel and welcome to Middleton Island Alaska for the next
5,10,3 days me and my boys are going to be traveling to this remote island in the Gulf of Alaska to explore
10,15,abandoned military bases catch and cook feral rabbits surf fish from the beach
15,20,explore World War II shipwrecks and tag along with biologists studying
20,25,Birds
30,35,wish that I could
35,40,stay wish for this moment to never
40,45,go away but it 's all in my mind and though I
45,50,know that there is nothing to find
50,55,you 're beautiful sight in the Su
55,60,night that 's right and you ca n't put
60,65,up a fire in the
70,75,light welcome to Middleton
85,90,Island should we go explore and find a
90,95,yeah say hi oh hi my this is my
95,100,son Tommy and Nathan and I 'm Luke by the way are you full - time are you grad students or
100,105,what are you students only a few people ever come to Middleton
105,110,Island the FAA has a weather station here so once a month a crew comes to do maintenance and
110,115,there 's a team of biologists studying birds out here and those two ladies on the four - wheeler are
115,120,biologists and they offered to give us a tour of their research
120,125,facility see some rabbit poo rumor has it this island is
125,130,infested with feral rabbits so Tommy brought a little air rifle oh look at this oh
130,135,look at that it 's a it 's a jaw oh we got so
135,140,lucky on the weather the Gulf of Alaska is not known for
140,145,gentle here look at this it 's all ship wreck yeah
145,150,it 's an old landing craft do you guys know how this boat got all the way up
150,155,here 1964 there was a massive earthquake the second biggest ever recorded in the
155,160,history of man and during that earthquake Middleton Island Rose 12 ft out of the
160,165,ground all the shoreline below these Bluffs did n't
165,170,exist before
170,175,oh rabbit you just saw a rabbit there 's wood here there
175,180,'s rabbits to hunt the waterers right there so we go fishing I think this might be a good spot to camp
180,185,yeah I think maybe over here
185,190,yeah I 'm going to get all the Rocks
205,210,off all right
210,215,o we got it
215,220,so you 've got a couple options this is a
220,225,sliced ham wrap or we can do hot
230,235,dog that 's
235,240,good we got lunch in us I think it 's time to
240,245,explore the island so this right here is part
245,250,of the FAA facility here on Middleton Island it 's mostly a weather station and pretty much all
250,255,the commercial flights that go from Asia and North America come up through the Gulf of Alaska so
255,260,this weather station keeps an eye on all the weather within a 250 M radius helps keep a
260,265,lot of people safe oh just
265,270,saw another rabbit so another thing interesting about Middleton
270,275,island is there 's an abandoned military base on this island and you
275,280,can see the birds have taken over oh
280,285,look at all this equipment it 's just
285,290,sitting in here look at this old
290,295,water fountain oh and a dead bird this is a very strong smell of
295,300,seafood and Bird
300,305,I wo n't yeah car I
305,310,'m really worried about you guys stepping on a nail in
310,315,here oh here 's the
320,325,bathrooms all the power
325,330,boxes got be so careful I do n't want to step on
330,335,a nail or something out here
340,345,oh my goodness that
345,350,building is full of gold what stop I see
350,355,one right there hold on
355,360,hold on I just saw one hop over there Tom I know it 's just a
360,365,tiny B oh there 's one right there see him he just look at look at n
365,370,look at oh he 's so close he was so close see him oh there 's a bunch
370,375,right in here it 's my favorite type of hunting lots of shooting
375,380,and no gutting okay you got that here you hold on to the
380,385,he 's in between those two generators in the end these rabbits we 're hunting are not
385,390,wild rabbits they 're actually feral they were released here on the island and they have no
390,395,natural Predators there 's no other mammals here on this island so there 's just
395,400,tons and tons of these rabbits and the rabbits do compete with some of the birds for Den
400,405,locations how gun is come up here see it can you see
405,410,this can you see him right here other
410,415,one 's just sitting right there see him
415,420,do you see him get him okay go wait wait just
420,425,wait wait wait he 'll stop he 'll stop he 'll stop get him now get him now see
425,430,him he 'll stop rabbits always stop to see if you 're
430,435,chasing him hey Tom yeah Tom you
435,440,ready oh there he is we
440,445,should check that out okay oh there he is
445,450,he was under there there he is I can see him
450,455,him take off look at that think that 's an eagle
455,460,feather right there you
460,465,got him Tom okay now go real slow oh my goodness I got him
465,470,there it you do n't want him to bite you holy well there you go Tommy
470,475,I 'm keeping the P just is it that fuzzy if I get one I have the P you got to
475,480,hold him okay Nathan your
480,485,turn well there you go Tom high five oh now I got to get a
485,490,rabbit I make sure he does n't got any fleas or something it looks pretty clean he 's a little bit he 's a young
490,495,one he 'll be tasty look at that that 's that 's a bit of like a portapotty that 's a four - wheeler oh there 's
495,500,a snow machine in there looks like people have just been using that
500,505,as a garbage heat all these buildings are part of the old Air
505,510,Force Base it used to be here on Middleton Tom 's pretty decided to
510,515,show his rabbit off to some of the
515,520,nice done in one go yeah
520,525,yeah there you
525,530,go all righty you want to see
530,535,his rabbit oh where you where you
535,540,from I 'm from Japan I did n't think I was going to get to
540,545,practice right Japanese today I 'll see you around there
545,550,'s another one just see three rabbits right across the road oh there
550,555,'s another one seven yeah sure
555,560,that 's what going good uh we wanted to we wanted to show you our trophy here I got
560,565,it uh right by the uh military base oh oh my goodness look at all
565,570,these these little little girl helmets Yeah
570,575,so all of these these helmets washed up so this is where all the FAA guys live
575,580,hey how youo all right you guys
580,585,take care it goes those guys just sitting in there with
585,590,their star leak watching the NBA Finals normally there 's only two F guys but they got a little bit of a
