start_time,end_time,words
0,20,Luke here at the art Boys YouTube channel and welcome to Middleton Island Alaska for the next 3 days me and my boys are going to be traveling to this remote island in the Gulf of Alaska to explore abandoned military bases catch and cook feral rabbits surf fish from the beach explore World War II shipwrecks and tag along with biologists studying
20,40,Birds wish that I could stay wish for this moment to never
40,60,go away but it 's all in my mind and though I know that there is nothing to find you 're beautiful sight in the Su night that 's right and you ca n't put
60,80,up a fire in the light welcome to Middleton
80,100,Island should we go explore and find a yeah say hi oh hi my this is my son Tommy and Nathan and I 'm Luke by the way are you full - time are you grad students or
100,120,what are you students only a few people ever come to Middleton Island the FAA has a weather station here so once a month a crew comes to do maintenance and there 's a team of biologists studying birds out here and those two ladies on the four - wheeler are biologists and they offered to give us a tour of their research
120,140,facility see some rabbit poo rumor has it this island is infested with feral rabbits so Tommy brought a little air rifle oh look at this oh look at that it 's a it 's a jaw oh we got so lucky on the weather the Gulf of Alaska is not known for
140,160,gentle here look at this it 's all ship wreck yeah it 's an old landing craft do you guys know how this boat got all the way up here 1964 there was a massive earthquake the second biggest ever recorded in the history of man and during that earthquake Middleton Island Rose 12 ft out of the
160,180,ground all the shoreline below these Bluffs did n't exist before oh rabbit you just saw a rabbit there 's wood here there 's rabbits to hunt the waterers right there so we go fishing I think this might be a good spot to camp
180,200,yeah I think maybe over here yeah I 'm going to get all
200,220,the Rocks off all right o we got it so you 've got a couple options this is a
220,240,sliced ham wrap or we can do hot dog that 's good we got lunch in us I think it 's time to
240,260,explore the island so this right here is part of the FAA facility here on Middleton Island it 's mostly a weather station and pretty much all the commercial flights that go from Asia and North America come up through the Gulf of Alaska so this weather station keeps an eye on all the weather within a 250 M radius helps keep a
260,280,lot of people safe oh just saw another rabbit so another thing interesting about Middleton island is there 's an abandoned military base on this island and you can see the birds have taken over oh
280,300,look at all this equipment it 's just sitting in here look at this old water fountain oh and a dead bird this is a very strong smell of seafood and Bird
300,320,I wo n't yeah car I 'm really worried about you guys stepping on a nail in here oh here 's the
320,340,bathrooms all the power boxes got be so careful I do n't want to step on a nail or something out
340,360,here oh my goodness that building is full of gold what stop I see one right there hold on hold on I just saw one hop over there Tom I know it 's just a
360,380,tiny B oh there 's one right there see him he just look at look at n look at oh he 's so close he was so close see him oh there 's a bunch right in here it 's my favorite type of hunting lots of shooting and no gutting okay you got that here you hold on to the
380,400,he 's in between those two generators in the end these rabbits we 're hunting are not wild rabbits they 're actually feral they were released here on the island and they have no natural Predators there 's no other mammals here on this island so there 's just tons and tons of these rabbits and the rabbits do compete with some of the birds for Den
400,420,locations how gun is come up here see it can you see this can you see him right here other one 's just sitting right there see him do you see him get him okay go wait wait just
420,440,wait wait wait he 'll stop he 'll stop he 'll stop get him now get him now see him he 'll stop rabbits always stop to see if you 're chasing him hey Tom yeah Tom you ready oh there he is we
440,460,should check that out okay oh there he is he was under there there he is I can see him him take off look at that think that 's an eagle feather right there you
460,480,got him Tom okay now go real slow oh my goodness I got him there it you do n't want him to bite you holy well there you go Tommy I 'm keeping the P just is it that fuzzy if I get one I have the P you got to hold him okay Nathan your
480,500,turn well there you go Tom high five oh now I got to get a rabbit I make sure he does n't got any fleas or something it looks pretty clean he 's a little bit he 's a young one he 'll be tasty look at that that 's that 's a bit of like a portapotty that 's a four - wheeler oh there 's a snow machine in there looks like people have just been using that
500,520,as a garbage heat all these buildings are part of the old Air Force Base it used to be here on Middleton Tom 's pretty decided to show his rabbit off to some of the nice done in one go
520,540,yeah yeah there you go all righty you want to see his rabbit oh where you where you from I 'm from Japan I did n't think I was going to get to
540,560,practice right Japanese today I 'll see you around there 's another one just see three rabbits right across the road oh there 's another one seven yeah sure that 's what going good uh we wanted to we wanted to show you our trophy here I got
560,580,it uh right by the uh military base oh oh my goodness look at all these these little little girl helmets Yeah so all of these these helmets washed up so this is where all the FAA guys live hey how youo all right you guys
580,600,take care it goes those guys just sitting in there with their star leak watching the NBA Finals normally there 's only two F guys but they got a little bit of a project going on they 've got extra crew in here oh see it right there see the Buddy there 's there 's two of them
600,620,oh there 's one right there there 's one see him right there you see how many there are it 's getting closer to Sunset oh there 's one I see him I see him he 's right there there a big one go him I hit it I think you hit him buddy oh that 's a big one
620,640,look at the size of that guy way than Tom you got it oh this is heavy though she is heavy here Tommy you guys want this is just a work out killing that is a chunky yeah all right I think that is a fat rabbit there this
640,660,backpack is heavy there 's a whole lot of rabbit in here not a very big island it 's only about 5 miles long but all in all we did uh probably close to 10 miles today not bad
660,680,for two little boys we need to find a cutting board that
