start_time,stop_time,avg_intensity
0,5,30.6
5,10,21.05
10,15,15.699999999999998
15,20,16.05
20,25,12.700000000000001
25,30,9.850000000000001
30,35,9.85
35,40,10.733333333333334
40,45,18.5
45,50,17.6
50,55,11.4
55,60,28.133333333333336
60,65,51.25
65,70,36.05
70,75,40.26666666666667
75,80,43.8
80,85,37.666666666666664
85,90,29.133333333333336
90,95,32.6
95,100,50.6
100,105,83.66666666666667
105,110,104.89999999999999
110,115,70.0
115,120,32.63333333333333
120,125,35.849999999999994
125,130,43.96666666666667
130,135,34.8
135,140,24.03333333333333
140,145,15.35
145,150,11.1
150,155,9.733333333333333
155,160,10.15
160,165,11.149999999999999
165,170,14.366666666666667
170,175,14.65
175,180,16.53333333333333
180,185,33.1
185,190,53.900000000000006
190,195,62.8
195,200,47.43333333333334
200,205,31.066666666666663
205,210,22.799999999999997
210,215,28.53333333333333
215,220,43.349999999999994
220,225,37.56666666666667
225,230,36.3
230,235,25.0
235,240,13.3
240,245,9.366666666666667
245,250,10.0
250,255,10.0
255,260,10.0
260,265,8.5
265,270,17.5
270,275,47.06666666666666
275,280,73.63333333333334
280,285,62.35
285,290,39.6
290,295,17.566666666666666
295,300,9.233333333333334
300,305,9.8
305,310,10.0
310,315,10.0
315,320,10.0
320,325,11.7
325,330,10.666666666666666
330,335,9.1
335,340,11.466666666666667
340,345,22.333333333333332
345,350,34.599999999999994
350,355,38.05
355,360,50.833333333333336
360,365,51.833333333333336
365,370,39.3
370,375,24.3
375,380,13.4
380,385,10.55
385,390,9.4
390,395,11.133333333333333
395,400,22.85
400,405,39.300000000000004
405,410,44.4
410,415,32.266666666666666
415,420,26.700000000000003
420,425,27.8
425,430,25.9
430,435,26.0
435,440,23.733333333333334
440,445,12.2
445,450,14.05
450,455,22.166666666666668
455,460,23.53333333333333
460,465,22.0
465,470,23.333333333333332
470,475,20.6
475,480,11.2
480,485,9.200000000000001
485,490,10.0
490,495,10.0
495,500,10.0
500,505,10.0
505,510,10.0
510,515,10.0
515,520,10.0
520,525,10.0
525,530,10.0
530,535,10.0
535,540,10.0
540,545,10.0
545,550,10.0
550,555,9.733333333333333
555,560,10.0
560,565,18.833333333333332
565,570,39.400000000000006
570,575,60.45
575,580,91.66666666666667
580,585,87.26666666666667
585,590,75.15
590,595,56.55714285714286
