start_time,end_time,text
0.0,1.5899999999999999,"So, as most of you guys know, I have"
1.6,2.8689999999999998,been recently playing a lot of
2.879,4.789,Battlefront 2 again. And last night was
4.799,6.55,"no different. I was playing the game,"
6.5600000000000005,8.39,"having a great time, and then out of"
8.4,11.27,"nowhere, I suddenly ran into the"
11.28,13.509,greatest Battlefront 2 player of all
13.519,15.829,time. And this dude is so good that you
15.839,17.47,have to pay him
17.48,20.47,"$100 just to even 1v one him. Now, mind"
20.48,22.31,"you, I've played this game for a very"
22.32,23.83,"long time, and I've never heard of this"
23.84,26.39,"guy before. So, I asked him, I was like,"
26.4,28.79,"""Why? Like, nobody's paying you $100 to"
28.8,30.63,"1v one you, bro."" And all he said to me"
30.64,33.67,"was, ""Check my profile."" And when I"
33.68,36.069,"checked his profile, I couldn't believe"
36.079,38.31,what I was seeing. This dude supposedly
38.32,44.67,has a 1v one record of
44.68,47.91,"491-7. Like, who is this guy? So, I was"
47.92,49.67,"like, ""All right, I I got to one v one"
49.68,51.19,this guy for a video. I have to make it
51.2,52.869,"happen somehow."" So, I went ahead and I"
52.879,55.35,"told him, ""I will pay you the $100 to 1v"
55.36,58.47,"one you, but if I beat you, you have to"
58.48,60.47,"send me the money back."" Now, also, the"
60.48,62.229,"whole time I'm talking to him, I'm on a"
62.239,63.91,alt account that's a very low level
63.92,65.189,because I'm trying to get footage for
65.199,67.19,"another video. So, he had no idea he was"
67.2,69.59,"talking to a Silka, but he agreed to"
69.6,71.51,"send the money back if I beat him. So,"
71.52,75.31,cool. I went ahead and I sent him the
75.32,77.429,"money. So, after sitting on the phone"
77.439,80.149,"with PayPal for like 3 hours, I couldn't"
80.159,82.07,"get my money back. So, I was pissed off"
82.08,83.749,"because, you know, I'm broke as hell and"
83.759,85.59,"now I'm even broker. So, I got on my"
85.6,87.83,"main account, my ASO account, and I sent"
87.84,89.99,"him a message, a very friendly one. Bro,"
90.0,92.149,"I'll tell you what, you fat little. And"
92.159,93.99,this message was enough to actually get
94.0,95.91,him to want to one v one me. Because
95.92,97.67,once he figured out he was talking to
97.68,99.99,"Ahsoka, he flipped the out. And not"
100.0,102.429,"because he's a fan, but because he"
102.439,105.59,actually hates my guts. Every single
105.6,107.67,person who watches your videos are
107.68,109.59,"stupid. So, I'm going to one v"
109.6,111.51,"one this guy. And if he beats me, he"
111.52,113.27,gets to keep the money. But if I beat
113.28,115.469,"him, he's going to send me the money"
115.479,118.32,"back. Hopefully,"
130.319,132.07,"I'mma get my money back. Capus, you"
132.08,134.47,don't mean any harm. Think you just take
134.48,137.51,my money like that?
137.52,140.229,"Oh, fight me, bro. You got Vader. But be"
140.239,145.63,aggressive. Come
145.64,148.63,on. Okay. Okay. Let me regen this
148.64,150.79,real quick. Let me regen this. Let me
150.8,152.949,"get my health back. He has Vader, you"
152.959,156.589,"know, like it's never easy with"
156.599,160.28,"Vader. Yo, hook"
164.519,167.229,Y get
167.239,171.949,back. I knew it. I knew it. Come
171.959,175.27,"on. Okay. Oh, okay. He knows how to"
175.28,176.63,parry. He He's a lot better than I
176.64,179.39,expected. That's for
179.4,182.949,sure. Oh my god. No. I'm not dying to
182.959,186.67,"you, bro. You're not killing me. I don't"
186.68,190.869,"care. He hung me. Wait. Well, he"
190.879,192.63,"has cards on. So, that was a"
192.64,194.71,"lie. So, he just sent me a message and"
194.72,198.63,"he said, ""You suck."
198.64,201.43,That's cheat. It shouldn't matter.
201.44,203.91,You're a YouTuber. What? So why did you
203.92,205.67,make it a rule then? Because I knew if
205.68,207.11,"you got Dark Side first, you were going"
207.12,208.71,"to use him. Okay, so we're not counting"
208.72,210.55,that as a win then. You literally broke
210.56,213.63,your own rules that you set. Like
213.64,215.83,"what? Okay, then you're not getting your"
222.2,224.229,back. Come. Look at you. You don't got
224.239,226.229,"Vader anymore. Wait, he has flesh his"
226.239,229.75,weak on. Look at that. Yes.
229.76,232.39,"So that was a lie. No, don't"
232.4,233.83,"run, dog. Come here. Fight me like a"
233.84,237.149,man. Come
237.159,240.39,on. Get buried. You can't do any. Look
240.4,241.99,at him with this. He doesn't want to
242.0,244.11,fight me.
244.12,255.509,"Look. Yeah, there you go."
255.519,257.83,"I hate the animation. Oh my god. No. No,"
257.84,260.27,I'm not choking this. I'm not choking
260.28,262.43,this. Faked
265.08,270.629,"Yeah, bro. Freaking tree got in the way."
270.639,274.189,"Oh yeah. Come here. Oh yeah, he's dead."
274.199,277.27,"You're So I sent him a message. I said,"
277.28,278.629,"""See, that's what happens when you don't"
278.639,280.71,"have a card invader. You get clapped."""
280.72,283.51,"And he said, ""Don't think you're good. I"
283.52,287.36,was lagging.
290.8,295.15,"This is a bad matchup, but this kid's"
295.16,298.71,trash. He's damn sure not 4917. That's
300.04,305.95,sure. What? I should have hit
305.96,308.99,"him. Oh my god, bro. Doo does so much"
309.0,310.71,"damage. All right, we're good though."
310.72,311.749,We're good though. We're good though. I
311.759,313.51,got size med so I can I can get my
313.52,318.51,health back.
318.52,322.15,Yep. Yep. Two hits. Oh. Oh. Oh. Okay.
322.16,323.67,Okay. Okay. All right. Let me calm down.
323.68,327.23,Let me calm down. Forgot. Look at him
327.24,329.11,"teabacking. Dude, you're not killing me."
329.12,330.07,I hope you know that. You're not killing
330.08,330.99,me without
331.0,333.27,Vader. This dude probably thinks he's so
333.28,335.59,"good, too. Yeah, boy. Come on. I'm going"
335.6,336.87,to get you in one combo and I'm going to
339.08,347.11,you. Come on. I I can wait here all day.
347.12,349.11,Yep. Yeah. There we go. Yeah. Yeah. Look
349.12,350.95,at this house. Come here. Come here.
350.96,353.43,Yeah. Come here. Yeah. Yeah. Teaag now.
353.44,356.95,Yeah. Teaag now. Teabag now. Yeah. Tea
356.96,359.11,bag now. How you like that tea bag? Eat
359.12,362.07,that up. Eat that up. Out of pocket for
362.08,364.029,that So I sent him a message and I
364.039,366.67,"said, ""How did that tea bag"
366.68,371.07,"taste?"" And he didn't say nothing"
371.08,374.27,"back. Oh yeah. He's angry. Yeah, he's"
374.28,377.75,"mad. You didn't like that message,"
381.56,384.43,huh? Only got one hit.
384.44,386.629,Really? All right. He's already at half
396.12,399.23,"it Oh, look at"
399.24,401.43,that. You got a sliver of health left.
401.44,402.95,Look at you. What are you going to do?
402.96,403.99,What are you going to do? Is this
406.56,410.469,You suck. I'm running. Shut your
410.479,413.43,ass the up.
413.44,415.11,Thought that was going to hit me. Come
418.919,421.87,Captain. In the back of crazy. Oh my
421.88,423.589,"god. Look, you don't even know what"
423.599,424.79,"you're doing, bro. You're just swinging."
424.8,427.43,You keep your legs.
427.44,428.909,Look at
428.919,434.95,you. Do
434.96,437.27,you honestly think you're funny?
437.28,440.43,"So, he just told me lag switching. Are"
440.44,443.67,"we like kappas? Bro, we can all clearly"
443.68,445.27,see you have not been lagging this
445.28,447.749,entire time. Nobody is lag switching
447.759,450.39,"you, bro. Since you want to cheat, I'm"
450.4,451.99,changing the rules. If you want your
452.0,453.43,"money back, you have to beat me on this"
453.44,456.55,final round.
456.56,460.27,"So, the last character I got is"
460.28,463.469,Yoda. And guess who he
463.479,467.309,is? Darth
467.319,472.909,"Vader. I should quit, but I need the"
472.919,475.35,money. He He He He knew this was this
475.36,476.95,was my last character. That's why he did
476.96,479.27,"this All right. I can win this,"
479.28,481.309,"though. I can win this,"
481.319,483.27,though. I'm going to get that money
483.28,486.15,"back. I promise you, bro."
486.16,497.67,Come on.
497.68,499.99,"There's a chokes. All right, let's start"
510.52,512.389,about. Come on. This This what you
512.399,514.95,"wanted, right? This is what you"
516.2,518.19,wanted. Oh my
518.2,522.55,"god. Oh my. Yeah. Yeah. Bunch. Oh, two"
522.56,524.269,hits. Yeah. Come
524.279,526.91,here. Come Jenn.
526.92,528.79,Yeah. All right. All right. You might
528.8,529.99,have a choke. Let me chill. Let me
530.0,533.509,shield. Let me shove again. I got to be
540.12,543.07,here. Oh yeah. I'm going still be
543.08,545.84,"aggressive. Okay, we'll get rid of"
550.519,552.79,"this. You pop this race. Look, I"
552.8,553.99,guarantee you he has cards on. I
554.0,555.59,"guarantee it. Look, when I hit him, look"
555.6,557.67,at the shield that pops up. Look at
557.68,559.59,that. You made your own rules just to
559.6,561.55,break them. That's
561.56,563.829,crazy. And I'm stoked when I clap you.
563.839,565.67,Wait. No. Wait. Look at him. Look at him
565.68,568.55,trying to taunt. Yeah. Yeah. Taunt that.
568.56,571.35,Taunt that. Taunt that. Look at you.
571.36,573.67,Look. Yeah. Yeah. Yeah. Look how low you
