start_time,end_time,words
0,5,"So , as most of you guys know , I have been recently playing a lot of Battlefront 2 again . And last night was no"
5,10,"different . I was playing the game , having a great time , and then out of nowhere , I"
10,15,suddenly ran into the greatest Battlefront 2 player of all time . And this dude is so
15,20,good that you have to pay him $ 100 just to even 1v one him .
20,25,"Now , mind you , I 've played this game for a very long time , and I 've never heard of this guy before . So , I"
25,30,"asked him , I was like , "" Why ? Like , nobody 's paying you $ 100 to 1v one you , bro . "" And all"
30,35,"he said to me was , "" Check my profile . "" And when I checked his profile , I"
35,40,could n't believe what I was seeing . This dude supposedly has a
40,45,1v one record of
45,50,"491 - 7 . Like , who is this guy ? So , I was like , "" All right , I I got to one v one this"
50,55,"guy for a video . I have to make it happen somehow . "" So , I went ahead and I told him , "" I will pay you the $"
55,60,"100 to 1v one you , but if I beat you , you have to send me the money back . "" Now ,"
60,65,"also , the whole time I 'm talking to him , I 'm on a alt account that 's a very low level because I 'm trying to get"
65,70,"footage for another video . So , he had no idea he was talking to a Silka , but he agreed to send"
70,75,"the money back if I beat him . So , cool . I went ahead and I sent him"
75,80,"the money . So , after sitting on the phone with PayPal for like 3 hours , I could"
80,85,"n't get my money back . So , I was pissed off because , you know , I 'm broke as hell and now I 'm even broker ."
85,90,"So , I got on my main account , my ASO account , and I sent him a message , a very friendly one . Bro ,"
90,95,"I 'll tell you what , you fat little . And I 'll tell you what , you fat little . And this message was enough to actually get him to want to one"
95,100,"v one me . Because once he figured out he was talking to Ahsoka , he flipped the out . And not"
100,105,"because he 's a fan , but because he because he 's a fan , but because he actually hates my guts . Every"
105,110,"single person who watches your videos are stupid . So , I 'm going to one v one"
110,115,"this guy . And if he beats me , he gets to keep the money . But if I beat him , he 's going to send me"
115,120,"the money back . Hopefully ,"
130,135,"I'mma get my money back . Capus , you do n't mean any harm . Think you just take my"
135,140,"money like that ? Oh , fight me , bro . You got Vader ."
140,145,But be aggressive .
145,150,Come on . Okay . Okay . Let me regen this real quick . Let me
150,155,"regen this . Let me get my health back . He has Vader , you know , like it 's"
155,160,"never easy with Vader . Yo ,"
160,165,hook
165,170,Y get back . I knew it . I
170,175,"knew it . Come on . Okay . Oh , okay . He knows how"
175,180,to parry . He He 's a lot better than I expected . That 's for sure .
180,185,"Oh my god . No . I 'm not dying to you , bro . You 're not"
185,190,killing me . I do n't care . He hung me . Wait .
190,195,"Well , he has cards on . So , that was a lie . So , he just sent me a message and"
195,200,"he said , "" You suck . That 's cheat . It"
200,205,should n't matter . You 're a YouTuber . What ? So why did you make it a rule then ?
205,210,"Because I knew if you got Dark Side first , you were going to use him . Okay , so we 're not counting that as a win then . You"
210,215,"literally broke your own rules that you set . Like what ? Okay , then you 're"
215,220,not getting your
220,225,back . Come . Look at you . You do n't got Vader
225,230,"anymore . Wait , he has flesh his weak on . Look at that . Yes ."
230,235,"So that was a lie . No , do n't run , dog . Come here . Fight me like a"
235,240,man . Come on . Get buried . You ca n't do any .
240,245,Look at him with this . He does n't want to fight me .
245,250,"Look . Yeah , there you go ."
255,260,"I hate the animation . Oh my god . No . No , I 'm not choking this . I 'm not"
260,265,choking this . Faked
265,270,"Yeah , bro . Freaking tree got in"
270,275,"the way . Oh yeah . Come here . Oh yeah , he 's dead . You 're"
275,280,"So I sent him a message . I said , "" See , that 's what happens when you do n't have a card invader . You"
280,285,"get clapped . "" And he said , "" Do n't think you 're good . I was"
285,290,lagging .
290,295,"This is a bad matchup , but this kid"
295,300,'s trash . He 's damn sure not 4917 . That 's
300,305,sure . What ? I should
305,310,"have hit him . Oh my god , bro . Doo does so much damage . All right , we"
310,315,'re good though . We 're good though . We 're good though . I got size med so I can I can get my
315,320,health back . Yep . Yep . Two
320,325,hits . Oh . Oh . Oh . Okay . Okay . Okay . All right . Let me calm down . Let me calm
