start_time,stop_time,avg_intensity
0,20,22.858333333333334
20,40,10.97
40,60,19.027272727272727
60,80,42.55555555555556
80,100,36.68
100,120,73.05454545454546
120,140,34.53
140,160,11.35
160,180,14.430000000000001
180,200,47.5
200,220,31.109999999999996
220,240,28.689999999999998
240,260,9.809999999999999
260,280,38.41818181818182
280,300,28.43
300,320,9.959999999999999
320,340,10.8
340,360,36.480000000000004
360,380,33.38
380,400,12.84
400,420,35.69
420,440,25.854545454545452
440,460,18.96
460,480,19.733333333333334
480,500,9.781818181818181
500,520,10.0
520,540,10.0
540,560,9.92
560,580,53.120000000000005
580,600,67.33333333333333
