timestamp_sec,intensity
0.000,0.000
0.844,16.400
1.688,76.200
4.220,82.000
6.752,87.800
9.284,41.600
12.659,28.900
16.035,16.100
17.723,17.100
21.099,18.100
24.475,19.200
26.163,31.800
29.538,34.200
32.914,36.500
34.602,33.800
37.978,30.000
41.354,26.200
43.042,17.700
46.418,15.100
49.793,12.400
51.481,17.800
54.857,16.900
58.233,16.000
59.921,11.800
63.297,10.400
66.673,9.000
68.361,10.100
71.736,10.000
75.112,9.900
76.800,9.400
80.176,10.000
83.552,10.600
85.240,11.800
88.615,13.100
91.991,14.400
93.679,15.800
97.055,16.700
100.431,17.600
102.119,16.800
105.495,17.700
108.870,18.700
110.558,20.800
113.934,21.400
117.310,22.000
118.998,22.500
122.374,20.700
125.750,19.000
127.438,13.800
130.813,12.800
134.189,11.900
135.877,11.700
139.253,15.900
142.629,20.000
144.317,28.500
147.692,33.600
151.068,38.700
152.756,42.000
156.132,41.300
159.508,40.700
161.196,32.500
164.572,30.500
167.947,28.500
169.635,32.100
173.011,31.400
176.387,30.700
178.075,27.500
181.451,26.900
184.827,26.300
186.515,25.000
189.890,28.500
193.266,32.000
194.954,42.600
198.330,44.500
201.706,46.500
203.394,44.000
206.769,38.300
210.145,32.500
211.833,20.200
215.209,15.600
218.585,10.900
220.273,14.500
223.649,15.100
227.024,15.600
228.712,17.100
232.088,18.400
235.464,19.700
237.152,21.700
240.528,21.600
243.904,21.400
245.591,17.000
248.967,17.600
252.343,18.200
254.031,22.600
257.407,24.700
260.783,26.900
262.471,27.100
265.846,28.300
269.222,29.500
270.910,27.600
274.286,30.700
277.662,33.800
279.350,40.500
282.726,43.700
286.101,46.900
287.789,49.500
291.165,46.500
294.541,43.500
296.229,34.000
299.605,28.700
302.981,23.300
304.668,21.700
308.044,19.600
311.420,17.400
313.108,19.300
316.484,17.900
319.860,16.500
321.548,13.200
324.923,12.500
328.299,11.900
329.987,13.400
333.363,14.500
336.739,15.700
338.427,16.300
341.803,18.200
345.178,20.000
346.866,22.400
350.242,23.800
353.618,25.200
355.306,23.800
358.682,25.200
362.058,26.700
363.745,21.400
367.121,31.300
370.497,41.200
372.185,63.400
375.561,74.800
378.937,86.200
380.625,83.000
384.000,88.100
387.376,93.100
389.064,98.600
392.440,100.000
395.816,101.400
397.504,100.400
400.880,95.300
404.255,90.100
405.943,82.300
409.319,74.000
412.695,65.800
414.383,50.700
417.759,53.900
421.135,57.200
422.822,85.800
426.198,90.300
429.574,94.800
431.262,91.000
434.638,76.400
438.014,61.800
439.702,30.300
443.077,17.100
446.453,3.900
448.141,11.900
451.517,10.500
454.893,9.100
456.581,10.200
459.957,10.100
463.332,10.000
465.020,7.300
468.396,10.000
471.772,12.700
473.460,16.600
476.836,23.400
480.212,30.300
481.899,37.800
485.275,44.400
488.651,51.000
490.339,53.800
493.715,56.300
497.091,58.900
498.779,62.500
502.154,57.000
505.530,51.600
507.218,32.900
510.594,29.100
513.970,25.300
515.658,33.300
519.034,38.000
522.409,42.700
524.097,50.100
527.473,52.700
530.849,55.300
532.537,56.500
535.913,51.000
539.289,45.600
540.976,30.800
544.352,25.500
547.728,20.300
549.416,25.000
552.792,24.900
556.168,24.700
557.856,22.600
561.231,24.700
564.607,26.900
566.295,28.400
569.671,35.600
573.047,42.800
574.735,57.200
578.111,60.600
581.486,64.100
583.174,62.900
586.550,52.700
589.926,42.600
591.614,18.500
594.990,10.000
598.366,1.500
600.053,10.000
603.429,10.000
606.805,10.000
608.493,8.900
611.869,10.000
615.245,11.100
616.933,13.300
620.308,15.300
623.684,17.400
625.372,19.400
628.748,20.200
632.124,21.100
633.812,19.000
637.188,19.600
640.563,20.200
642.251,18.900
645.627,23.300
649.003,27.600
650.691,39.000
654.067,41.300
657.443,43.600
659.130,40.800
662.506,34.800
665.882,28.900
667.570,16.500
670.946,11.600
674.322,6.700
676.010,10.700
679.385,10.400
682.761,10.100
684.449,10.100
687.825,10.000
691.201,9.900
692.889,10.000
696.265,10.000
699.640,10.000
701.328,10.000
704.704,10.000
708.080,10.000
709.768,10.000
713.144,10.000
716.520,10.000
718.207,10.000
721.583,10.000
724.959,10.000
726.647,10.000
730.023,10.000
733.399,10.000
735.087,10.000
738.462,10.000
741.838,10.000
743.526,10.000
746.902,10.000
750.278,10.000
751.966,10.000
755.342,10.000
758.717,10.000
760.405,8.900
763.781,10.000
767.157,11.100
768.845,13.400
772.221,15.700
775.597,18.000
777.284,21.000
780.660,21.400
784.036,21.900
785.724,18.500
789.100,17.900
792.476,17.300
794.164,18.000
797.539,18.400
800.915,18.800
802.603,19.700
805.979,19.800
809.355,20.000
811.043,19.000
814.419,19.200
817.794,19.500
819.482,19.600
822.858,21.100
826.234,22.500
827.922,28.400
831.298,26.400
834.674,24.400
837.205,14.100
839.737,11.000
842.269,8.000
843.113,13.300
843.957,11.000
844.801,8.800
843.957,2.200
843.957,0.000
