start_time,end_time,text
0.09,2.062,I think we should describe everyone's situation first.
2.062,7.7700000000000005,"Well, I just don't want anybody to leave with their feelings hurt or feeling like, my problems aren't big enough and I feel ashamed for talking about what I have to deal with."""
7.77,9.460999999999999,"Well, no one will feel like that."
9.461,10.832000000000003,"Well, you don't know that though!"
24.515,25.434,Hi you guys.
25.434,26.764,Hi!
26.764,28.476,What do you guys all have in common?
28.476,31.309000000000005,We're in high school.
32.184,33.513999999999996,What's high school like right now?
33.514,34.642,It's hell!
34.642,35.642,Yeah!
36.705,37.52261538461538,It's a fucking prison!
37.52261538461538,37.885999999999996,Holy shit.
39.196,40.745000000000005,The game is 1000 to one.
40.745,42.79600000000001,You decide who leaves with a 1000 dollars.
42.796,44.654,We're going to do four elimination rounds.
44.654,47.985,"If you cannot decide, nobody gets the money."
47.985,48.957,Round one!
48.957,49.686,Begins!
49.686,52.428,I think we should describe everyone's situation first very briefly.
52.428,53.697999999999986,Because we do not have a lot of time.
53.698,57.398608695652186,"We could do it that way, or we could do like, We have competitions and then-- I feel like competitions isn't the best idea"
57.398608695652186,63.823,"because-- Well, I just don't want anybody to leave with their feelings hurt or feeling like, ""My problems aren't big enough, ""and I feel ashamed for talking about ""what I have to deal with."""
63.823,64.65599999999999,"Well, no one will feel like that."
64.656,65.59200000000003,"Well, you don't know that though!"
65.592,70.52100000000002,"If somebody says super personal they wish they hadn't said 'cause they didn't end up getting the money, and it didn't help them, you know?"
70.521,73.32399999999997,"That could feel like, really bad, or people could feel ashamed about their problems."
73.324,75.04399999999998,"Or like, ""My problems aren't as big ""as somebody else's problems!"""
75.044,77.91572972972973,"I just don't want anybody to be like, ""Oh man, my life sucks"
77.91572972972973,79.36699999999998,"but I didn't get the money!"""
79.367,83.963,"Because we're on a timer, I feel like we should just like, have someone like, say why they need the 1000 dollars."
83.963,86.21499999999999,"And in the end, we can just all collectively..."
86.215,87.048,Okay.
87.048,87.881,Say our thoughts.
