start_time,end_time,words
0,5,"I think we should describe everyone 's situation first . Well , I just do n't want anybody to leave with their feelings hurt or feeling"
5,10,"like , my problems are n't big enough and I feel ashamed for talking about what I have to deal with . "" Well , no one will feel like that . Well , you do"
10,15,n't know that though !
20,25,Hi
25,30,you guys . Hi ! What do you guys all have in common ? We 're in
30,35,high school . What 's high school like right now ? It 's hell !
35,40,Yeah ! It 's a fucking prison ! Holy shit . The game is
40,45,1000 to one . You decide who leaves with a 1000 dollars . We 're going to do four elimination rounds . If
45,50,"you can not decide , nobody gets the money . Round one ! Begins ! I think we"
50,55,"should describe everyone 's situation first very briefly . Because we do not have a lot of time . We could do it that way , or we could do"
55,60,"like , We have competitions and then-- I feel like competitions is n't the best idea because-- Well , I just do n't want anybody to leave with their feelings hurt or"
60,65,"feeling like , "" My problems are n't big enough , "" and I feel ashamed for talking about "" what I have to deal with . "" Well , no one will feel like that . Well , you do"
65,70,"n't know that though ! If somebody says super personal they wish they had n't said 'cause they did n't end up getting the money , and it did n't"
70,75,"help them , you know ? That could feel like , really bad , or people could feel ashamed about their problems . Or like , "" My problems are n't as big "" as somebody else 's"
75,80,"problems ! "" I just do n't want anybody to be like , "" Oh man , my life sucks but I did n't get the money ! "" Because we"
80,85,"'re on a timer , I feel like we should just like , have someone like , say why they need the 1000 dollars . And in the end , we can"
85,90,just all collectively ... Okay . Say our thoughts . What I would do with the 1000 is
90,95,"help start an online clothing business . What kind of clothing will you be selling ? Just ,"
95,100,"like , t - shirts and more like street - wear oriented . I do n't know like music"
100,105,artists ... Something to do with like pop culture . I want the 1000 dollars for my
105,110,"education . I 'm in full IB , so for each test that you take , you"
110,115,"have to pay a certain amount . I 'm a senior right now , and I just wanna put the money"
115,120,"towards college . And being able to afford , like textbooks and college"
120,125,"tuition , so ... Well , obviously I easily could 've taken my girl out , or get a Gucci belt or something but ... This is a"
125,130,"real man right here , okay ? Actually , I 'm taking a like couple classes in my"
130,135,"high school that has college credit towards it , and it 's like a good 600"
135,140,"dollars . I need the other 400 because my sister , like , handed me down her car but , like ,"
140,145,"it 's beat up . I needed money to fix that . So most of my money goes to like ,"
145,150,"paying my car insurance and my like , school fees . And then on top of that , I got invited to a wedding"
150,155,"Florida . Whatever I had left over ; I tried to get a good plane ticket over there , so I could be at the wedding ! I want to be a"
155,160,"marine biologist when I grow up . I love the ocean , I love animals . It 's just where I get my"
160,165,"happiness from , really . There 's this trip to the Bahamas , which is very , very expensive , and a"
165,170,1000 dollars would help me go to that . I feel like it would be a super cool experience . Is it like a trip through your school ?
170,175,Or like-- No . So just a personal interest thing ? Right ? Yeah . In my current
