start_time,end_time,words
0,20,"I think we should describe everyone 's situation first . Well , I just do n't want anybody to leave with their feelings hurt or feeling like , my problems are n't big enough and I feel ashamed for talking about what I have to deal with . "" Well , no one will feel like that . Well , you do n't know that though !"
20,40,Hi you guys . Hi ! What do you guys all have in common ? We 're in high school . What 's high school like right now ? It 's hell ! Yeah ! It 's a fucking prison ! Holy shit . The game is
40,60,"1000 to one . You decide who leaves with a 1000 dollars . We 're going to do four elimination rounds . If you can not decide , nobody gets the money . Round one ! Begins ! I think we should describe everyone 's situation first very briefly . Because we do not have a lot of time . We could do it that way , or we could do like , We have competitions and then-- I feel like competitions is n't the best idea because-- Well , I just do n't want anybody to leave with their feelings hurt or"
60,80,"feeling like , "" My problems are n't big enough , "" and I feel ashamed for talking about "" what I have to deal with . "" Well , no one will feel like that . Well , you do n't know that though ! If somebody says super personal they wish they had n't said 'cause they did n't end up getting the money , and it did n't help them , you know ? That could feel like , really bad , or people could feel ashamed about their problems . Or like , "" My problems are n't as big "" as somebody else 's problems ! "" I just do n't want anybody to be like , "" Oh man , my life sucks but I did n't get the money ! "" Because we"
80,100,"'re on a timer , I feel like we should just like , have someone like , say why they need the 1000 dollars . And in the end , we can just all collectively ... Okay . Say our thoughts . What I would do with the 1000 is help start an online clothing business . What kind of clothing will you be selling ? Just , like , t - shirts and more like street - wear oriented . I do n't know like music"
100,120,"artists ... Something to do with like pop culture . I want the 1000 dollars for my education . I 'm in full IB , so for each test that you take , you have to pay a certain amount . I 'm a senior right now , and I just wanna put the money towards college . And being able to afford , like textbooks and college"
120,140,"tuition , so ... Well , obviously I easily could 've taken my girl out , or get a Gucci belt or something but ... This is a real man right here , okay ? Actually , I 'm taking a like couple classes in my high school that has college credit towards it , and it 's like a good 600 dollars . I need the other 400 because my sister , like , handed me down her car but , like ,"
140,160,"it 's beat up . I needed money to fix that . So most of my money goes to like , paying my car insurance and my like , school fees . And then on top of that , I got invited to a wedding Florida . Whatever I had left over ; I tried to get a good plane ticket over there , so I could be at the wedding ! I want to be a marine biologist when I grow up . I love the ocean , I love animals . It 's just where I get my"
160,180,"happiness from , really . There 's this trip to the Bahamas , which is very , very expensive , and a 1000 dollars would help me go to that . I feel like it would be a super cool experience . Is it like a trip through your school ? Or like-- No . So just a personal interest thing ? Right ? Yeah . In my current home , I 'm pretty much left to fund myself , basically . And it really sucks because the"
180,200,"school that I go to , they do n't supply buses to my house area , so I have to take Ubers like , everywhere . And it 's like ... That 's expensive . Yeah . It 's like a lot of stress on me . And it 's like ... I 'm sorry , I 'm getting emotional . It 's like I 'm being forced to grow up so fast , and I 'm only 16 . Nina , were you the"
200,220,"one that said we should n't do what we just did ? Yes . Why ? I do n't know . It can make people feel like their reasons are n't good enough . Or automatically make people feel like , "" We should give her the money ! "" Or , "" Give him the money ! "" For this reason or that reason . And not to say that is n't valid , but everybody else is also valid . And so I think if we decided to do a random"
220,240,"competition , that 's a way that nobody can feel attacked or feel hurt by specific people . I feel the opposite , personally . Because I just feel like we should give it to the person who needs it and who deserves it . Because if she 's working really hard and she 's trying to just get through school , that 's a bigger than buying a plane ticket or going on a trip . Or something like that . I do n't want it to"
240,260,"seem like coming off as , "" Oh , I 'm using that as a pity-- "" No ! That 's like your reason ! I do n't want anybody to feel bad . I do n't feel comfortable talking about the stuff I have going on at home that would make a difference . Like , I know we all have stuff going on that we did n't bring up . You have a minute and 10 seconds . Okay . Guys , we need to like ... We need to vote ! Okay , this is one vote for Jordyn--"
260,280,"Me . Eshel ... Who 's that ? Who wrote that ? Me . I do n't know how to spell his name , I 'm sorry . Just say NJ . His name is NJ . NJ ! One for Kalid . Obviously . One for Nina . Another one for Kalid . Another one for me . And one for EJ ."
280,300,"So there 's a tie ? Yeah . How do you guys want to do it ? Vote again ? Or do you want them to decide ? Just vote . Just vote . Just vote . Just vote . I know I 'm gon na be out , so just vote . Why ? Because . I do n't know , everyone has something against me . So ... I do n't have anything against you . See , this is what I did n't want to happen . If somebody gets hurt by what 's happening-- I 'm not hurt ! Well , but you 're"
300,320,"saying like , "" Everybody has something against me ! "" So if we just did random competitions , nobody would feel that way . Yeah , that 's a good idea . I have one for Kalid , one for Jordyn , two for Kalid , three for Kalid , and one for Jordyn . Sorry , Kalid . So , its three to two . Sorry . How 's everybody doing ? It was a lot . That was emotional ."
320,340,"That was deep ! Are you okay ? Yeah . I mean , I kinda expected it . I mean , going into this I kind of expected to be the first one out . Aw . So , I have nothing against any of you . You guys ready ? Yes . All right , we 've started . I feel like we should do something fun , you know ? Something to bring up the mood . I think we should just do random stuff . Like who can name the most countries in"
340,360,"Europe , who can stand on one foot the longest . I 'm just saying random stuff . Maybe who can stand on one foot the longest maybe ? Should we do that ? One leg standing up-- First one fallen out ? Sure ! Ooh ! That's-- Shoes coming off ! Three , two , one . Foot up . Couch ."
360,380,"I 'm Buddhist , everybody , so I do this like 10 times a day . How about you do challenges ? To throw you guys off ? How about you guys have to spin around ? This feels easier ! This is so-- Is there anything else we could do ? How about you stop , since I do n't know if you guys are dizzy . I 'm"
