timestamp_sec,intensity
0.000,0.000
1.880,20.000
3.759,96.300
9.398,100.000
15.036,103.700
20.675,35.200
28.193,18.700
35.712,2.300
39.471,17.500
46.989,17.700
54.507,17.900
58.266,21.300
65.785,19.800
73.303,18.200
77.062,12.000
84.580,10.000
92.099,8.000
95.858,10.000
103.376,10.000
110.894,10.000
114.653,10.000
122.171,10.000
129.690,10.000
133.449,8.600
140.967,10.000
148.485,11.400
152.244,9.800
159.763,16.800
167.281,23.800
171.040,45.500
178.558,45.000
186.077,44.500
189.836,20.900
197.354,14.100
204.872,7.300
208.631,10.500
216.150,10.900
223.668,11.200
227.427,15.200
234.945,15.800
242.463,16.400
246.223,14.100
253.741,13.800
261.259,13.400
265.018,11.000
272.536,14.200
280.055,17.400
283.814,30.600
291.332,29.800
298.850,29.000
302.609,11.100
310.128,10.000
317.646,8.900
321.405,24.200
328.923,24.300
336.441,24.300
340.201,13.100
347.719,10.400
355.237,7.700
358.996,10.600
366.514,10.500
374.033,10.500
377.792,10.100
385.310,10.000
392.828,9.900
396.587,9.700
404.106,10.000
411.624,10.300
415.383,11.500
422.901,11.500
430.420,11.500
434.179,7.400
441.697,10.000
449.215,12.600
452.974,21.000
460.493,24.300
468.011,27.600
471.770,29.400
479.288,26.500
486.806,23.700
490.566,13.300
498.084,10.000
505.602,6.700
509.361,9.000
516.879,10.000
524.398,11.000
528.157,15.100
535.675,15.100
543.193,15.100
546.952,11.000
554.471,10.000
561.989,9.000
565.748,3.600
573.266,10.000
580.784,16.400
584.544,42.000
592.062,42.000
599.580,42.000
603.339,15.400
610.857,10.000
618.376,4.600
622.135,4.500
629.653,14.900
637.171,25.300
640.930,54.100
648.449,62.100
655.967,70.100
659.726,64.500
667.244,54.800
674.763,45.000
678.522,22.200
686.040,13.400
693.558,4.700
697.317,9.900
704.836,11.100
712.354,12.200
716.113,19.200
723.631,19.100
731.149,18.900
734.909,10.800
742.427,10.200
749.945,9.600
753.704,13.000
761.222,16.200
768.741,19.400
772.500,27.400
780.018,26.100
787.536,24.900
791.295,11.900
798.814,10.000
806.332,8.100
810.091,15.100
817.609,16.900
825.127,18.700
828.887,20.300
836.405,18.900
843.923,17.600
847.682,11.800
855.200,10.000
862.719,8.200
866.478,8.400
873.996,10.000
881.514,11.600
885.273,17.300
892.792,18.200
900.310,19.000
904.069,15.800
911.587,14.200
919.106,12.600
922.865,10.800
930.383,10.200
937.901,9.700
941.660,11.400
949.179,11.400
956.697,11.300
960.456,10.300
967.974,10.000
975.492,9.700
979.252,5.700
986.770,10.000
994.288,14.300
998.047,24.400
1005.565,31.600
1013.084,38.800
1016.843,48.000
1024.361,46.200
1031.879,44.300
1035.638,29.600
1043.157,22.400
1050.675,15.100
1054.434,12.000
1061.952,10.000
1069.470,8.000
1073.230,12.200
1080.748,12.400
1088.266,12.700
1092.025,8.600
1099.543,11.200
1107.062,13.700
1110.821,20.500
1118.339,25.300
1125.857,30.100
1129.616,35.600
1137.135,35.000
1144.653,34.500
1148.412,21.500
1155.930,22.600
1163.449,23.800
1167.208,41.500
1174.726,40.700
1182.244,39.900
1186.003,24.700
1193.522,18.600
1201.040,12.400
1204.799,11.700
1212.317,10.000
1219.835,8.300
1223.594,6.300
1231.113,10.000
1238.631,13.700
1242.390,28.300
1249.908,28.700
1257.427,29.000
1261.186,15.700
1268.704,12.000
1276.222,8.200
1279.981,10.400
1287.500,10.000
1295.018,9.600
1298.777,9.600
1306.295,10.000
1313.813,10.400
1317.573,11.500
1325.091,11.900
1332.609,12.300
1336.368,10.000
1343.886,12.000
1351.405,13.900
1355.164,17.400
1362.682,21.600
1370.200,25.800
1373.959,30.000
1381.478,33.000
1388.996,36.100
1392.755,38.100
1400.273,36.900
1407.792,35.800
1411.551,31.900
1419.069,27.400
1426.587,22.800
1430.346,15.600
1437.865,14.300
1445.383,13.000
1449.142,18.300
1456.660,21.000
1464.178,23.700
1467.937,27.900
1475.456,27.800
1482.974,27.700
1486.733,24.000
1494.251,20.500
1501.770,16.900
1505.529,12.100
1513.047,10.000
1520.565,7.900
1524.324,9.800
1531.843,10.000
1539.361,10.200
1543.120,11.100
1550.638,11.100
1558.156,11.100
1561.916,10.200
1569.434,10.000
1576.952,9.800
1580.711,10.000
1588.229,10.000
1595.748,10.000
1599.507,10.000
1607.025,10.000
1614.543,10.000
1618.302,9.800
1625.821,10.000
1633.339,10.200
1637.098,11.000
1644.616,11.200
1652.135,11.300
1655.894,10.800
1663.412,10.800
1670.930,10.800
1674.689,11.500
1682.207,11.400
1689.726,11.200
1693.485,10.300
1701.003,10.000
1708.521,9.700
1712.280,10.000
1719.799,10.000
1727.317,10.000
1731.076,10.000
1738.594,10.000
1746.113,10.000
1749.872,10.000
1757.390,10.000
1764.908,10.000
1768.667,10.000
1776.186,10.000
1783.704,10.000
1787.463,10.000
1794.981,10.000
1802.499,10.000
1806.259,9.400
1813.777,10.000
1821.295,10.600
1825.054,12.800
1832.572,12.800
1840.091,12.800
1843.850,10.600
1851.368,10.000
1858.886,9.400
1864.525,10.000
1870.164,10.000
1875.802,10.000
1877.682,12.000
1879.561,10.000
1881.441,8.000
1879.561,2.000
1879.561,0.000
