start_time,end_time,text
0.24,2.3890000000000002,"Today, my daughter Salish gives her"
2.399,5.749,"credit card to ages 1 through 18. Wait,"
5.759,7.749,"no, we're using your credit card. What?"
7.759,9.35,"No, we always do. Let's use yours this"
9.36,13.43,"time. Oh, no. And yours is unlimited."
13.44,15.91,"Today, my daughter Salish gives my"
15.92,18.63,unlimited credit card to YouTubers aged
18.64,21.75,1 through 18 to see how they spend their
21.76,23.91,money. I will watch each influencer and
23.92,25.83,decide who spends their money the best.
25.84,28.15,The winner will get whatever is in this
28.16,30.47,mystery box. Mr. security guard. Can you
30.48,32.069,please make sure that nobody touches
32.079,34.59,what's inside that box? It's really
34.6,37.51,"valuable. Okay, thank you. It seems like"
37.52,39.59,all of my friends are really good at
39.6,41.43,spending my dad's money. I guess they
41.44,43.43,learned that from me. And I don't know
43.44,45.75,if my dad is ready for that because they
45.76,48.15,have some crazy ideas planned for my
48.16,51.029,"dad's credit. Starting with age one,"
51.039,53.75,Ocean Ortiz from Familio Diamond. I'm at
53.76,55.189,"Target with my one-year-old brother,"
55.199,56.709,"Ocean, and we're going to be buying"
56.719,61.069,whatever he touches. Item number one.
61.079,65.75,Okay. He's so cute. This is $40.
65.76,68.59,Oh my gosh. She's spending $40 on a
68.6,71.51,toy. I knew it. I knew I got the right
74.159,75.91,He's spending so much money. It hasn't
75.92,78.55,even been like a minute. Enough toy
78.56,80.07,shopping. Now it's time for Ocean to
80.08,82.39,pick himself an outfit. He's so cute. We
82.4,83.91,"found the perfect outfit, guys. And he's"
83.92,86.469,"running again. Wait, that looks exactly"
86.479,88.55,"like what my dad wore. Wait, what video"
88.56,90.469,"is that? No rules. Okay. Yeah, he looked"
90.479,92.069,really stupid. But I bet Ocean would
92.079,93.83,look really cute. He's walking like he
93.84,95.19,knows where he's going. He's going back
95.2,96.63,"to the toy section, which is good"
96.64,98.31,because that's the most expensive
98.32,100.23,"section, so he knows what he's doing. He"
100.24,102.069,"really likes this toy. Oh, this one,"
102.079,105.27,"too. Okay, that's $40. I'm glad it's not"
105.28,107.35,my credit card.
107.36,109.91,"All right. No, Dad. Ocean is spending so"
109.92,111.19,much of your money. How much money is
111.2,112.789,"you spending? Oh, Dad. This is my thing,"
112.799,114.55,Dad. I can't watch. Let me watch. It's
114.56,117.35,my money. It's my money.
117.36,119.67,It's not going to fit.
119.68,122.069,We have spent $500 and safe to say he
122.079,124.23,"had the best day of his life. Yeah, they"
124.24,126.87,for sure spent $500 and he looks so
126.88,128.79,happy. I'm going to use this board to
128.8,131.11,rank who spends the money the best and
131.12,133.03,whoever ends up at number one will get
133.04,135.03,"the mystery prize. So, what's in this"
135.04,137.43,"actually? Oh, what? I just want to look"
137.44,139.83,"at it. No, hold on. Is that my money"
139.84,141.75,"that we use for that? Uh, I don't know"
141.76,143.75,if it's my I spent it. Let me look. I
143.76,145.91,want to see. You mean I just want to see
145.92,148.63,the I just
148.64,152.83,"Okay, I"
152.84,154.869,"understand. Okay, you're right. You're"
154.879,156.229,right. How are you going to decide who
156.239,157.99,spends their money the best? That's so
158.0,159.99,"subjective. Well, I'm basing it on three"
160.0,162.39,"things. Generosity, fun, and creativity."
162.4,163.83,"So, I think this is going to go at"
163.84,165.35,probably number one cuz it's the only
165.36,167.27,"one I have. Oh, and he looks really cute"
167.28,168.949,and he looks like he had a lot of fun.
168.959,170.47,Okay. All right. Bye. Are they all going
170.48,172.229,to spend that much money or I don't
172.239,173.67,know. We'll see. Maybe a little more
173.68,176.47,next time.
176.48,178.79,"Oh, it's me. So, we are in front of"
178.8,181.83,Target and Jordan and Taylor got me more
181.84,184.309,"than I expected. She's so cute. Okay,"
184.319,185.91,let's see what she spends her money on.
185.92,188.07,My money. I didn't pay his money. I have
188.08,190.39,"a plan, but I want to let you guys just"
190.4,192.63,now. Okay. Is that your first item? Did
192.64,194.07,you check how much it is? I don't really
194.08,195.27,"care how much it is. Like, it's"
195.28,197.35,"basically unlimited money, right? Yeah,"
197.36,200.47,it is unlimited. I love these. Do you
200.48,203.589,even have a phone? What? How do you get
203.599,205.589,this for your phone? She's buying phone
205.599,207.35,cases and she doesn't even have a phone.
207.36,208.71,She's really trying to waste his money.
208.72,210.55,I like her. We're in the sports section.
210.56,213.03,"Hey, you don't play basketball, though."
213.04,214.789,"Okay. Well, I guess she's going to be"
214.799,216.55,playing a lot of new sports. That's
216.56,221.35,actually a soccer ball now.
221.36,222.949,We're going to get some Uno cards.
222.959,226.869,$4.99. Oh my god. Oh my god. Why are you
226.879,228.789,buying that many toys? She's dropping
228.799,230.71,all of the toys. This is all like boy
230.72,232.39,"toys. Why are you getting them? Yeah,"
232.4,233.75,you're pretty right. I should get some
233.76,235.19,girl toys. She's just getting a lot of
235.2,236.63,stuff that she's probably not even going
236.64,238.63,"to use. Salish. Dude, are you Can you"
238.64,239.91,talk to this person? They're my Door
239.92,241.589,Dash person. What am I supposed to do?
241.599,243.83,Just do whatever like they're asking.
243.84,245.429,I'm getting your Door Dash while you're
245.439,247.27,spending my money. This better be on
247.28,248.949,"your account, Salish. It better be. It"
248.959,250.869,is. I swear. I got didn't have fun
250.879,252.229,because I had a credit card for
252.239,253.91,"Postmate. Or wait, what? I had a gift"
253.92,255.91,card for Postmates and I got the
255.92,257.99,cucumber salad and the spicy noodles.
258.0,260.069,That sounds so good right now. What' you
260.079,261.83,get for me? I didn't get anything for
261.84,264.629,"you. Moving on. Yeah, let's go. Yeah,"
264.639,266.629,let's go back to spending my money. Like
266.639,268.469,your two friends who are about to do the
268.479,270.23,"most dangerous things they can imagine,"
270.24,272.469,like Nadal paragliding and Paisley
272.479,274.469,bungee jumping. And I'm the one paying
274.479,276.71,"for this madness. Oh god, this is going"
276.72,279.03,to be expensive. What is this turtle? I
279.04,280.95,"like turtles, too. Sometimes I act like"
280.96,282.87,the turtle cuz sometimes I'm slow cuz I
282.88,286.79,love bed.
286.8,289.03,I think I've seen her laugh 100 times in
289.04,295.59,"his YouTube videos. He's like,"
295.6,298.07,"she got so many things. Hey, Mimi, I"
298.08,300.23,think you overdid. I always wondered if
300.24,301.59,they're going to sell a pink Spider-Man.
301.6,303.59,"Ma, you don't even like Spider-Man. What"
303.6,305.749,"are you doing? Okay. By the way,"
305.759,307.749,"Annazala family started this trend, but"
307.759,309.51,if they had told me how expensive it
309.52,311.749,"would be, I never would have done it."
311.759,313.83,This is fun. I'll get both of them then.
313.84,315.029,I don't know you like that. What's going
315.039,316.95,on? It's not for me. Just a reminder.
316.96,318.95,Got a little hint. What do you mean it's
318.96,320.629,not for you? Don't worry about that
320.639,324.629,right now. Ta.
324.639,326.469,What should I do with all of it? I
326.479,329.27,always wanted to get the USA champion
329.28,331.51,"chips. Oh, does that mean I get to get a"
331.52,334.15,nacho chip after this? Cuz it's called a
334.16,336.469,"world record chip. It's a championship,"
336.479,340.95,"not a chip. Oh my god. Okay, we're not."
340.96,342.31,Tell me the truth. How much sugar did
342.32,343.99,you have today? had two pancakes in my
344.0,346.39,school for breakfast and some sausage
346.4,350.31,and two cups of syrup.
350.32,353.67,"Oh my gosh, my food. Yay. Thank you,"
353.68,356.15,Dad. You're ridiculous.
356.16,357.909,"Guys, my food is here. In case you're"
357.919,358.95,wondering what it's like to film with
358.96,360.629,Salish. There you go. Do you want any of
360.639,363.83,"my food? Okay, I guess not. Anyways,"
363.84,366.43,this is what I got. Here's a
366.44,369.11,mukbang. I'm so gassed. If anyone knows
369.12,371.029,"what this thing is, that white thing,"
371.039,372.79,"could you tell me? S, you want to try"
372.8,374.71,using the chopsticks in the proper way?
374.72,375.909,I think you're supposed to like take
375.919,377.51,"them apart, but I don't do that."
377.52,379.43,"Anyways, let's get back onto our video."
379.44,381.27,"Mimi, this is way too much. I don't know"
381.28,382.55,you like that. You don't know. You're
382.56,384.15,going to be proud of me after. Are we
384.16,385.909,"going to tweet or No, we're done. Let's"
385.919,388.23,go check out.
388.24,389.909,"Oh my gosh, guys. They're checking out"
389.919,391.83,right now. And that employee probably
391.84,393.59,thinks they're crazy. They have so much
393.6,396.07,stuff. Let's see.
396.08,398.87,"Oh my god, this is so exciting. Your"
398.88,400.79,"plan better be a good plan. Don't worry,"
400.8,403.189,Daddy. Oh my god. Do we have all these
403.199,406.309,left? 409.
406.319,411.27,"409. What? I mean 1,000. What? Okay. I I"
411.28,412.87,"can't watch, Colin. I can't watch. It"
412.88,415.029,"went to 10,000. Okay, now you're messing"
415.039,418.07,"with me. No, I'm not. We're at 52, guys."
418.08,420.07,There's a lot of toys. I still don't
420.08,421.189,know what we're going to do with all
421.199,423.43,these toys. My plan is to donate all of
423.44,425.749,"these to kids that need it more. Oh,"
425.759,428.309,they're donating all of them. And we are
428.319,430.95,right here in front of Hope the Mission
430.96,433.43,"donation drop off center. Wait, guys."
433.44,435.909,"That's so sweet. A good job, baby. I'm"
435.919,438.27,so proud of you.
438.28,440.71,You This might have to move up. She
440.72,442.71,"might be in first place. I mean, that's"
442.72,445.189,so cute. I'm going to put Mila at number
445.199,447.51,one because you was so generous giving
447.52,449.35,all the toys to the Boys and Girls Club.
449.36,450.469,"So, I thought that was really sweet."
450.479,451.99,That was worth my money for sure. if
452.0,453.83,somebody goes on a Sephora hole. I know
453.84,456.23,Embry loves beauty products and that's
456.24,458.469,"really expensive. So, I just hope more"
458.479,460.95,YouTubers lean towards generosity rather
460.96,463.029,than craziness because I don't know if I
463.039,465.029,can handle more people bungee jumping
465.039,467.11,out of buildings or flying off of
467.12,472.35,"mountains. Now, it's a forly bungee"
472.36,475.83,"jumping. Hi. Off topic, her eyes and her"
475.84,479.189,hair are so pretty. Oh my gosh.
479.199,481.43,I need to plan some things out. color.
481.44,483.909,"Wait, where are you going? Follow me."
483.919,485.67,"First, I'm going to write down what I"
485.68,488.15,"would spend it on. Oh, snap. I like it."
488.16,493.029,"Number two, craft a fun surprise. We"
493.039,494.95,could like set up a party for all the
494.96,496.15,"cousins. Wait, why'd you write"
496.16,498.39,"pepperoni? A pizza party? No, I like"
498.4,500.71,plain pepperoni just to eat. We did a
500.72,502.629,video once and she has such good energy
502.639,504.55,and she's so sweet. Okay. All right. You
504.56,507.029,ready to roll? Yeah. Are we going first?
507.039,509.029,"Target. Kindly, look at this split. We"
509.039,510.309,couldn't have done the shopping spree
510.319,512.23,without Kenley. They're a good combo.
512.24,514.149,"You needed a luggage for your doll, too."
514.159,516.79,"Oh, I love these."
516.8,519.509,Sold to the girl with the purple pants.
519.519,522.149,Five stars. Six stars. They're having a
522.159,523.909,shopping spree with their dad. That's
523.919,525.59,fun when you're young. Is that still
525.6,526.949,"fun? That was fun with me. No, it's so"
526.959,528.15,"fun. Okay, I guess you don't want to go"
528.16,529.35,shopping sprees with me and my credit
529.36,531.269,card anymore. I guess that's fine. Looks
531.279,534.15,"like we got a duo, ladies and gentlemen."
534.16,536.87,"Tiny glass cup. Oh, that is so perfect."
536.88,540.389,"This is so much fun. Oh,"
540.399,543.35,I think you should get 39. 39. That's
543.36,545.75,good. I'm so tempted to get a ice cream
545.76,548.71,"truck. Look at all that ice cream. Okay,"
548.72,550.55,they're getting a lot of different
550.56,552.55,stuff. There's a big variety of stuff.
552.56,554.949,We're getting ice cream. Thank you.
554.959,557.509,"Cheers. Oh, and they're getting ice"
