start_time,stop_time,avg_intensity
0,5,38.766666666666666
5,10,100.0
10,15,101.85
15,20,103.7
20,25,35.2
25,30,18.7
30,35,14.3
35,40,9.9
40,45,13.8
45,50,17.7
50,55,17.9
55,60,21.3
60,65,20.55
65,70,19.8
70,75,18.2
75,80,12.0
80,85,10.0
85,90,9.0
90,95,8.0
95,100,10.0
100,105,10.0
105,110,10.0
110,115,10.0
115,120,10.0
120,125,10.0
125,130,10.0
130,135,8.6
135,140,9.3
140,145,10.0
145,150,11.4
150,155,9.8
155,160,16.8
160,165,20.3
165,170,23.8
170,175,45.5
175,180,45.0
180,185,38.85
185,190,32.7
190,195,23.400000000000002
195,200,14.1
200,205,7.3
205,210,10.5
210,215,10.7
215,220,10.9
220,225,11.2
225,230,15.2
230,235,15.8
235,240,16.1
240,245,16.4
245,250,14.1
250,255,13.8
255,260,13.600000000000001
260,265,13.4
265,270,11.0
270,275,14.2
275,280,19.1
280,285,24.0
285,290,26.9
290,295,29.8
295,300,29.0
300,305,11.1
305,310,10.55
310,315,10.0
315,320,8.9
320,325,24.2
325,330,24.3
330,335,24.3
335,340,24.3
340,345,13.1
345,350,10.4
350,355,9.775
355,360,9.15
360,365,9.825
365,370,10.5
370,375,10.5
375,380,10.1
380,385,10.05
385,390,10.0
390,395,9.9
395,400,9.7
400,405,10.0
405,410,10.15
410,415,10.3
415,420,11.5
420,425,11.5
425,430,10.475
430,435,9.45
435,440,9.725
440,445,10.0
445,450,12.6
450,455,21.0
455,460,22.65
460,465,24.3
465,470,27.6
470,475,29.4
475,480,26.5
480,485,25.1
485,490,23.7
490,495,13.3
495,500,10.0
500,505,8.925
505,510,7.85
510,515,8.925
515,520,10.0
520,525,11.0
525,530,15.1
530,535,15.1
535,540,15.1
540,545,15.1
545,550,11.0
550,555,10.0
555,560,9.5
560,565,9.0
565,570,3.6
570,575,10.0
575,580,19.6
580,585,29.2
585,590,35.6
590,595,42.0
595,600,42.0
600,605,15.4
605,610,12.7
610,615,10.0
615,620,4.6
620,625,4.5
625,630,14.9
630,635,20.1
635,640,25.3
640,645,54.1
645,650,62.1
650,655,64.7
655,660,67.3
660,665,61.05
665,670,54.8
670,675,45.0
675,680,22.2
680,685,17.8
685,690,13.4
690,695,4.7
695,700,9.9
700,705,11.1
705,710,11.649999999999999
710,715,12.2
715,720,19.2
720,725,19.1
725,730,16.975
730,735,14.85
735,740,12.524999999999999
740,745,10.2
745,750,9.6
750,755,13.0
755,760,14.6
760,765,16.2
765,770,19.4
770,775,27.4
775,780,26.75
780,785,26.1
785,790,24.9
790,795,11.9
795,800,10.0
800,805,9.05
805,810,8.1
810,815,15.1
815,820,16.9
820,825,18.2
825,830,19.5
830,835,19.2
835,840,18.9
840,845,17.6
845,850,11.8
850,855,10.9
855,860,10.0
860,865,8.2
865,870,8.4
870,875,10.0
875,880,10.8
880,885,11.6
885,890,17.3
890,895,18.2
895,900,17.799999999999997
900,905,17.4
905,910,15.799999999999999
910,915,14.2
915,920,12.6
920,925,10.8
925,930,10.5
930,935,10.2
935,940,9.7
940,945,11.4
945,950,11.4
950,955,11.350000000000001
955,960,11.3
960,965,10.3
965,970,10.0
970,975,8.85
975,980,7.699999999999999
980,985,8.85
985,990,10.0
990,995,14.3
995,1000,24.4
1000,1005,28.0
1005,1010,31.6
1010,1015,38.8
1015,1020,48.0
1020,1025,46.2
1025,1030,45.25
1030,1035,44.3
1035,1040,29.6
1040,1045,22.4
1045,1050,17.975
1050,1055,13.55
1055,1060,11.775
1060,1065,10.0
1065,1070,8.0
1070,1075,12.2
1075,1080,12.3
1080,1085,12.4
1085,1090,12.7
1090,1095,8.6
1095,1100,11.2
1100,1105,12.45
1105,1110,13.7
1110,1115,20.5
1115,1120,25.3
1120,1125,29.075000000000003
1125,1130,32.85
1130,1135,33.925
1135,1140,35.0
1140,1145,34.5
1145,1150,21.5
1150,1155,22.05
1155,1160,22.6
1160,1165,23.8
1165,1170,41.5
1170,1175,40.7
1175,1180,40.3
1180,1185,39.9
1185,1190,24.7
1190,1195,18.6
1195,1200,15.325000000000001
1200,1205,12.05
1205,1210,11.025
1210,1215,10.0
1215,1220,8.3
1220,1225,6.3
1225,1230,8.15
1230,1235,10.0
1235,1240,13.7
1240,1245,28.3
1245,1250,28.7
1250,1255,28.85
1255,1260,29.0
1260,1265,15.7
1265,1270,12.0
1270,1275,10.65
1275,1280,9.3
1280,1285,9.65
1285,1290,10.0
1290,1295,9.8
1295,1300,9.6
