start_time,end_time,words
0,5,"Today , my daughter Salish gives her credit card to ages 1"
5,10,"through 18 . Wait , no , we 're using your credit card . What ? No , we always do . Let 's use yours this time ."
10,15,"Oh , no . And yours is unlimited . Today , my daughter"
15,20,Salish gives my unlimited credit card to YouTubers aged 1 through 18 to
20,25,see how they spend their money . I will watch each influencer and decide who spends
25,30,their money the best . The winner will get whatever is in this mystery box . Mr. security
30,35,guard . Can you please make sure that nobody touches what 's inside that box ? It 's really
35,40,"valuable . Okay , thank you . It seems like all of my friends are really good at"
40,45,spending my dad 's money . I guess they learned that from me . And I do n't know if my dad is ready for that
45,50,because they have some crazy ideas planned for my dad 's credit .
50,55,"Starting with age one , Ocean Ortiz from Familio Diamond . I 'm at Target with my one - year - old"
55,60,"brother , Ocean , and we 're going to be buying whatever he touches . Item"
60,65,number one . Okay . He 's so cute . This
65,70,is $ 40 . Oh my gosh . She 's spending $ 40 on a toy . I knew it . I
70,75,knew I got the right He 's spending so
75,80,much money . It has n't even been like a minute . Enough toy shopping . Now it 's time for Ocean
80,85,"to pick himself an outfit . He 's so cute . We found the perfect outfit , guys . And he 's running again ."
85,90,"Wait , that looks exactly like what my dad wore . Wait , what video is that ? No rules . Okay . Yeah ,"
90,95,he looked really stupid . But I bet Ocean would look really cute . He 's walking like he knows where he 's going . He 's
95,100,"going back to the toy section , which is good because that 's the most expensive section , so he knows what he 's"
100,105,"doing . He really likes this toy . Oh , this one , too . Okay , that 's $ 40 . I 'm glad it 's"
105,110,"not my credit card . All right . No , Dad . Ocean is spending so"
110,115,"much of your money . How much money is you spending ? Oh , Dad . This is my thing , Dad . I ca n't watch . Let me watch . It 's my"
115,120,money . It 's my money . It 's not going to fit . We
120,125,"have spent $ 500 and safe to say he had the best day of his life . Yeah , they for sure"
125,130,spent $ 500 and he looks so happy . I 'm going to use this board to rank who spends the
130,135,"money the best and whoever ends up at number one will get the mystery prize . So , what 's in"
135,140,"this actually ? Oh , what ? I just want to look at it . No , hold on . Is that my money"
140,145,"that we use for that ? Uh , I do n't know if it 's my I spent it . Let me look . I want to see . You mean I"
145,150,just want to see the I just
150,155,"Okay , I understand . Okay , you 're right . You 're"
155,160,"right . How are you going to decide who spends their money the best ? That 's so subjective . Well , I 'm basing it on three"
160,165,"things . Generosity , fun , and creativity . things . Generosity , fun , and creativity . So , I think this is going to go at probably number one cuz it"
165,170,"'s the only one I have . Oh , and he looks really cute and he looks like he had a lot of fun . Okay . All right . Bye . Are"
170,175,they all going to spend that much money or I do n't know . We 'll see . Maybe a little more
175,180,"next time . Oh , it 's me . So , we are in front of Target and"
180,185,"Jordan and Taylor got me more than I expected . She 's so cute . Okay , let 's see what"
185,190,"she spends her money on . My money . I did n't pay his money . I have a plan , but I want to let you"
190,195,guys just now . Okay . Is that your first item ? Did you check how much it is ? I do n't really care how much it is .
195,200,"Like , it 's basically unlimited money , right ? Yeah , it is unlimited . I love these ."
200,205,Do you even have a phone ? What ? How do you get this for your phone ? She 's
205,210,buying phone cases and she does n't even have a phone . She 's really trying to waste his money . I like her . We 're in the
210,215,"sports section . Hey , you do n't play basketball , though . Okay . Well , I guess she 's going to be"
215,220,playing a lot of new sports . That 's actually a soccer
220,225,ball now . We 're going to get some Uno cards . $ 4.99 . Oh my god . Oh
225,230,my god . Why are you buying that many toys ? She 's dropping all of the toys . This
230,235,"is all like boy toys . Why are you getting them ? Yeah , you 're pretty right . I should get some girl toys . She 's just getting a"
235,240,"lot of stuff that she 's probably not even going to use . Salish . Dude , are you Can you talk to this person ? They 're my Door"
240,245,Dash person . What am I supposed to do ? Just do whatever like they 're asking . I 'm getting your Door Dash
245,250,"while you 're spending my money . This better be on your account , Salish . It better be . It is . I swear . I got"
250,255,"did n't have fun because I had a credit card for Postmate . Or wait , what ? I had a gift card for"
255,260,Postmates and I got the cucumber salad and the spicy noodles . That sounds so good right now . What '
260,265,"you get for me ? I did n't get anything for you . Moving on . Yeah , let 's go . Yeah , let 's"
265,270,go back to spending my money . Like your two friends who are about to do the most dangerous things they can
270,275,"imagine , like Nadal paragliding and Paisley bungee jumping . And I 'm the one paying for this"
275,280,"madness . Oh god , this is going to be expensive . What is this turtle ? I like turtles , too ."
280,285,Sometimes I act like the turtle cuz sometimes I 'm slow cuz I
285,290,love bed . I think I 've seen her laugh 100 times in his
290,295,"YouTube videos . He 's like ,"
295,300,"she got so many things . Hey , Mimi , I think you overdid . I always"
300,305,"wondered if they 're going to sell a pink Spider - Man . Ma , you do n't even like Spider - Man . What are you doing ?"
305,310,"Okay . By the way , Annazala family started this trend , but if they had told me how expensive it would"
310,315,"be , I never would have done it . This is fun . I 'll get both of them then . I do n't know you like that . What 's"
315,320,going on ? It 's not for me . Just a reminder . Got a little hint . What do you mean it 's not for you ? Do n't
320,325,worry about that right now . Ta . What
325,330,"should I do with all of it ? I always wanted to get the USA champion chips . Oh ,"
330,335,does that mean I get to get a nacho chip after this ? Cuz it 's called a world record
335,340,"chip . It 's a championship , not a chip . Oh my god . Okay , we"
340,345,'re not . Tell me the truth . How much sugar did you have today ? had two pancakes in my school for
345,350,breakfast and some sausage and two cups of
350,355,"syrup . Oh my gosh , my food . Yay . Thank you , Dad . You 're"
355,360,"ridiculous . Guys , my food is here . In case you 're wondering what it 's like to film with Salish . There you go . Do"
360,365,"you want any of my food ? Okay , I guess not . Anyways , this is"
365,370,what I got . Here 's a mukbang . I 'm so gassed . If anyone knows what this thing
370,375,"is , that white thing , could you tell me ? S , you want to try using the chopsticks in the proper way ? I think"
375,380,"you 're supposed to like take them apart , but I do n't do that . Anyways , let 's get back onto our video . Mimi , this"
380,385,is way too much . I do n't know you like that . You do n't know . You 're going to be proud of me after . Are we going to tweet or
385,390,"No , we 're done . Let 's go check out . Oh my gosh , guys . They 're checking out"
390,395,right now . And that employee probably thinks they 're crazy . They have so much stuff .
395,400,"Let 's see . Oh my god , this is so exciting . Your plan better be a good"
400,405,"plan . Do n't worry , Daddy . Oh my god . Do we have all these left ?"
405,410,"409 . 409 . What ? I mean 1,000 ."
410,415,"What ? Okay . I I ca n't watch , Colin . I ca n't watch . It went to 10,000 . Okay , now you 're"
415,420,"messing with me . No , I 'm not . We 're at 52 , guys . There 's a lot of toys . I still do"
420,425,n't know what we 're going to do with all these toys . My plan is to donate all of these to kids that
425,430,"need it more . Oh , they 're donating all of them . And we are right here in front of"
430,435,"Hope the Mission donation drop off center . Wait , guys . That 's so sweet . A"
435,440,"good job , baby . I 'm so proud of you . You This might have to"
440,445,"move up . She might be in first place . I mean , that 's so cute . I 'm going to put Mila at"
445,450,"number one because you was so generous giving all the toys to the Boys and Girls Club . So , I thought that"
450,455,was really sweet . That was worth my money for sure . if somebody goes on a Sephora hole . I know Embry loves beauty
455,460,"products and that 's really expensive . So , I just hope more YouTubers lean towards"
460,465,generosity rather than craziness because I do n't know if I can handle more people bungee
465,470,"jumping out of buildings or flying off of mountains . Now , it"
470,475,"'s a forly bungee jumping . Hi . Off topic , her"
475,480,eyes and her hair are so pretty . Oh my gosh . I need to
480,485,"plan some things out . color . Wait , where are you going ? Follow me . First , I 'm going to"
485,490,"write down what I would spend it on . Oh , snap . I like it . Number two ,"
490,495,craft a fun surprise . We could like set up a party for all the
495,500,"cousins . Wait , why 'd you write pepperoni ? A pizza party ? No , I like plain pepperoni just to"
500,505,eat . We did a video once and she has such good energy and she 's so sweet . Okay . All right . You ready
505,510,"to roll ? Yeah . Are we going first ? Target . Kindly , look at this split . We could n't have done the"
510,515,"shopping spree without Kenley . They 're a good combo . You needed a luggage for your doll , too . Oh , I"
515,520,love these . Sold to the girl with the purple pants . Five
520,525,stars . Six stars . They 're having a shopping spree with their dad . That 's fun when you 're young .
525,530,"Is that still fun ? That was fun with me . No , it 's so fun . Okay , I guess you do n't want to go shopping sprees with me and my credit card"
530,535,"anymore . I guess that 's fine . Looks like we got a duo , ladies and gentlemen . Tiny"
535,540,"glass cup . Oh , that is so perfect . This is so much fun ."
540,545,"Oh , I think you should get 39 . 39 . That 's good . I 'm so tempted to"
545,550,"get a ice cream truck . Look at all that ice cream . Okay , they 're getting a lot of"
550,555,different stuff . There 's a big variety of stuff . We 're getting ice cream . Thank you .
555,560,"Cheers . Oh , and they 're getting ice cream baddies . How much money have we"
560,565,"spent ? To be exact , it 's 163 . Oh my goodness . Look at this dresser ."
565,570,"That is Should we grab one for both of our dolls ? How expensive are they ? art . It 's not that expensive . Okay , now they"
570,575,'re at a craft store and I guess they 're going to make crafts . That sounds like a good idea . The
575,580,little pots and pans and the silver .
580,585,"It 's so cute . Okay , I think this is good . We could have"
585,590,Robux with some road ducks . Six . I think that 's six right there . How much are
590,595,"you doing in Robux ? 1,000 for everyone ? Yeah . That 's cool of you , dude ."
595,600,"How much is 1,000 Robux ? No , you do n't game . Me either . What ?"
600,605,"200 . Oh , 261 . Just at the craft store . We 're probably"
605,610,going to have 383 . 3057 . 305 . First part of our surprise is we
610,615,have pizza . Pizza . have pizza . Pizza .
615,620,3 2 1 . What 's on the
620,625,"bottom ? Robux . Robux . You guys ,"
625,630,"thousand Robux . They 're so happy that they got 1,000 Robux . Now , I 'm going to put Adley"
