timestamp_sec,intensity
0.000,0.000
0.921,9.200
1.843,33.900
4.607,46.000
7.372,58.100
10.136,57.800
13.822,60.500
17.508,63.300
19.351,66.500
23.037,59.700
26.723,52.900
28.566,36.100
32.252,26.500
35.938,16.800
37.781,14.700
41.467,11.400
45.152,8.100
46.995,10.300
50.681,10.000
54.367,9.700
56.210,10.000
59.896,10.000
63.582,10.000
65.425,10.000
69.111,10.000
72.797,10.000
74.640,10.000
78.326,10.000
82.012,10.000
83.855,10.000
87.541,10.000
91.226,10.000
93.069,10.000
96.755,10.000
100.441,10.000
102.284,10.000
105.970,10.000
109.656,10.000
111.499,10.000
115.185,10.000
118.871,10.000
120.714,10.000
124.400,10.000
128.086,10.000
129.929,10.000
133.615,10.000
137.300,10.000
139.143,10.000
142.829,10.000
146.515,10.000
148.358,10.000
152.044,10.000
155.730,10.000
157.573,10.000
161.259,10.000
164.945,10.000
166.788,10.000
170.474,10.000
174.160,10.000
176.003,10.000
179.689,10.000
183.374,10.000
185.217,10.000
188.903,10.000
192.589,10.000
194.432,9.400
198.118,10.000
201.804,10.600
203.647,9.700
207.333,13.100
211.019,16.400
212.862,22.900
216.548,26.600
220.234,30.300
222.077,31.200
225.762,31.700
229.448,32.100
231.291,29.000
234.977,28.700
238.663,28.500
240.506,29.200
244.192,30.400
247.878,31.600
249.721,33.100
253.407,34.500
257.093,35.900
258.936,36.700
262.622,37.300
266.308,37.800
268.151,38.500
271.836,37.400
275.522,36.200
277.365,32.200
281.051,31.400
284.737,30.700
286.580,31.800
290.266,33.600
293.952,35.400
295.795,36.700
299.481,40.400
303.167,44.000
305.010,49.200
308.696,51.900
312.382,54.500
314.225,54.000
317.910,53.500
321.596,53.000
323.439,49.700
327.125,49.300
330.811,48.900
332.654,50.000
336.340,51.700
340.026,53.400
341.869,56.200
345.555,57.900
349.241,59.600
351.084,58.700
354.770,60.300
358.456,61.900
360.298,62.400
363.984,65.700
367.670,69.000
369.513,74.800
373.199,76.700
376.885,78.600
378.728,77.500
382.414,75.400
386.100,73.200
387.943,68.200
391.629,65.800
395.315,63.500
397.158,64.100
400.844,63.600
404.530,63.200
406.372,61.800
410.058,63.500
413.744,65.200
415.587,68.100
419.273,72.000
422.959,75.800
424.802,81.400
428.488,82.800
432.174,84.100
434.017,80.700
437.703,78.600
441.389,76.500
443.232,71.600
446.918,72.000
450.603,72.500
452.446,79.800
456.132,80.700
459.818,81.700
461.661,78.900
465.347,76.800
469.033,74.700
470.876,73.200
474.562,70.300
478.248,67.500
480.091,65.800
483.777,62.800
487.463,59.700
489.306,57.700
492.992,55.000
496.677,52.300
498.520,49.900
502.206,49.300
505.892,48.700
507.735,49.200
511.421,52.000
515.107,54.700
516.950,56.000
520.636,63.100
524.322,70.200
526.165,83.800
529.851,87.300
533.537,90.800
535.380,86.300
539.066,80.600
542.751,75.000
544.594,64.800
548.280,59.100
551.966,53.400
553.809,54.600
557.495,52.200
561.181,49.900
563.024,45.700
566.710,47.200
570.396,48.700
572.239,59.700
575.925,59.900
579.611,60.000
581.454,46.900
585.139,48.000
588.825,49.200
590.668,59.800
594.354,65.600
598.040,71.300
599.883,76.200
603.569,76.800
607.255,77.400
609.098,72.900
612.784,68.600
616.470,64.200
618.313,58.700
621.999,55.000
625.685,51.400
627.528,50.700
631.213,50.200
634.899,49.700
636.742,52.200
640.428,52.500
644.114,52.800
645.957,52.200
649.643,51.800
653.329,51.500
655.172,50.700
658.858,50.800
662.544,50.800
664.387,52.100
668.073,52.100
671.759,52.100
673.602,50.400
677.287,50.700
680.973,51.100
682.816,54.300
686.502,53.900
690.188,53.600
692.031,50.300
695.717,48.800
699.403,47.400
701.246,47.500
704.932,46.700
708.618,45.900
710.461,47.200
714.147,44.900
717.833,42.600
719.676,35.900
723.361,35.300
727.047,34.800
728.890,36.100
732.576,42.300
736.262,48.500
738.105,61.600
741.791,66.300
745.477,70.900
747.320,69.900
751.006,65.600
754.692,61.400
756.535,47.100
760.221,45.000
763.907,42.900
765.749,55.100
769.435,55.200
773.121,55.300
774.964,48.400
778.650,45.600
782.336,42.800
784.179,41.700
787.865,41.200
791.551,40.600
793.394,37.100
797.080,42.900
800.766,48.600
802.609,58.500
806.295,69.900
809.980,81.300
811.823,101.800
815.509,100.000
819.195,98.200
821.038,73.600
824.724,60.800
828.410,48.000
830.253,41.900
833.939,36.000
837.625,30.100
839.468,31.600
843.154,31.400
846.840,31.300
848.683,34.200
852.369,35.100
856.054,36.000
857.897,35.600
861.583,36.000
865.269,36.400
867.112,36.900
870.798,37.000
874.484,37.100
876.327,37.000
880.013,36.300
883.699,35.700
885.542,34.400
889.228,33.800
892.914,33.100
894.757,32.800
898.443,33.100
902.128,33.400
903.971,35.600
907.657,35.300
911.343,34.900
914.108,32.200
916.872,31.500
919.637,30.700
920.558,37.800
921.480,31.500
922.401,25.200
921.480,6.300
921.480,0.000
