start_time,end_time,text
8.259,9.529,"Hello, everybody."
10.959,13.759,I'm going to start with a question.
14.749,19.469,How many of you know the person sitting next to you from before today?
21.648,22.682,Interesting.
22.682,26.988,"So, do you remember the first conversation that you ever had with that person?"
28.374,31.251,You know conversations are links.
32.151,35.551,Let's imagine every conversation to be a tiny metal link.
35.551,38.121,"And every time you talk to a stranger,"
38.121,39.781,a metal link is formed.
41.019,43.741,"And every conversation that you have after that moment,"
43.741,46.986,the link gets stronger and stronger.
46.986,51.882,And every day each one of us meets so many strangers:
51.882,54.441,"the grocery guy, the cab guy"
54.441,57.511,maybe the receptionist at a new office you went to.
58.391,61.311,And with every conversation we build new links.
62.361,64.238,"Until finally at the end,"
65.318,72.082,we've created a kind of massive World Wide Web of conversation.
72.922,74.348,World Wide Web.
74.348,77.518,It's a catchy word. I think I've heard that somewhere.
79.178,82.805,"That's it, right? A conversation. It's a fascinating thing."
82.805,85.565,A conversation is an adventure.
85.565,88.635,A conversation gives you a whole new perspective.
88.635,91.095,A conversation opens a door.
92.225,96.765,Conversations can make war and conversations can make peace.
96.765,101.865,And conversations define who we are as a human race.
103.107,104.607,Think about this.
104.607,108.207,Every single person in your life was once a stranger to you.
109.277,115.387,And you knew nothing about them until you had that first conversation.
116.697,120.227,"So I'm here today to tell you to talk to strangers,"
121.397,123.218,to have a conversation.
123.218,125.934,And I'm here to tell you how.
125.934,130.124,Seven ways that you can make a conversation with almost anyone.
132.55,135.19,I'm a radio presenter
135.19,137.38,and I love talking to people.
138.47,140.04,I do. I love it.
140.04,143.11,And I'm so glad that I do it for a living.
143.11,144.94,Here's what my day is like.
144.94,147.79,"Every single morning, I go into an empty room,"
147.79,149.21,"I put on a mic,"
149.21,153.783,and I have a conversation with 1.6 million people ...
155.183,156.513,that I can't see.
157.943,159.063,Yeah.
159.783,162.143,"You know what the hardest part is, though?"
162.143,163.456,It's time.
163.456,167.276,"In a four-hour show, I get 20 minutes."
168.546,170.386,That's all the talk there is.
170.386,174.856,And in 20 minutes I have to convince you that I am your best friend.
176.208,178.188,How do I do that?
178.188,181.097,How do I establish a connection?
181.097,186.307,"I have 20 minutes to inform you, to excite you, to engage with you"
186.307,187.837,"but most importantly,"
187.837,190.697,"20 out of the 20 times that I switch on that mic,"
190.697,193.777,I have to leave a smile on your face.
195.356,198.791,"Except, I can't see you, I know nothing about you,"
198.791,202.491,and I have no way of gauging your reactions.
202.491,205.51,How do you do it? How do you talk to a stranger?
206.49,211.47,"Well, my nine years in radio have taught me these simple little tricks."
214.206,215.319,"Strangers,"
216.299,217.789,they are everywhere.
218.849,222.399,"And we've always been told, ""Don't talk to strangers!"""
222.399,225.159,But I beg to differ.
225.159,229.409,"Every stranger comes with an opportunity,"
229.409,231.709,"an opportunity to learn something new,"
231.709,234.592,an opportunity to have an experience you've never had
234.592,237.532,or hear a story that you've never heard before.
239.062,241.855,"And you've had that moment, right?"
241.855,244.295,"You're in the room with someone you don't know,"
244.295,248.285,"and you look across the room, you see a stranger, and you think,"
248.285,250.385,"""I want to talk to this person."""
250.385,254.175,"And you can almost hear the first word but it just won't come out,"
254.175,256.409,"it kind of gets stuck about here,"
256.409,258.659,it kind of goes up and down
258.659,260.729,and you don't know -
260.729,262.089,You know what?
262.089,264.629,Here's my advice: just say it.
265.649,267.245,What's the worst that can happen?
267.245,270.59,"They want to talk to you. Well, they're not talking to you now."
271.83,273.75,The first word floodgates.
273.75,276.57,I truly believe that the first word acts as a floodgate.
276.57,281.171,"You know, once you said the first word everything else just flows."
281.171,282.416,So keep it simple.
282.416,285.776,"A ""Hi,"" a ""Hey,"" a ""Hello."""
287.086,289.286,And do what every good bowler does.
289.286,293.721,"Just gather the enthusiasm, the positivity, the energy,"
293.721,297.211,"put on a big smile and say, ""Hi!"""
299.095,302.555,I know. There's going to be that strange moment right now.
302.555,306.065,"Turn to someone sitting next to you, stick your hand out and say hello."
306.065,307.115,Go on.
311.13,313.6,I love the awkward laughter.
313.6,316.8,"""Why is she making us do this?"""
316.803,318.993,The first word floodgates.
321.386,324.806,"You know, here's a challenge we face every day."
324.806,325.776,Time.
325.776,327.656,"We have 90 seconds on radio,"
327.656,331.416,and we have to make that conversation with a stranger memorable.
331.416,332.993,So how do you do it?
334.023,336.483,What's the biggest challenge?
336.483,337.473,"Honestly,"
338.423,340.763,if we get stuck in the rut of:
340.763,342.503,"""Hi!"" ""Hey!"""
342.503,344.587,"""How are you?"" ""I'm fine."""
344.587,347.037,"""What's going on?"" ""Nothing much."""
347.037,349.057,"""Same old."" ""So tell me what's new?"""
349.057,352.597,"There you go, 45 seconds down, wasted."
352.597,353.79,Right?
353.79,355.02,"So, here's my advice:"
355.02,359.023,skip the small talk and ask a really personal question.
359.023,360.333,And don't be afraid.
360.333,361.753,Trust me.
361.753,366.793,You will be surprised how much people are willing to share if you just ask.
367.929,370.009,So ask any kind of personal question.
370.009,372.929,Interesting name.
372.929,375.831,How did your parents think of it? Is there a story behind it?
375.831,376.831,Or ...
376.831,378.671,How long have you lived in this city?
378.671,381.531,And do you remember the first day you landed here?
383.071,385.701,"Answers to those questions are always something unique,"
385.701,387.641,always something personal.
388.601,391.621,My favorite one to try is:
391.621,394.351,Where do you come from? And where does your family live?
394.351,395.431,"Unfailingly,"
395.431,398.351,"every single time I sit in a cab, I do this."
398.351,399.701,I ask that question.
399.701,402.381,Where do you come from? And where does your family live?
402.381,403.991,Let me tell you a little story.
403.991,406.641,I was coming home one night ...
406.641,410.167,"I get into this taxi, open the door, sit down and I say,"
410.167,412.541,"""Where are you from? Where does your family live?"""
412.541,415.301,And the 60-year-old Pakistani cab-driver goes on to tell me
415.301,417.571,all about his life in Peshawar.
417.571,419.278,"We talked about politics,"
419.278,423.598,"we talked about music, family, wife, his farm."
424.328,429.438,And 20 minutes later he is convinced that I am the perfect bride
429.438,432.402,for his 26-year-old college-educated son from Peshawar.
433.572,435.25,"And as I'm getting out of the taxi,"
435.25,440.326,he is taking out a passport-sized photograph with this look of enthusiasm.
440.326,443.057,"I have to say, it was a very difficult goodbye."
443.057,445.082,"But the moral of the story, really,"
445.082,449.482,"is what starts with a ""Hello"" can end with a marriage proposal."
449.482,452.158,And that is a warning.
454.018,455.038,Step three.
456.458,458.548,"Find the ""me too""s."
459.308,460.912,Have you ever met someone
460.912,464.118,who starts a conversation like they're starting a debate?
464.118,466.238,"""I am from Delhi."" ""I hate Delhi."""
467.86,471.733,Yeah? Nothing kills a conversation like a negative.
471.733,473.696,When you meet someone for the first time
473.696,475.836,make an effort to find the one thing
475.836,479.056,that you and that other person might have in common.
479.056,483.208,"When you start at that point and then move outward from there,"
483.215,487.904,you will find that all of a sudden the conversation becomes a lot easier.
487.904,493.485,And that's because both of you suddenly are on the same side of something.
494.695,497.744,And that's a really powerful feeling.
498.394,503.276,"Now, what could you possibly have in common with a stranger you ask?"
503.276,504.72,"Could be anything, right?"
504.72,507.934,"You're both in the same place at the same time,"
507.934,509.894,"maybe you're from the same country,"
509.894,512.314,maybe you both like the winter
512.314,514.372,or you're longing for it to rain.
514.372,516.612,"I don't know, you'd find something."
517.703,519.323,"When you find a ""me too,"""
519.323,523.75,you automatically have a kind of buy-in from the other person.
523.75,525.8,"Trust me, that's helpful."
527.368,529.828,Pay a unique compliment.
531.82,534.26,"I read somewhere that people will forget what you do,"
534.26,535.86,"and they'll forget what you say,"
535.86,538.557,but they will never forget how you made them feel.
539.517,541.488,So be generous.
541.488,547.023,And go out and give someone a nice full compliment.
548.113,552.404,"So, I have this belief about a ""compliment immunity meter"","
552.404,554.684,and it comes from this experience I had
554.684,557.07,when I met this gorgeous supermodel.
557.07,558.42,"And I look at her and I say,"
558.42,560.27,"""Wow! You are beautiful!"""
561.38,564.09,And there is no reaction on her face.
564.09,567.403,"And I think to myself, ""How?"""
567.403,568.993,"That's when I realized,"
568.993,572.163,"she is immune to the word ""beautiful."""
572.163,574.953,She's probably heard it a hundred thousand times today.
574.953,576.934,"And if she's on social media,"
576.934,579.958,she's heard it a million times today.
580.328,583.488,There are some words that each of us have developed an immunity to.
583.488,587.367,"It could be ""nice,"" it could be ""awesome,"" it could be ""cool"" ..."
587.367,589.542,Stay away from these.
589.542,593.227,"Try and construct a compliment that's unique and genuine,"
593.227,595.677,and you don't have to lie.
595.677,596.876,Really.
596.876,598.847,"When you look at someone and say,"
598.847,600.913,"""I love how when you smile,"
600.913,603.973,"it's like your nose smiles, and then your eyes smile,"
603.973,606.293,"and your ears smile, even your forehead smiles"
606.293,609.193,"and suddenly, the whole person is just smiling."""
609.473,610.473,"You see,"
610.473,613.736,I hope that's a compliment you're not going to forget for a while.
615.346,618.546,Pay a unique and genuine compliment.
620.316,621.977,Ask for an opinion.
623.297,625.757,All of us have opinions; trust me.
625.757,627.611,And we all want them to be heard
627.611,630.311,and everybody wants validation.
631.351,633.252,"So go on and ask for an opinion,"
633.252,637.262,and that's when you open up a two-way street.
637.262,640.062,"That is when the real communication begins,"
640.062,643.382,and you will be surprised how much you can pick up about a person
643.382,647.231,just by asking their opinion on something pretty generic.
648.671,651.661,Here's a mistake that some people make.
651.661,655.111,They ask your opinion about something really difficult.
655.111,657.318,It feels almost intimidating.
657.318,660.749,"Somewhere in a room, full of very well-informed people,"
660.749,663.126,"and someone was to come up to me and say,"
663.126,665.576,"""So what do you think about the way"
665.576,669.935,"the oil prices have affected the real estate market in Dubai?"""
671.835,672.975,I feel a bit cornered.
672.975,675.465,"I feel like I might fail, and this is an examination,"
675.465,676.685,and that's the lesson.
676.685,680.215,Nobody needs to fail at a first-time conversation.
681.285,683.746,Just ask something simple. Keep it generic.
683.746,685.106,How do you like your coffee?
685.106,688.026,When did you watch your last movie? What did you think of it?
688.026,690.646,And when somebody gives you their opinion:
690.646,692.583,really listen.
693.443,696.503,Don't listen to reply. Listen to listen.
696.503,697.763,There's a difference.
698.823,700.902,And that brings me to my next point.
702.062,703.262,Be present.
704.812,706.342,I know you've been through this.
706.342,707.362,I know I have.
707.362,709.522,"You're pouring your heart out to someone,"
709.522,710.622,"and they are like this,"
710.622,712.762,"""Yeah, yeah, go on, keep talking."
713.192,714.842,I can multitask!
715.252,716.812,"What's with Wi-Fi?"""
719.182,721.804,"You know, when someone's trying to communicate with you,"
721.804,724.624,the least you can do is really be in that conversation.
724.624,726.884,"Just be wholeheartedly present,"
726.884,729.164,just be there.
729.884,733.78,And oh! my favorite part: make eye contact.
733.78,738.35,"Trust me, eye contact is where all the magic happens."
738.35,741.24,You can feel the conversation.
741.24,744.03,"And trust me, when you are looking at someone in the eye,"
744.03,748.94,"nine out of ten times, they will not dare look away, right?"
750.38,754.307,"Now, if only I could look into the eyes of 1.6 million people,"
754.307,759.504,I would not have to worry about you guys tuning out during the ad breaks.
761.48,766.85,"That brings me to this, my favorite point because I think it's got a catchy name."
766.85,769.1,"Name, place, animal, thing."
770.179,771.829,You remember that game?
772.709,775.156,Remember the little details about a person.
775.156,777.886,Remember their name. It's so important.
777.886,781.266,"It's awful when you meet someone for 18th time, and you say,"
781.266,786.761,"""You must be Paul, no Peter. Something with the P and it ends with ..."""
788.761,792.231,It's terrible. Remember someone's name and say it back to them.
793.141,796.178,"You have no idea how important you're making them feel,"
796.178,797.757,and that's not the only detail.
797.757,799.737,Remember all the other details as well.
