start_time,end_time,text
8.259,9.529,"Hello, everybody."
10.959,13.758999999999999,I'm going to start with a question.
14.749,19.469000000000005,How many of you know the person sitting next to you from before today?
21.648,22.682,Interesting.
22.682,26.987999999999996,"So, do you remember the first conversation that you ever had with that person?"
28.374,31.251000000000005,You know conversations are links.
32.151,35.551,Let's imagine every conversation to be a tiny metal link.
35.551,39.781,"And every time you talk to a stranger, a metal link is formed."
41.019,46.986000000000004,"And every conversation that you have after that moment, the link gets stronger and stronger."
46.986,57.51100000000001,"And every day each one of us meets so many strangers: the grocery guy, the cab guy maybe the receptionist at a new office you went to."
58.391,61.311,And with every conversation we build new links.
62.361,72.082,"Until finally at the end, we've created a kind of massive World Wide Web of conversation."
72.922,74.348,World Wide Web.
74.348,75.45381395348838,It's a catchy word.
75.45381395348838,77.51800000000001,I think I've heard that somewhere.
79.178,80.18121276595744,"That's it, right?"
80.18121276595744,81.1844255319149,A conversation.
81.1844255319149,82.805,It's a fascinating thing.
82.805,85.565,A conversation is an adventure.
85.565,88.635,A conversation gives you a whole new perspective.
88.635,91.095,A conversation opens a door.
92.225,96.765,Conversations can make war and conversations can make peace.
96.765,101.865,And conversations define who we are as a human race.
103.107,104.60700000000001,Think about this.
104.607,108.207,Every single person in your life was once a stranger to you.
109.277,115.38700000000004,And you knew nothing about them until you had that first conversation.
116.697,123.21800000000002,"So I'm here today to tell you to talk to strangers, to have a conversation."
123.218,125.934,And I'm here to tell you how.
125.934,130.124,Seven ways that you can make a conversation with almost anyone.
132.55,135.19,I'm a radio presenter
135.19,137.38,and I love talking to people.
138.47,138.941,I do.
138.941,140.04,I love it.
140.04,143.10999999999999,And I'm so glad that I do it for a living.
143.11,144.94,Here's what my day is like.
144.94,156.513,"Every single morning, I go into an empty room, I put on a mic, and I have a conversation with 1.6 million people ... that I can't see."
157.943,159.063,Yeah.
159.783,162.143,"You know what the hardest part is, though?"
162.143,163.456,It's time.
163.456,167.27600000000004,"In a four-hour show, I get 20 minutes."
168.546,170.386,That's all the talk there is.
170.386,174.856,And in 20 minutes I have to convince you that I am your best friend.
176.208,178.18800000000002,How do I do that?
178.188,181.097,How do I establish a connection?
181.097,193.77700000000002,"I have 20 minutes to inform you, to excite you, to engage with you but most importantly, 20 out of the 20 times that I switch on that mic, I have to leave a smile on your face."
195.356,202.49100000000004,"Except, I can't see you, I know nothing about you, and I have no way of gauging your reactions."
202.491,203.5260857142857,How do you do it?
203.5260857142857,205.50999999999996,How do you talk to a stranger?
206.49,211.47,"Well, my nine years in radio have taught me these simple little tricks."
214.206,217.789,"Strangers, they are everywhere."
218.849,222.39900000000006,"And we've always been told, ""Don't talk to strangers!"""
222.399,225.15899999999996,But I beg to differ.
225.159,237.532,"Every stranger comes with an opportunity, an opportunity to learn something new, an opportunity to have an experience you've never had or hear a story that you've never heard before."
239.062,241.85499999999993,"And you've had that moment, right?"
241.855,250.385,"You're in the room with someone you don't know, and you look across the room, you see a stranger, and you think, ""I want to talk to this person."""
250.385,262.089,"And you can almost hear the first word but it just won't come out, it kind of gets stuck about here, it kind of goes up and down and you don't know - You know what?"
262.089,264.629,Here's my advice: just say it.
265.649,267.24499999999995,What's the worst that can happen?
267.245,268.5690625,They want to talk to you.
268.5690625,270.59000000000003,"Well, they're not talking to you now."
271.83,273.75,The first word floodgates.
273.75,276.57000000000005,I truly believe that the first word acts as a floodgate.
276.57,281.171,"You know, once you said the first word everything else just flows."
281.171,282.41599999999994,So keep it simple.
282.416,285.77599999999995,"A ""Hi,"" a ""Hey,"" a ""Hello."""
287.086,289.28599999999994,And do what every good bowler does.
289.286,297.2110000000001,"Just gather the enthusiasm, the positivity, the energy, put on a big smile and say, ""Hi!"""
299.095,299.4710869565218,I know.
299.4710869565218,302.555,There's going to be that strange moment right now.
302.555,306.06500000000005,"Turn to someone sitting next to you, stick your hand out and say hello."
306.065,307.115,Go on.
311.13,313.59999999999997,I love the awkward laughter.
