start_time,end_time,words
5,10,"Hello , everybody ."
10,15,I 'm going to start with a question .
15,20,How many of you know the person sitting next to you from before today ?
20,25,"Interesting . So , do you remember the first"
25,30,conversation that you ever had with that person ? You know
30,35,conversations are links . Let 's imagine every conversation to be a tiny
35,40,"metal link . And every time you talk to a stranger , a metal link is formed ."
40,45,"And every conversation that you have after that moment , the link gets"
45,50,stronger and stronger . And every day each one of us
50,55,"meets so many strangers : the grocery guy , the cab guy maybe"
55,60,the receptionist at a new office you went to . And with every
60,65,"conversation we build new links . Until finally at the end ,"
65,70,we 've created a kind of massive World Wide
70,75,Web of conversation . World Wide Web . It 's a
75,80,"catchy word . I think I 've heard that somewhere . That 's it ,"
80,85,right ? A conversation . It 's a fascinating thing . A conversation is an
85,90,adventure . A conversation gives you a whole new perspective . A
90,95,conversation opens a door . Conversations can make war and
95,100,conversations can make peace . And conversations define who
100,105,we are as a human race . Think about this . Every
105,110,single person in your life was once a stranger to you . And you
110,115,knew nothing about them until you had that first conversation .
115,120,So I 'm here today to tell you to talk to
120,125,"strangers , to have a conversation . And I 'm here to"
125,130,tell you how . Seven ways that you can make a conversation with almost
130,135,anyone . I 'm a radio
135,140,presenter and I love talking to people . I do . I love
140,145,it . And I 'm so glad that I do it for a living . Here 's what my day is like .
145,150,"Every single morning , I go into an empty room , I put on a mic , and I"
150,155,have a conversation with 1.6 million people ...
155,160,that I ca n't see . Yeah . You
160,165,"know what the hardest part is , though ? It 's time . In a four - hour"
165,170,"show , I get 20 minutes . That 's all the talk"
170,175,there is . And in 20 minutes I have to convince you that I am your best friend .
175,180,How do I do that ? How do I establish a
180,185,"connection ? I have 20 minutes to inform you , to excite you , to"
185,190,"engage with you but most importantly , 20 out of the 20 times that I"
190,195,"switch on that mic , I have to leave a smile on your face ."
195,200,"Except , I ca n't see you , I know nothing about you , and I have no"
200,205,way of gauging your reactions . How do you do it ? How do you talk to a
205,210,"stranger ? Well , my nine years in radio have taught me these"
210,215,simple little tricks .
215,220,"Strangers , they are everywhere . And we 've"
220,225,"always been told , "" Do n't talk to strangers ! "" But I beg to"
225,230,"differ . Every stranger comes with an opportunity , an"
230,235,"opportunity to learn something new , an opportunity to have an experience you 've never had or"
235,240,hear a story that you 've never heard before . And you 've
240,245,"had that moment , right ? You 're in the room with someone you do n't know , and you"
245,250,"look across the room , you see a stranger , and you think , "" I want to talk to this"
250,255,"person . "" And you can almost hear the first word but it just wo n't come out , it kind of"
255,260,"gets stuck about here , it kind of goes up and down and you do"
260,265,n't know - You know what ? Here 's my advice : just say it .
265,270,"What 's the worst that can happen ? They want to talk to you . Well , they 're not"
270,275,talking to you now . The first word floodgates . I truly believe that
275,280,"the first word acts as a floodgate . You know , once you said the first word"
280,285,"everything else just flows . So keep it simple . A "" Hi , "" a "" Hey , "" a """
285,290,"Hello . "" And do what every good bowler does . Just"
290,295,"gather the enthusiasm , the positivity , the energy , put on a"
295,300,"big smile and say , "" Hi ! "" I know . There 's"
300,305,"going to be that strange moment right now . Turn to someone sitting next to you , stick your"
305,310,hand out and say hello . Go on .
310,315,"I love the awkward laughter . "" Why is she"
315,320,"making us do this ? "" The first word floodgates ."
320,325,"You know , here 's a challenge we face every day ."
325,330,"Time . We have 90 seconds on radio , and we have to make that conversation"
330,335,with a stranger memorable . So how do you do it ? What 's the
335,340,"biggest challenge ? Honestly , if we get stuck in"
340,345,"the rut of : "" Hi ! "" "" Hey ! "" "" How are you ? "" "" I 'm fine . "" "" What"
345,350,"'s going on ? "" "" Nothing much . "" "" Same old . "" "" So tell me what 's new ? "" There"
350,355,"you go , 45 seconds down , wasted . Right ? So , here 's my"
355,360,advice : skip the small talk and ask a really personal question . And do n't be
360,365,afraid . Trust me . You will be surprised how much people are
365,370,willing to share if you just ask . So ask any kind of personal
370,375,question . Interesting name . How did your parents think of it ? Is there
375,380,a story behind it ? Or ... How long have you lived in this city ? And do you remember
380,385,the first day you landed here ? Answers to those questions are always
385,390,"something unique , always something personal . My"
390,395,favorite one to try is : Where do you come from ? And where does your family live ?
395,400,"Unfailingly , every single time I sit in a cab , I do this . I ask that question ."
400,405,Where do you come from ? And where does your family live ? Let me tell you a little story . I was
405,410,"coming home one night ... I get into this taxi , open the door , sit down and I"
