start_time,stop_time,avg_intensity
0,20,43.922222222222224
20,40,34.449999999999996
40,60,9.928571428571429
60,80,10.0
80,100,10.0
100,120,10.0
120,140,10.0
140,160,10.0
160,180,10.0
180,200,9.9
200,220,16.55
220,240,30.214285714285715
240,260,33.05714285714286
260,280,36.56666666666667
280,300,34.285714285714285
300,320,51.18333333333334
320,340,50.43333333333334
340,360,58.285714285714285
360,380,72.1
380,400,68.36666666666666
400,420,65.34285714285714
420,440,80.56666666666666
440,460,76.39999999999999
460,480,73.56666666666666
480,500,57.6
500,520,51.65
520,540,80.3
540,560,59.85
560,580,53.01428571428572
580,600,59.57142857142857
600,620,69.76666666666667
620,640,51.53333333333333
640,660,51.75714285714286
660,680,51.36666666666667
680,700,51.34285714285714
700,720,44.385714285714286
720,740,43.1
740,760,63.53333333333333
760,780,49.642857142857146
780,800,41.050000000000004
800,820,79.75714285714285
820,840,46.0
840,860,33.93333333333334
860,880,36.733333333333334
880,900,34.17142857142857
900,920,33.371428571428574
920,940,20.16
