timestamp_sec,intensity
0.000,0.000
1.877,20.000
3.755,95.000
9.387,100.000
15.019,95.000
20.651,40.600
28.160,25.000
35.670,9.400
39.424,24.400
46.934,21.900
54.443,19.400
58.198,14.900
65.707,12.600
73.216,10.200
76.971,7.400
84.480,10.000
91.990,12.600
95.745,17.300
103.254,25.400
110.763,33.500
114.518,46.900
122.027,50.500
129.537,54.100
133.291,51.300
140.801,43.200
148.310,35.100
152.065,15.400
159.574,10.000
167.084,4.600
170.838,16.000
178.348,16.000
185.857,16.000
189.612,10.900
197.121,10.000
204.630,9.100
208.385,9.700
215.895,11.400
223.404,13.100
227.159,18.700
234.668,18.400
242.177,18.200
245.932,11.700
253.441,10.000
260.951,8.300
264.705,10.000
272.215,10.000
279.724,10.000
283.479,10.000
290.988,10.000
298.498,10.000
302.252,9.700
309.762,10.200
317.271,10.800
321.026,8.700
328.535,12.800
336.045,16.900
339.799,31.300
347.309,30.700
354.818,30.100
358.573,14.100
366.082,10.000
373.591,5.900
377.346,10.000
384.855,10.000
392.365,10.000
396.120,10.000
403.629,10.000
411.138,10.000
414.893,10.000
422.402,10.000
429.912,10.000
433.666,10.000
441.176,10.000
448.685,10.000
452.440,9.900
459.949,10.000
467.459,10.100
471.213,10.600
478.723,10.700
486.232,10.800
489.987,-3.700
497.496,10.500
505.005,24.700
508.760,72.800
516.270,81.800
523.779,90.700
527.534,69.500
535.043,55.100
542.552,40.800
546.307,18.800
553.816,10.000
561.326,1.200
565.080,4.900
572.590,10.900
580.099,16.800
583.854,34.400
591.363,39.600
598.873,44.800
602.627,35.100
610.137,36.600
617.646,38.200
621.401,51.700
628.910,47.100
636.419,42.500
640.174,7.700
647.684,13.600
655.193,19.500
658.948,77.300
666.457,76.500
673.966,75.800
677.721,23.300
685.230,10.000
692.740,-3.300
696.494,10.000
704.004,10.000
711.513,10.000
715.268,8.000
722.777,10.000
730.287,12.100
734.041,11.000
741.551,20.200
749.060,29.300
752.815,49.400
760.324,55.800
767.834,62.200
771.588,61.100
779.098,52.000
786.607,42.800
790.362,18.400
797.871,10.100
805.380,1.700
809.135,9.100
816.644,10.000
824.154,10.900
827.909,14.400
835.418,14.500
842.927,14.600
846.682,11.300
854.191,10.500
861.701,9.600
865.455,10.100
872.965,10.000
880.474,9.900
884.229,7.900
891.738,10.000
899.248,12.100
903.002,10.700
910.512,20.300
918.021,30.000
921.776,47.900
929.285,58.400
936.794,68.800
940.549,79.800
948.059,72.500
955.568,65.300
959.323,32.000
966.832,22.200
974.341,12.400
978.096,24.800
985.605,23.700
993.115,22.600
996.869,19.500
1004.379,16.800
1011.888,14.100
1015.643,11.400
1023.152,10.000
1030.662,8.600
1034.416,8.800
1041.926,10.000
1049.435,11.200
1053.190,15.400
1060.699,15.900
1068.209,16.400
1071.963,4.400
1079.473,12.500
1086.982,20.600
1090.737,57.000
1098.246,56.500
1105.755,56.000
1109.510,18.700
1117.019,10.000
1124.529,1.300
1128.284,4.500
1135.793,12.800
1143.302,21.100
1147.057,41.800
1154.566,51.700
1162.076,61.500
1165.830,56.600
1173.340,62.100
1180.849,67.500
1184.604,84.500
1192.113,79.000
1199.623,73.500
1203.377,34.600
1210.887,34.600
1218.396,34.500
1222.151,82.300
1229.660,78.800
1237.169,75.300
1240.924,28.900
1248.434,17.200
1255.943,5.600
1259.698,21.900
1267.207,20.700
1274.716,19.400
1278.471,11.400
1285.980,11.000
1293.490,10.600
1297.244,17.800
1304.754,18.600
1312.263,19.400
1316.018,16.400
1323.527,15.000
1331.037,13.600
1334.791,12.800
1342.301,11.800
1349.810,10.800
1353.565,10.400
1361.074,10.000
1368.584,9.600
1372.338,10.000
1379.848,10.000
1387.357,10.000
1391.112,5.500
1398.621,10.000
1406.130,14.500
1409.885,25.000
1417.394,32.400
1424.904,39.800
1428.659,51.200
1436.168,46.900
1443.677,42.500
1447.432,18.000
1454.941,10.700
1462.451,3.300
1466.205,10.000
1473.715,10.000
1481.224,10.000
1484.979,10.400
1492.488,10.400
1499.998,10.400
1503.752,1.900
1511.262,10.000
1518.771,18.100
1522.526,49.700
1530.035,51.100
1537.544,52.400
1541.299,24.200
1548.809,16.800
1556.318,9.300
1560.073,7.700
1567.582,13.700
1575.091,19.700
1578.846,38.100
1586.355,46.800
1593.865,55.400
1597.619,59.900
1605.129,57.000
1612.638,54.100
1616.393,41.700
1623.902,32.300
1631.412,22.900
1635.166,13.600
1642.676,10.000
1650.185,6.400
1653.940,13.500
1661.449,14.500
1668.959,15.500
1672.713,16.000
1680.223,15.100
1687.732,14.200
1691.487,7.100
1698.996,10.000
1706.505,12.900
1710.260,26.900
1717.769,29.700
1725.279,32.500
1729.034,25.500
1736.543,23.900
1744.052,22.200
1747.807,23.900
1755.316,21.400
1762.826,18.900
1766.580,13.600
1774.090,11.300
1781.599,9.000
1785.354,9.400
1792.863,10.000
1800.373,10.600
1804.127,14.500
1811.637,14.500
1819.146,14.500
1822.901,9.800
1830.410,10.100
1837.919,10.500
1841.674,15.700
1849.184,16.200
1856.693,16.800
1862.325,13.500
1867.957,12.800
1873.589,12.100
1875.466,15.300
1877.344,12.800
1879.221,10.200
1877.344,2.600
1877.344,0.000
