start_time,end_time,text
0.24,3.75,This is the largest indoor water park in
3.76,5.59,California. Imagine how cool it would be
5.6,7.349,to have a water park all to yourself all
7.359,9.669,"night. So, today my daughter Salish and"
9.679,11.99,her best friend Nadal get to stay here
12.0,14.07,all night. They're about to dive into a
14.08,16.95,series of wild splash fil water park
16.96,19.99,challenges like never before. And the
20.0,22.47,winner gets a five-star cabana with
22.48,24.71,everything you can imagine inside. And
24.72,27.109,"the loser, well, has to spend the night"
27.119,29.429,right here under the waterfall. First
29.439,31.189,"challenge, Mountain Ridge Raceway."
31.199,33.11,Whoever gets down first and holds the
33.12,35.59,most red ball pit balls in their arms
35.6,38.95,wins. Are you ready? Yeah.
38.96,41.19,I'm obviously going to win because like
41.2,42.709,look at Needle. Do you think he's
42.719,44.79,coordinated? No. I think I got this
44.8,46.31,pretty easily cuz I'm heavier. He's like
46.32,47.51,a feather. She's going to go down so
47.52,49.75,"slow. Oh, that's sweet. Thank you. Are"
49.76,57.67,you ready? Yeah. Here we go. 3 2 1
57.68,59.75,Jess went way ahead of me. I'm not going
59.76,63.349,to win. Here they come.
63.359,65.59,Oh my gosh. She's hiding down. The doll
65.6,69.99,"is way ahead. No. No. Hurry, Sish."
70.0,72.469,Hurry. Whoever gets more red balls in
72.479,74.71,their arms in 30 seconds wins. The
74.72,77.07,doll's trying to chin me.
77.08,79.67,Uh-oh. That's I don't know. I guess all
79.68,82.469,is fair today. You guys have 10 seconds.
82.479,87.19,"9 8 7 6 Pick up some more. Say, ""Hurry"
87.2,88.39,"up, Nadal. You don't have much time"
88.4,92.789,"left."" 3 2 1. Stop. Stop. Stop. Ready."
92.799,94.469,Hold on. Wait. Wait. Whose was that?
94.479,95.83,"Mine. Oh, well that doesn't count"
95.84,98.55,"anymore. Nadal, dump yours in there."
98.56,101.19,"Sish, dump it in there. No. Nadal, you"
101.2,103.27,dropped it.
103.28,107.27,"Oh, I won. Let's count. 1 2 3 4 5 6 7 8"
107.28,110.55,9 1 2 3 4 5 6 9 10. She got way more. My
110.56,113.19,logo. Round one goes to sandwich water.
113.2,114.87,"I lost round number one, but I'm not"
114.88,115.91,sleeping under that mattress in the
115.92,117.19,"water. Yeah, you are. You're a loser."
117.2,124.55,"Well, she's not very supportive."
124.56,126.149,What kind of kid did I raise? Fight
126.159,130.15,back. Get him.
130.16,132.39,Nadal is down one- nothing. Moving on to
