start_time,stop_time,avg_intensity
0,5,38.333333333333336
5,10,100.0
10,15,97.5
15,20,95.0
20,25,40.6
25,30,25.0
30,35,20.95
35,40,16.9
40,45,19.4
45,50,21.9
50,55,19.4
55,60,14.9
60,65,13.75
65,70,12.6
70,75,10.2
75,80,7.4
80,85,10.0
85,90,11.3
90,95,12.6
95,100,17.3
100,105,25.4
105,110,32.8
110,115,40.2
115,120,45.35
120,125,50.5
125,130,54.1
130,135,51.3
135,140,47.25
140,145,43.2
145,150,35.1
150,155,15.4
155,160,10.0
160,165,7.3
165,170,4.6
170,175,16.0
175,180,16.0
180,185,14.725
185,190,13.45
190,195,11.725
195,200,10.0
200,205,9.1
205,210,9.7
210,215,10.55
215,220,11.4
220,225,13.1
225,230,18.7
230,235,18.4
235,240,18.299999999999997
240,245,18.2
245,250,11.7
250,255,10.0
255,260,9.575
260,265,9.15
265,270,9.575
270,275,10.0
275,280,10.0
280,285,10.0
285,290,10.0
290,295,10.0
295,300,10.0
300,305,9.7
305,310,10.2
310,315,10.5
315,320,10.8
320,325,8.7
325,330,12.8
330,335,18.450000000000003
335,340,24.1
340,345,27.4
345,350,30.7
350,355,30.1
355,360,14.1
360,365,12.05
365,370,10.0
370,375,5.9
375,380,10.0
380,385,10.0
385,390,10.0
390,395,10.0
395,400,10.0
400,405,10.0
405,410,10.0
410,415,10.0
415,420,10.0
420,425,10.0
425,430,10.0
430,435,10.0
435,440,10.0
440,445,10.0
445,450,10.0
450,455,9.9
455,460,10.0
460,465,10.05
465,470,10.1
470,475,10.6
475,480,10.7
480,485,7.125
485,490,3.5500000000000003
490,495,7.025
495,500,10.5
500,505,29.625
505,510,48.75
510,515,65.275
515,520,81.8
520,525,90.7
525,530,69.5
530,535,62.3
535,540,55.1
540,545,40.8
545,550,18.8
550,555,10.0
555,560,5.6
560,565,1.2
565,570,4.9
570,575,10.9
575,580,18.25
580,585,25.6
585,590,32.6
590,595,39.6
595,600,44.8
600,605,35.1
605,610,35.85
610,615,36.6
615,620,38.2
620,625,51.7
625,630,47.1
630,635,44.8
635,640,42.5
640,645,7.7
645,650,13.6
650,655,31.0
655,660,48.4
660,665,62.45
665,670,76.5
670,675,75.8
675,680,23.3
680,685,16.65
685,690,10.0
690,695,-3.3
695,700,10.0
700,705,10.0
705,710,10.0
710,715,10.0
715,720,8.0
720,725,10.0
725,730,10.775
730,735,11.55
735,740,15.875
740,745,20.2
745,750,29.3
750,755,49.4
755,760,52.599999999999994
760,765,55.8
765,770,62.2
770,775,61.1
775,780,52.0
780,785,47.4
785,790,42.8
790,795,18.4
795,800,10.1
800,805,7.75
805,810,5.3999999999999995
810,815,7.699999999999999
