timestamp_sec,intensity
0.000,0.000
0.929,2.400
1.859,9.700
4.647,11.900
7.436,14.100
10.224,0.400
13.942,11.000
17.660,21.500
19.519,51.600
23.237,64.700
26.955,77.700
28.814,77.900
32.532,76.200
36.250,74.500
38.109,61.500
41.827,56.200
45.545,51.000
47.404,52.700
51.122,49.900
54.840,47.100
56.699,46.900
60.417,42.300
64.135,37.600
65.994,30.000
69.712,26.600
73.430,23.200
75.289,25.400
79.007,25.200
82.725,25.000
84.584,26.700
88.302,25.600
92.020,24.600
93.879,21.300
97.597,19.700
101.315,18.200
103.174,18.200
106.892,18.000
110.609,17.700
112.468,19.000
116.186,18.400
119.904,17.800
121.763,15.600
125.481,15.100
129.199,14.600
131.058,12.500
134.776,16.000
138.494,19.400
140.353,26.300
144.071,32.300
147.789,38.300
149.648,45.300
153.366,46.100
157.084,46.800
158.943,39.500
162.661,36.100
166.379,32.600
168.238,30.600
171.956,29.000
175.674,27.300
177.533,27.100
181.251,27.800
184.969,28.400
186.828,33.000
190.546,32.100
194.264,31.300
196.123,27.800
199.841,23.400
203.559,19.000
205.418,12.700
209.136,10.000
212.854,7.300
214.713,10.000
218.431,10.000
222.148,10.000
224.007,10.000
227.725,10.000
231.443,10.000
233.302,9.100
237.020,10.000
240.738,10.900
242.597,13.900
246.315,14.600
250.033,15.400
251.892,12.600
255.610,13.800
259.328,15.000
261.187,19.700
264.905,20.500
268.623,21.200
270.482,19.700
274.200,17.700
277.918,15.600
279.777,11.500
283.495,10.000
287.213,8.500
289.072,10.000
292.790,10.000
296.508,10.000
298.367,10.000
302.085,10.000
305.803,10.000
307.662,10.000
311.380,10.000
315.098,10.000
316.957,9.500
320.675,10.000
324.393,10.500
326.252,12.500
329.969,12.500
333.687,12.500
335.546,10.500
339.264,10.000
342.982,9.500
344.841,9.900
348.559,10.000
352.277,10.100
354.136,8.200
357.854,10.500
361.572,12.700
363.431,19.200
367.149,21.100
370.867,23.100
372.726,22.200
376.444,20.000
380.162,17.800
382.021,10.700
385.739,10.000
389.457,9.300
391.316,15.400
395.034,16.300
398.752,17.300
400.611,14.700
404.329,14.900
408.047,15.000
409.906,16.500
413.624,16.900
417.342,17.300
419.201,18.200
422.919,16.800
426.637,15.400
428.496,11.400
432.214,10.000
435.932,8.600
437.791,10.000
441.508,10.000
445.226,10.000
447.085,8.600
450.803,10.000
454.521,11.400
456.380,13.800
460.098,16.800
463.816,19.700
465.675,24.200
469.393,24.800
473.111,25.500
474.970,22.600
478.688,20.000
482.406,17.400
484.265,13.000
487.983,11.800
491.701,10.500
493.560,14.200
497.278,13.800
500.996,13.500
502.855,8.800
506.573,10.000
510.291,11.200
512.150,16.400
515.868,19.800
519.586,23.100
521.445,25.900
525.163,26.700
528.881,27.500
530.740,24.700
534.458,23.700
538.176,22.600
540.035,23.000
543.753,21.400
547.470,19.800
549.329,18.000
553.047,15.700
556.765,13.400
558.624,11.100
562.342,10.000
566.060,8.900
567.919,9.300
571.637,10.000
575.355,10.700
577.214,10.200
580.932,13.600
584.650,17.100
586.509,20.900
590.227,27.200
593.945,33.400
595.804,46.900
599.522,45.000
603.240,43.100
605.099,23.700
608.817,17.600
612.535,11.600
614.394,15.500
618.112,14.800
621.830,14.000
623.689,14.100
627.407,13.900
631.125,13.700
632.984,13.200
636.702,13.800
640.420,14.400
642.279,16.300
645.997,17.000
649.715,17.800
651.574,17.400
655.292,17.600
659.009,17.700
660.868,18.700
664.586,17.700
668.304,16.600
670.163,12.900
673.881,12.300
677.599,11.700
679.458,9.300
683.176,14.600
686.894,20.000
688.753,22.000
692.471,39.000
696.189,56.100
698.048,90.200
701.766,100.000
705.484,109.800
707.343,102.300
711.061,88.100
714.779,73.900
716.638,42.000
720.356,29.000
724.074,15.900
725.933,23.900
729.651,22.700
733.369,21.400
735.228,25.200
738.946,22.600
742.664,20.100
744.523,12.500
748.241,10.000
751.959,7.500
753.818,6.800
757.536,10.000
761.254,13.200
763.113,26.000
766.830,26.000
770.548,26.000
772.407,12.600
776.125,10.000
779.843,7.400
781.702,11.300
785.420,13.100
789.138,14.800
790.997,15.600
794.715,18.900
798.433,22.100
800.292,25.300
804.010,29.400
807.728,33.500
809.587,36.100
813.305,39.400
817.023,42.700
818.882,45.100
822.600,45.700
826.318,46.300
828.177,41.700
831.895,42.400
835.613,43.100
837.472,47.200
841.190,49.400
844.908,51.600
846.767,55.900
850.485,53.500
854.203,51.100
856.062,42.700
859.780,37.400
863.498,32.100
865.357,30.900
869.075,27.100
872.793,23.400
874.652,20.400
878.369,18.600
882.087,16.800
883.946,17.300
887.664,18.000
891.382,18.600
893.241,23.400
896.959,22.000
900.677,20.700
902.536,13.000
906.254,11.000
909.972,9.000
911.831,12.300
915.549,12.100
919.267,11.900
922.056,10.400
924.844,10.000
927.633,9.600
928.562,12.000
929.492,10.000
930.421,8.000
929.492,2.000
929.492,0.000
