start_time,stop_time,avg_intensity
0,5,6.0
5,10,14.1
10,15,5.7
15,20,36.55
20,25,64.7
25,30,77.80000000000001
30,35,76.2
35,40,68.0
40,45,56.2
45,50,51.85
50,55,48.5
55,60,46.9
60,65,39.95
65,70,28.3
70,75,23.2
75,80,25.299999999999997
80,85,25.85
85,90,25.6
90,95,22.950000000000003
95,100,19.7
100,105,18.2
105,110,18.0
110,115,18.35
115,120,18.1
120,125,15.6
125,130,14.85
130,135,14.25
135,140,19.4
140,145,29.299999999999997
145,150,41.8
150,155,46.1
155,160,43.15
160,165,36.1
165,170,31.6
170,175,29.0
175,180,27.200000000000003
180,185,28.1
185,190,33.0
190,195,31.700000000000003
195,200,25.6
200,205,19.0
205,210,11.35
210,215,8.65
215,220,10.0
220,225,10.0
225,230,10.0
230,235,9.55
235,240,10.0
240,245,12.4
245,250,14.6
250,255,14.0
255,260,14.4
260,265,20.1
265,270,21.2
270,275,18.7
275,280,13.55
280,285,10.0
285,290,9.25
290,295,10.0
295,300,10.0
300,305,10.0
305,310,10.0
310,315,10.0
315,320,9.75
320,325,10.25
325,330,12.5
330,335,12.5
335,340,10.25
340,345,9.7
345,350,10.0
350,355,9.149999999999999
355,360,10.5
360,365,15.95
365,370,21.1
370,375,22.65
375,380,20.0
380,385,14.25
385,390,9.65
390,395,15.4
395,400,16.8
400,405,14.8
405,410,15.75
410,415,16.9
415,420,17.75
420,425,16.8
425,430,13.4
430,435,10.0
435,440,9.3
440,445,10.0
445,450,9.3
450,455,10.7
455,460,13.8
460,465,18.25
465,470,24.5
470,475,24.05
475,480,20.0
480,485,15.2
485,490,11.8
490,495,12.35
495,500,13.8
500,505,11.15
505,510,10.0
510,515,13.799999999999999
515,520,21.450000000000003
520,525,25.9
525,530,27.1
530,535,24.2
535,540,22.6
540,545,22.2
545,550,18.9
550,555,15.7
555,560,12.25
560,565,10.0
565,570,9.100000000000001
570,575,10.0
575,580,10.45
580,585,15.350000000000001
585,590,20.9
590,595,30.299999999999997
595,600,45.95
600,605,43.1
605,610,20.65
610,615,13.55
615,620,14.8
620,625,14.05
625,630,13.9
630,635,13.45
635,640,13.8
640,645,15.350000000000001
645,650,17.4
650,655,17.4
655,660,17.65
660,665,18.2
665,670,16.6
670,675,12.600000000000001
675,680,10.5
680,685,14.6
685,690,21.0
690,695,39.0
695,700,73.15
700,705,100.0
705,710,106.05
710,715,81.0
715,720,42.0
720,725,22.45
725,730,23.299999999999997
730,735,21.4
735,740,23.9
740,745,16.3
745,750,10.0
750,755,7.15
755,760,10.0
760,765,19.6
765,770,26.0
770,775,19.3
775,780,8.7
780,785,11.3
785,790,13.95
790,795,17.25
795,800,22.1
800,805,27.35
805,810,34.8
810,815,39.4
815,820,43.900000000000006
820,825,45.7
825,830,44.0
830,835,42.4
835,840,45.150000000000006
840,845,50.5
845,850,55.9
850,855,52.3
855,860,40.05
860,865,32.1
865,870,29.0
870,875,21.9
875,880,18.6
880,885,17.05
885,890,18.0
890,895,21.0
895,900,22.0
900,905,16.85
905,910,10.0
910,915,12.3
915,920,12.0
920,925,10.2
925,930,6.720000000000001
930,935,8.0
