start_time,end_time,words
20,25,"For the past 20 years , I 've been"
25,30,helping Malaysian and other Southeast Asians to speak better
30,35,"English . And through training thousands of Southeast Asians ,"
35,40,I 've discovered a very surprising truth . I 've discovered that how
40,45,well somebody communicates in English actually has very little to do
45,50,with their English level . It has a lot to do with their attitude
50,55,towards English . There are people out there who have a
55,60,"very low level of English , and they can communicate very , very well . One of them that I"
60,65,"remember was a student , a participant of mine named Faizal . He was a factory"
65,70,"supervisor - English level very , very low - but this guy could just sit and"
70,75,"listen to anybody , very calmly , clearly , and then he could respond ,"
75,80,"absolutely express his thoughts beautifully , at a very low"
80,85,"level of English . So , today I want to share with you what is so"
85,90,different about people like Faizal ? How do they do it ? And
90,95,"second of all , why is this so important not only to you , but to your children , to your"
95,100,"community , and to the future of Malaysia ? And third of all , what 's one thing you"
100,105,"can do , starting today , if you want to speak with that calm , clear"
105,110,"confidence that people like Faizal have . First of all , what is so"
110,115,"different ? How do people like Faizal do it ? To answer that question , I 'm"
115,120,"going to take you back about 10 years , okay ? I was training staff at that time , and my"
120,125,"daughter , at that time , was taking piano lessons . And I started"
125,130,to notice two really strong similarities between my
130,135,daughter 's attitude or thinking towards playing the piano and a
135,140,lot of Malaysians ' thinking or attitude towards English .
140,145,"First of all , I should tell you my daughter absolutely hated piano ,"
145,150,"hated the lessons , hated practicing . This is my daughter practicing piano ,"
150,155,okay ? This is as good as it got . This is the real thing .
155,160,"And she dreaded going to piano lessons because to my daughter ,"
160,165,"going to piano lessons , she was filled with this sort of dread . Because"
165,170,"it was all about not screwing up , right ? Because like a"
170,175,"lot of piano students , to both my daughter and her teacher , her success"
175,180,in piano was measured by how few mistakes she made . At
180,185,"the same time , I noticed that a lot of Malaysians went into English conversations with the"
185,190,same sort of feeling of dread . This sort of feeling that they were going to be
190,195,"judged by how many mistakes they were going to make , and whether or not they were going"
195,200,"to screw up . Now , the second similarity that I noticed was to"
200,205,"do with self- image . My daughter , she knew what good piano sounded like , right ? Because"
205,210,"we 've all heard good piano . And she knew what her level was , and she"
210,215,knew how long she 'd have to play for to play like that . And
215,220,"a lot of Malaysians , I noticed , had this idea of what good proper"
220,225,"English is supposed to sound like , and what their I see a lot of you nod -"
225,230,"and what their English sounded like , and how far they would have to go to get there ."
230,235,And they also felt like they were like my daughter just
235,240,"bad , bad piano player , bad English speaker , right ? My English not"
240,245,"so good , lah . Can not . Sorry , yah . Can not . Ah - So I could see these"
245,250,"similarities , but I still could n't figure out , okay , what is it about these people like Faizal ,"
250,255,"that are so different , that can just do it smoothly , calmly , with"
255,260,"confidence ? One day , I discovered that answer , and I discovered it"
260,265,"quite by chance . It was a day when my computer broke down , and I had to go to a"
265,270,"cybercafe . Okay , it was my first time , and I discovered cybercafes are disgusting"
270,275,"places , okay ? They 're really gross . They 're smelly , and they 're filled with"
275,280,"boys . And they 're all playing noisy , violent games . They 're just"
280,285,"disgusting places . But I had to go there . So I sat down , and I started"
285,290,noticing this guy beside me . And I became very interested in this guy next to me .
290,295,"Now , this guy is playing this game that is basically , it 's like"
295,300,shooting people until they die . And that 's it . That
300,305,"'s the game , right ? And I 'm noticing that this guy is not very good ."
305,310,"In fact , he 's terrible , right ? Because I 'm looking , and I 'm seeing , like , a lot of"
310,315,"shooting and ... not much dying , right ?"
315,320,What really interested me was behind this lousy player were
320,325,"three of his friends , sort of standing there watching him play . What I"
325,330,"really noticed was even though this guy was terrible , even though his friends were"
330,335,"watching him , there was no embarrassment . There was no feeling of being judged . There was no"
335,340,"shyness . In fact , quite the opposite . This guy 's totally focused on"
340,345,"the bad guys , smile on his face . All he can think"
345,350,"about is killing these guys , right ? And I 'm watching him . And I"
350,355,suddenly realize : this is it . This is the same
355,360,"attitude that people like Faizal have when they speak English ,"
360,365,"just like this guy . When Faizal goes into an English conversation ,"
365,370,he does n't feel judged . He is entirely focused on the person that he 's
370,375,speaking to and the result he wants to get . He 's got no self -
375,380,"awareness , no thoughts about his own mistakes . I want to"
380,385,"share with you a real , true example , to paint a picture , of somebody who speaks"
