timestamp_sec,intensity
0.000,0.000
0.615,20.000
1.230,91.700
3.076,100.000
4.921,108.300
6.767,56.200
9.228,41.300
11.689,26.400
12.919,28.100
15.380,25.600
17.840,23.200
19.071,28.300
21.532,28.800
23.992,29.400
25.223,28.300
27.683,28.400
30.144,28.500
31.374,29.500
33.835,29.400
36.296,29.300
37.526,29.900
39.987,27.700
42.448,25.600
43.678,21.500
46.139,18.500
48.600,15.500
49.830,13.900
52.291,12.900
54.752,11.900
55.982,13.200
58.443,13.500
60.903,13.800
62.134,14.100
64.595,14.300
67.055,14.400
68.286,14.400
70.746,14.300
73.207,14.200
74.437,14.200
76.898,13.800
79.359,13.400
80.589,12.900
83.050,12.200
85.511,11.400
86.741,10.400
89.202,10.000
91.663,9.600
92.893,9.100
95.354,10.000
97.815,10.900
99.045,14.500
101.506,14.500
103.966,14.500
105.197,10.500
107.658,10.000
110.118,9.500
111.349,7.700
113.809,12.200
116.270,16.600
117.500,31.200
119.961,32.400
122.422,33.700
123.652,19.600
126.113,18.300
128.574,17.000
129.804,21.700
132.265,26.000
134.726,30.400
135.956,39.200
138.417,40.100
140.878,41.000
142.108,33.100
144.569,30.500
147.029,28.000
148.260,22.800
150.721,27.200
153.181,31.700
154.412,47.700
156.872,52.900
159.333,58.100
160.563,56.900
163.024,53.100
165.485,49.400
166.715,42.700
169.176,34.100
171.637,25.500
172.867,13.300
175.328,10.000
177.789,6.700
179.019,12.300
181.480,17.400
183.941,22.400
185.171,34.000
187.632,35.200
190.092,36.400
191.323,28.200
193.784,23.300
196.244,18.300
197.475,13.000
199.935,10.300
202.396,7.700
203.627,9.600
206.087,10.000
208.548,10.400
209.778,11.200
212.239,12.200
214.700,13.200
215.930,14.100
218.391,14.900
220.852,15.700
222.082,15.100
224.543,16.300
227.004,17.400
228.234,19.300
230.695,20.700
233.155,22.000
234.386,21.900
236.847,23.100
239.307,24.300
240.538,28.400
242.998,26.800
245.459,25.200
246.690,18.400
249.150,15.300
251.611,12.100
252.841,9.100
255.302,11.100
257.763,13.000
258.993,17.200
261.454,24.900
263.915,32.500
265.145,43.200
267.606,49.400
270.067,55.500
271.297,58.900
273.758,55.700
276.218,52.600
277.449,38.800
279.910,33.700
282.370,28.600
283.601,34.200
286.061,30.300
288.522,26.500
289.753,16.900
292.213,14.500
294.674,12.100
295.904,14.700
298.365,18.500
300.826,22.300
302.056,35.200
304.517,33.500
306.978,31.800
308.208,13.900
310.669,10.000
313.130,6.100
314.360,12.900
316.821,14.000
319.281,15.000
320.512,15.900
322.973,15.100
325.433,14.300
326.664,11.000
329.124,10.000
331.585,9.000
332.816,10.000
335.276,10.000
337.737,10.000
338.967,10.000
341.428,10.000
343.889,10.000
345.119,10.000
347.580,10.000
350.041,10.000
351.271,10.000
353.732,10.000
356.193,10.000
357.423,10.000
359.884,10.000
362.344,10.000
363.575,7.200
366.036,10.000
368.496,12.800
369.727,20.400
372.187,23.900
374.648,27.300
375.879,28.300
378.339,27.100
380.800,25.900
382.030,17.300
384.491,18.000
386.952,18.600
388.182,25.100
390.643,30.200
393.104,35.200
394.334,39.800
396.795,43.300
399.256,46.800
400.486,54.300
402.947,47.600
405.407,41.000
406.638,17.500
409.099,10.000
411.559,2.500
412.790,10.000
415.250,10.000
417.711,10.000
418.942,8.300
421.402,10.000
423.863,11.700
425.093,16.700
427.554,18.500
430.015,20.300
431.245,20.800
433.706,19.100
436.167,17.400
437.397,11.800
439.858,10.000
442.319,8.200
443.549,10.000
446.010,10.000
448.470,10.000
449.701,10.000
452.162,10.000
454.622,10.000
455.853,7.400
458.313,10.000
460.774,12.600
462.005,23.000
464.465,23.000
466.926,23.000
468.156,10.700
470.617,10.000
473.078,9.300
474.308,18.300
476.769,19.400
479.230,20.400
480.460,15.100
482.921,15.200
485.382,15.400
486.612,20.600
489.073,20.200
491.533,19.800
492.764,15.200
495.225,13.100
497.685,11.100
498.916,9.900
501.376,10.000
503.837,10.100
505.068,13.800
507.528,13.800
509.989,13.800
511.219,10.800
513.680,10.000
516.141,9.200
517.371,10.000
519.832,10.000
522.293,10.000
523.523,6.900
525.984,10.000
528.445,13.100
529.675,25.500
532.136,25.500
534.596,25.500
535.827,12.800
538.288,10.000
540.748,7.200
541.979,11.100
544.439,11.600
546.900,12.000
548.131,12.400
550.591,12.100
553.052,11.800
554.282,8.300
556.743,10.000
559.204,11.700
560.434,16.600
562.895,20.800
565.356,25.000
566.586,23.900
569.047,31.000
571.508,38.000
572.738,48.200
575.199,55.800
577.659,63.400
578.890,62.900
581.351,68.800
583.811,74.700
585.042,91.700
587.502,85.500
589.963,79.300
591.194,50.800
593.654,37.800
596.115,24.800
597.345,22.300
599.806,20.400
602.267,18.500
603.497,24.900
605.958,28.200
608.419,31.500
610.264,35.200
612.110,36.900
613.955,38.700
614.571,44.300
615.186,36.900
615.801,29.600
615.186,7.400
615.186,0.000
