start_time,end_time,text
0.08,3.11,in these chests is over 100 000 worth of
3.12,4.87,gift cards and all of these minecraft
4.88,6.55,creators are going to be racing to see
6.5600000000000005,9.35,who can find the 100 000 worth of gift
9.36,10.88,cards first
12.32,14.31,i have invisibility arrows so that might
14.32,16.07,be an advantageous strategy
16.08,18.31,i actually have frankly i don't see how
18.32,20.23,we could lose i'm just i'm so hyped
20.24,21.67,we're gonna do so well i can see it
21.68,23.429,i want to start the scavenger hunt with
23.439,25.029,the bang so i tweeted the first
25.599,27.589,guys check jimmy's twitter chick jimmy's
27.599,30.79,twitter oh gonna go check jimmy's
31.279,33.35,what did the beast tweet kill someone on
33.36,35.11,the dream smp for your first hit kill
35.76,38.389,okay no this is bad i don't know how to
38.399,39.19,kill anybody
39.2,40.31,you have to kill someone for your first
40.32,43.35,time sorry nietzsche
43.36,44.63,just killed me and took all my stuff
44.64,45.75,separate just killed me where are the
45.76,46.869,people at where the people at where the
46.879,48.869,people at where's jm
48.879,50.63,oh now no one can see him i'm sorry
50.64,52.95,nikki no purple please
52.96,55.99,kill each other
56.0,57.99,oh my god they're just killing nikki
58.0,61.43,where are people
61.44,69.99,where's cole don't call cole
70.0,72.71,fundy's killing me phil kill me phil
72.72,73.83,kill me phil kill me and share the
73.84,77.109,hidden okay he'll kill me
77.119,79.03,there's no way i'm killing anybody else
79.04,81.59,so i mean all right carl where's my head
81.6,83.429,connor killed himself i guess that
83.439,85.35,counts and speaking of big prizes we're
85.36,86.23,giving away ten
86.24,87.27,thousand dollars to one of our
87.28,88.789,subscribers so if you want a chance to
88.799,89.99,win hit that subscribe button
90.0,91.109,right now i'm sending it to you on
91.119,93.03,twitter the the new clue okay perfect
93.04,93.429,thank you
93.439,95.03,it's pretty simple if one of the players
95.04,97.59,got a kill i had carl send that player a
98.32,99.99,guys the hint was that it's in a desert
100.0,101.35,okay so he's standing on
101.36,103.59,a diamond block with two signs what's on
103.6,104.469,top of the fence
104.479,106.23,where is the desert guys it's in the
106.24,108.31,desert and there's a lead and a diamond
108.799,110.55,okay so where's the nearest desert carl
110.56,112.31,hasn't messaged me
112.32,114.789,where's my clue called we can figure out
114.799,115.83,the direction
115.84,117.99,if we can figure out where the sun is
118.0,120.149,hello do you work with mr beast
120.159,123.59,yes i do sorry
123.6,125.749,hello hello why are you all alone
125.759,127.67,everyone else is with each other i
127.68,129.589,am against teaming mr beast just for
129.599,131.51,that i'll give you an extra hit it's a
131.52,133.91,large desert jack i honestly might go
133.92,135.83,have a nap don't have a nap pong
135.84,138.15,you're not thinking straight hello jimmy
138.16,139.67,how are you i'm good
139.68,143.11,okay all right the hundred thousand
143.12,145.03,dollars in gift cards is comprised of a
145.04,146.55,ten thousand dollar best buy ten
146.56,147.91,thousand dollar game stop ten thousand
147.92,149.589,dollar hearties ten thousand dollar taco
149.92,151.83,basically everything you ever wanna buy
151.84,152.949,until you die
152.959,154.71,is here let's say theoretically i want
154.72,156.79,to buy a lionfish what gift card would
156.8,157.75,help me with that one
157.76,159.67,oh oh perfect so there's actually five
159.68,161.509,thousand dollar bass pro shop gift card
161.519,165.03,we need to go we need to
165.04,169.19,go before i go just think of my favorite
169.2,171.75,numbers 69 420 69 420 all right there we
171.76,173.35,go we can fast travel
173.36,175.509,wilbur no use the checkpoints you fall
175.519,176.949,i'm going on a hunch and i'm just gonna
176.959,179.11,go to minus six nine six nine
179.12,180.79,and then plus six nine six nine there
180.8,182.47,wasn't really anything
182.48,185.03,uh minus six thousand nine hundred or
185.04,186.949,six nine six nine wait hold up there's a
186.959,187.99,chest on some leaves
188.0,191.99,it says lol
192.0,193.75,someone just said try the year his
193.76,195.19,channel was made and my first thought
195.2,196.55,was no no one's that obsessed with
197.12,198.47,and then i went oh wait yeah let's look
198.48,200.229,at this channel
200.239,202.55,x-ray texture pack that'd be a great
202.56,204.39,idea however i feel like that would be
204.4,205.35,considered cheating
205.36,207.11,am i above that no i think what we
207.12,209.27,should do is uh get the chance to do it
209.28,211.43,for us so go on the seed everyone i've
211.44,212.789,shown the strength
212.799,214.71,i'm just running looking for desert
214.72,216.149,eventually so many chunks are being
216.159,217.91,loaded at the same time that the map
217.92,219.509,literally couldn't keep up with the lag
219.519,221.27,wait fellas is the server really laggy
221.28,222.949,what happened to this server the chunks
222.959,224.39,aren't loading how's anyone meant to get
224.4,226.869,anywhere if we just keep glitching back
226.879,230.949,stop let me craft i need to craft
230.959,235.35,we need help oh my gosh
235.36,237.27,that was not an unloaded challenge that
237.28,239.27,was an actual chunk that someone dug out
239.28,240.149,yes i
240.159,241.99,literally almost died so dream had to
242.0,243.589,reset the server
