start_time,stop_time,avg_intensity
0,20,45.75833333333333
20,40,28.919999999999998
40,60,16.27777777777778
60,80,14.09
80,100,11.1
100,120,15.91
120,140,27.333333333333332
140,160,37.3
160,180,30.4
180,200,23.85
200,220,11.477777777777778
220,240,19.580000000000002
240,260,17.66
260,280,44.519999999999996
280,300,21.811111111111114
300,320,19.47
320,340,11.53
340,360,10.0
360,380,18.555555555555557
380,400,30.02
400,420,21.119999999999997
420,440,15.63
440,460,9.511111111111111
460,480,16.97
480,500,15.559999999999999
500,520,11.15
520,540,15.47777777777778
540,560,10.82
560,580,38.56
580,600,55.61
600,620,27.675
