start_time,stop_time,avg_intensity
0,5,35.675
5,10,77.8
10,15,45.05
15,20,43.3
20,25,60.400000000000006
25,30,68.5
30,35,70.65
35,40,72.6
40,45,67.65
45,50,79.25
50,55,89.8
55,60,93.1
60,65,92.1
65,70,90.85
70,75,90.5
75,80,96.8
80,85,97.1
85,90,84.8
90,95,65.6
95,100,49.75
100,105,37.6
105,110,28.0
110,115,24.9
115,120,22.9
120,125,29.7
125,130,47.5
130,135,61.5
135,140,60.0
140,145,46.7
145,150,32.2
150,155,19.8
155,160,15.350000000000001
160,165,15.7
165,170,13.95
170,175,12.6
175,180,11.3
180,185,10.95
185,190,11.9
190,195,13.350000000000001
195,200,13.0
200,205,17.049999999999997
205,210,24.3
210,215,27.3
215,220,26.85
220,225,23.6
225,230,16.9
230,235,12.8
235,240,12.2
240,245,11.8
245,250,14.45
250,255,14.1
255,260,10.9
260,265,11.85
265,270,13.4
270,275,12.95
275,280,12.6
280,285,13.75
285,290,16.2
290,295,18.700000000000003
295,300,22.0
300,305,27.05
305,310,29.6
310,315,27.15
315,320,22.3
320,325,19.2
325,330,17.5
330,335,17.25
335,340,17.7
340,345,16.55
345,350,16.6
350,355,18.2
355,360,22.6
360,365,27.200000000000003
365,370,35.0
370,375,43.9
375,380,57.3
380,385,76.4
385,390,92.1
390,395,99.35
395,400,96.3
400,405,90.9
405,410,80.69999999999999
410,415,70.7
415,420,59.45
420,425,52.8
425,430,43.650000000000006
430,435,36.9
435,440,30.55
440,445,26.6
445,450,23.2
450,455,22.4
455,460,20.1
460,465,18.2
465,470,16.7
470,475,17.299999999999997
475,480,15.5
480,485,12.350000000000001
485,490,10.8
490,495,11.0
495,500,11.3
500,505,11.7
505,510,11.649999999999999
510,515,11.3
515,520,1.65
520,525,10.0
525,530,63.800000000000004
530,535,100.0
535,540,64.2
540,545,10.5
545,550,1.5500000000000003
550,555,11.2
555,560,11.95
560,565,14.4
565,570,17.95
570,575,23.5
575,580,31.15
580,585,36.9
585,590,39.05
590,595,36.4
595,600,31.5
600,605,25.9
605,610,23.4
610,615,21.3
615,620,19.4
620,625,17.25
625,630,16.0
630,635,14.15
635,640,12.1
640,645,11.65
645,650,13.4
650,655,13.2
655,660,11.1
660,665,10.7
665,670,11.45
670,675,13.3
675,680,16.2
680,685,19.1
685,690,21.5
690,695,22.6
695,700,21.65
700,705,18.049999999999997
705,710,15.2
710,715,14.5
715,720,15.1
720,725,15.100000000000001
725,730,16.1
730,735,19.0
735,740,21.2
740,745,20.5
745,750,18.6
750,755,17.65
755,760,17.7
760,765,18.5
765,770,19.7
770,775,20.25
775,780,20.6
780,785,21.2
785,790,21.8
790,795,22.05
795,800,22.9
800,805,24.85
805,810,27.4
810,815,28.55
815,820,32.4
820,825,40.25
825,830,50.3
830,835,60.1
835,840,67.15
840,845,64.6
845,850,63.25
850,855,62.1
855,860,61.15
860,865,61.5
865,870,60.0
870,875,58.7
875,880,55.35
880,885,49.7
885,890,48.0
890,895,51.5
895,900,50.0
900,905,45.35
905,910,41.8
910,915,40.65
915,920,36.9
920,925,33.35
925,930,26.85
930,935,23.5
935,940,22.65
940,945,24.0
945,950,26.5
950,955,26.6
955,960,21.75
960,965,15.3
965,970,11.55
970,975,10.0
975,980,6.816666666666666
