timestamp_sec,intensity
0.000,0.000
0.978,13.800
1.955,60.000
4.888,68.900
7.821,77.800
10.755,45.600
14.665,44.500
18.576,43.300
20.531,57.700
24.442,63.100
28.353,68.500
30.308,70.000
34.219,71.300
38.130,72.600
40.085,65.800
43.996,69.500
47.906,73.200
49.862,85.300
53.773,89.800
57.683,94.300
59.639,91.900
63.549,92.100
67.460,92.200
69.416,89.500
73.326,90.500
77.237,91.500
79.192,102.100
83.103,97.100
87.014,92.100
88.969,77.500
92.880,65.600
96.791,53.700
98.746,45.800
102.657,37.600
106.567,29.500
108.523,26.500
112.434,24.900
116.344,23.400
118.300,22.400
122.210,29.700
126.121,37.000
128.077,58.000
131.987,61.500
135.898,64.900
137.853,55.100
141.764,46.700
145.675,38.400
147.630,26.000
151.541,19.800
155.452,13.600
157.407,17.100
161.318,15.700
165.228,14.300
167.184,13.600
171.095,12.600
175.005,11.700
176.961,10.900
180.871,10.900
184.782,11.000
186.738,11.900
190.648,12.900
194.559,13.800
196.514,13.000
200.425,15.700
204.336,18.400
206.291,24.300
210.202,26.300
214.113,28.300
216.068,27.900
219.979,25.800
223.889,23.600
225.845,18.300
229.756,15.500
233.666,12.800
235.622,12.300
239.532,12.100
243.443,11.800
245.399,14.600
249.309,14.300
253.220,14.100
255.175,11.000
259.086,10.800
262.997,10.600
264.952,13.100
268.863,13.400
272.774,13.800
274.729,12.100
278.640,12.600
282.550,13.200
284.506,14.300
288.417,16.200
292.327,18.100
294.283,19.300
298.193,22.000
302.104,24.600
304.060,29.500
307.970,29.600
311.881,29.600
313.836,24.700
317.747,22.300
321.658,19.900
323.613,18.500
327.524,17.500
331.435,16.600
333.390,17.900
337.301,17.700
341.211,17.500
343.167,15.600
347.078,16.600
350.988,17.500
352.944,18.900
356.854,22.600
360.765,26.300
362.721,28.100
366.631,35.000
370.542,41.900
372.497,45.900
376.408,57.300
380.319,68.700
382.274,84.100
386.185,92.100
390.096,100.000
392.051,98.700
395.962,97.100
399.872,95.500
401.828,90.900
405.739,84.100
409.649,77.300
411.605,70.700
415.515,63.200
419.426,55.700
421.382,52.800
425.292,46.700
429.203,40.600
431.158,36.900
435.069,32.700
438.980,28.400
440.935,27.700
444.846,25.500
448.757,23.200
450.712,23.200
454.623,21.600
458.533,20.100
460.489,18.700
464.400,17.700
468.310,16.700
470.266,17.900
474.176,16.700
478.087,15.500
480.043,12.900
483.953,11.800
487.864,10.600
489.819,11.000
493.730,11.000
497.641,11.000
499.596,11.600
503.507,11.700
507.418,11.700
509.373,11.600
513.284,11.300
517.194,11.000
519.150,-7.700
523.061,10.000
526.971,27.700
528.927,99.900
532.837,100.000
536.748,100.100
538.704,28.300
542.614,10.500
546.525,-7.300
548.480,10.400
552.391,11.200
556.302,11.900
558.257,12.000
562.168,14.400
566.079,16.900
568.034,19.000
571.945,23.500
575.855,28.000
577.811,34.300
581.722,36.900
585.632,39.500
587.588,38.600
591.498,36.400
595.409,34.200
597.365,28.800
601.275,25.900
605.186,23.100
607.141,23.700
611.052,22.100
614.963,20.500
616.918,19.400
620.829,18.000
624.740,16.500
626.695,16.000
630.606,14.800
634.516,13.500
636.472,12.100
640.383,11.800
644.293,11.500
646.249,13.400
650.159,13.300
654.070,13.100
656.026,11.200
659.936,11.000
663.847,10.700
665.802,10.800
669.713,12.100
673.624,13.300
675.579,15.200
679.490,17.200
683.401,19.100
685.356,21.100
689.267,21.900
693.177,22.600
695.133,22.300
699.044,21.000
702.954,19.700
704.910,16.400
708.820,15.200
712.731,14.000
714.687,15.000
718.597,15.100
722.508,15.300
724.463,14.900
728.374,16.100
732.285,17.300
734.240,20.700
738.151,21.200
742.062,21.700
744.017,19.300
747.928,18.600
751.838,17.900
753.794,17.400
757.705,17.700
761.615,17.900
763.571,19.100
767.481,19.700
771.392,20.300
773.348,20.200
777.258,20.600
781.169,21.000
783.124,21.400
787.035,21.800
790.946,22.300
792.901,21.800
796.812,22.900
800.723,24.100
802.678,25.600
806.589,27.400
810.499,29.300
812.455,27.800
816.366,32.400
820.276,36.900
822.232,43.600
826.142,50.300
830.053,57.000
832.009,63.200
835.919,65.800
839.830,68.500
841.785,64.600
845.696,63.700
849.607,62.800
851.562,62.100
855.473,61.500
859.384,60.800
861.339,61.500
865.250,60.500
869.160,59.500
871.116,58.700
875.027,56.500
878.937,54.200
880.893,50.300
884.803,49.100
888.714,48.000
890.670,52.000
894.580,51.000
898.491,50.000
900.446,46.500
904.357,44.200
908.268,41.800
910.223,41.900
914.134,39.400
918.045,36.900
920.000,34.900
923.911,31.800
927.821,28.600
929.777,25.100
933.688,23.500
937.598,22.000
939.554,23.300
943.464,24.000
947.375,24.600
949.331,28.400
953.241,26.600
957.152,24.900
959.107,18.600
963.018,15.300
966.929,12.000
969.862,11.100
972.795,10.000
975.728,8.900
976.706,12.000
977.683,10.000
978.661,8.000
977.683,2.000
977.683,0.000
