start_time,end_time,text
0.0,7.0,Tanya Cushman
14.88,17.43,"So, I have a little test for you."
17.99,19.1,Don't panic.
19.1,21.111,I'm not here to judge you.
21.111,23.182,"It's just a little test, OK?"
23.412,28.571,"First, you get 30 seconds to memorize 10 words in the right order."
29.271,34.226,"After that, you get 30 seconds to write down what you remembered."
34.246,38.137,"And then finally, you get 30 seconds to check your answers."
38.537,40.106,"So, are you guys ready?"
40.746,42.578,"Well, we're going to start anyway."
43.982,44.982,"So,"
45.487,49.207,memorize 10 words in the right order in 30 seconds
49.207,52.947,"in three, two, one, go!"
82.166,83.377,OK. Stop.
84.047,86.715,Now write down what you remember.
118.705,120.12,"OK, and stop."
120.912,123.532,Now quickly check your answers.
144.34,146.019,"OK, and stop."
152.37,155.104,Very exciting; I heard a lot of grunting and moaning.
155.104,157.483,So I hope I didn't stress you out too much.
159.254,161.825,Now a moment of reflection.
162.705,164.565,"I'd like you to ask yourself,"
166.545,170.975,"""How did I memorize this, and was it the best way to do it?"""
176.185,180.115,"Now, for the generation of my parents and grandparents,"
180.115,184.667,being able to memorize something like this was an absolutely essential skill.
184.677,188.621,"But nowadays, why would anyone want to remember a list of anything?"
188.621,191.602,"You just take a picture of the screen, and you're done, right?"
196.162,199.143,it seemed as if memorizing has somehow become less important.
199.773,202.363,"So why should we then, in today's day and age,"
202.363,204.473,still want to get better at memorizing?
205.274,208.664,"Well, to answer that question, I'd like to tell you a little story."
209.087,214.367,"In high school, I flunked a grade, twice."
214.556,218.928,"After seven years of torture, I finally got my diploma."
219.337,221.268,"Sweet, sweet freedom!"
222.139,223.473,What would I do with it?
223.853,224.954,I didn't know.
225.333,226.794,"One thing I did know, however,"
226.794,229.203,was that I didn't want to go back to school
229.553,231.774,"because that old learning business,"
232.364,233.854,it wasn't cut out for me.
234.523,239.464,"So instead, I went to sunny California for nine months,"
239.464,242.965,"and there I worked as a bagger, not beggar bagger."
243.385,244.675,"So in a supermarket,"
244.675,248.496,"I had to put people's groceries in bags, and then I'd get a little tip."
250.685,254.095,"Surprisingly, that year I learned so much."
254.385,257.461,"I learned how to bag a bunch of groceries really, really quickly."
258.561,260.521,I learned how to drive a car.
260.521,261.701,"And in California,"
261.701,264.892,people are a little bit more open than they are in Amsterdam.
264.892,268.161,"So I also learned how to have a little chat with a stranger,"
268.161,269.512,just for the hell of it.
270.122,273.093,"That year I discovered that I don't hate learning,"
273.693,275.953,just the specific way of doing it.
276.513,279.433,So I decided to go and study psychology.
279.433,281.262,"Now for the first time ever,"
281.262,284.469,I was getting information that I absolutely wanted to know.
284.789,287.258,Now I was spending more time in the library
287.258,291.558,"than I spent skipping school as a teenager, voluntarily."
292.718,297.31,The only problem was that I was spending all of my time in the library
297.31,299.43,because I'd never learned how to learn.
299.83,304.179,"So I started experimenting with different methods of reading texts,"
304.179,305.58,"of memorizing texts,"
305.58,309.599,and I got my reading time of three hours per chapter down to one.
310.599,315.362,"This way of studying enabled me to do an honors program,"
315.362,316.975,"to get my degree,"
317.166,319.005,and to fall in love with learning.
319.666,323.656,"And now I happily work for a company called Remind,"
324.065,327.516,in which we teach people the science and art of learning.
328.217,332.067,We're trying to bring back into education what we ourselves missed.
332.737,334.116,"Now for the past three years,"
334.116,337.376,we've also organized the Dutch National Memory Championships
337.376,338.958,for high schoolers.
339.407,343.701,"We do this to show that everybody is capable of amazing feats of memory,"
344.192,346.972,but also to show that memorization
347.261,352.102,is about a lot more than just learning your French or your Spanish words.
352.122,354.603,And today I'd also like to share this with you.
355.202,357.442,"So, in the beginning,"
357.563,359.503,"I made you do this little test,"
