start_time,end_time,text
0.0,17.430000000000003,"Tanya Cushman So, I have a little test for you."
17.99,19.1,Don't panic.
19.1,21.110999999999997,I'm not here to judge you.
21.111,23.182,"It's just a little test, OK?"
23.412,28.571000000000012,"First, you get 30 seconds to memorize 10 words in the right order."
29.271,34.225999999999985,"After that, you get 30 seconds to write down what you remembered."
34.246,38.13699999999999,"And then finally, you get 30 seconds to check your answers."
38.537,40.106,"So, are you guys ready?"
40.746,42.578,"Well, we're going to start anyway."
43.982,52.946999999999996,"So, memorize 10 words in the right order in 30 seconds in three, two, one, go!"
82.166,82.56966666666666,OK.
82.56966666666666,83.377,Stop.
84.047,86.71500000000002,Now write down what you remember.
118.705,120.12,"OK, and stop."
120.912,123.53200000000001,Now quickly check your answers.
144.34,146.019,"OK, and stop."
152.37,155.10400000000004,Very exciting; I heard a lot of grunting and moaning.
155.104,157.483,So I hope I didn't stress you out too much.
159.254,161.82499999999996,Now a moment of reflection.
162.705,170.97499999999994,"I'd like you to ask yourself, ""How did I memorize this, and was it the best way to do it?"""
176.185,184.66700000000006,"Now, for the generation of my parents and grandparents, being able to memorize something like this was an absolutely essential skill."
184.677,188.62100000000004,"But nowadays, why would anyone want to remember a list of anything?"
188.621,191.602,"You just take a picture of the screen, and you're done, right?"
196.162,199.143,it seemed as if memorizing has somehow become less important.
199.773,204.473,"So why should we then, in today's day and age, still want to get better at memorizing?"
205.274,208.66400000000004,"Well, to answer that question, I'd like to tell you a little story."
209.087,214.36699999999996,"In high school, I flunked a grade, twice."
214.556,218.92800000000003,"After seven years of torture, I finally got my diploma."
219.337,221.26799999999997,"Sweet, sweet freedom!"
222.139,223.47299999999998,What would I do with it?
223.853,224.954,I didn't know.
225.333,233.854,"One thing I did know, however, was that I didn't want to go back to school because that old learning business, it wasn't cut out for me."
234.523,242.96500000000003,"So instead, I went to sunny California for nine months, and there I worked as a bagger, not beggar bagger."
243.385,248.496,"So in a supermarket, I had to put people's groceries in bags, and then I'd get a little tip."
250.685,254.09499999999997,"Surprisingly, that year I learned so much."
254.385,257.46099999999996,"I learned how to bag a bunch of groceries really, really quickly."
258.561,260.5209999999999,I learned how to drive a car.
260.521,264.8920000000001,"And in California, people are a little bit more open than they are in Amsterdam."
264.892,269.512,"So I also learned how to have a little chat with a stranger, just for the hell of it."
270.122,275.953,"That year I discovered that I don't hate learning, just the specific way of doing it."
276.513,279.43300000000005,So I decided to go and study psychology.
279.433,284.46900000000005,"Now for the first time ever, I was getting information that I absolutely wanted to know."
284.789,291.558,"Now I was spending more time in the library than I spent skipping school as a teenager, voluntarily."
292.718,299.43000000000006,The only problem was that I was spending all of my time in the library because I'd never learned how to learn.
299.83,309.59900000000005,"So I started experimenting with different methods of reading texts, of memorizing texts, and I got my reading time of three hours per chapter down to one."
