start_time,end_time,words
0,5,Tanya
5,10,Cushman
15,20,"So , I have a little test for you . Do n't panic . I 'm not"
20,25,"here to judge you . It 's just a little test , OK ? First , you get 30"
25,30,seconds to memorize 10 words in the right order . After
30,35,"that , you get 30 seconds to write down what you remembered . And then"
35,40,"finally , you get 30 seconds to check your answers . So , are you guys"
40,45,"ready ? Well , we 're going to start anyway . So ,"
45,50,memorize 10 words in the right order in 30 seconds in
50,55,"three , two , one , go !"
80,85,OK . Stop . Now write
85,90,down what you remember .
115,120,"OK , and"
120,125,stop . Now quickly check your answers .
140,145,"OK ,"
145,150,and stop .
150,155,Very exciting ; I heard a lot of grunting and
155,160,moaning . So I hope I did n't stress you out too much . Now a
160,165,"moment of reflection . I 'd like you to ask yourself ,"
165,170,""" How did I memorize this , and was it the"
170,175,"best way to do it ? """
175,180,"Now , for the generation of my parents and"
180,185,"grandparents , being able to memorize something like this was an absolutely essential skill . But"
185,190,"nowadays , why would anyone want to remember a list of anything ? You just take a picture of"
190,195,"the screen , and you 're done , right ?"
195,200,it seemed as if memorizing has somehow become less important . So
200,205,"why should we then , in today 's day and age , still want to get better at memorizing ?"
205,210,"Well , to answer that question , I 'd like to tell you a little story . In"
210,215,"high school , I flunked a grade , twice ."
215,220,"After seven years of torture , I finally got my diploma . Sweet ,"
220,225,sweet freedom ! What would I do with it ? I did n't know .
225,230,"One thing I did know , however , was that I did n't want to go back to school"
230,235,"because that old learning business , it was n't cut out for me . So"
235,240,"instead , I went to sunny California for nine months , and"
240,245,"there I worked as a bagger , not beggar bagger . So in a supermarket , I had"
245,250,"to put people 's groceries in bags , and then I 'd get a little tip ."
250,255,"Surprisingly , that year I learned so much . I learned"
255,260,"how to bag a bunch of groceries really , really quickly . I learned how to"
260,265,"drive a car . And in California , people are a little bit more open than they are in Amsterdam ."
265,270,"So I also learned how to have a little chat with a stranger , just for the hell of it ."
270,275,"That year I discovered that I do n't hate learning , just the specific"
275,280,way of doing it . So I decided to go and study psychology . Now for
280,285,"the first time ever , I was getting information that I absolutely wanted to know ."
285,290,Now I was spending more time in the library than I spent skipping school as a
290,295,"teenager , voluntarily . The only problem was that I was"
295,300,spending all of my time in the library because I 'd never learned how to learn . So
300,305,"I started experimenting with different methods of reading texts , of"
305,310,"memorizing texts , and I got my reading time of three hours per chapter down to one ."
310,315,This way of studying enabled me to do an honors
315,320,"program , to get my degree , and to fall in love with learning . And"
320,325,"now I happily work for a company called Remind , in which we"
325,330,teach people the science and art of learning . We 're trying to bring back
330,335,"into education what we ourselves missed . Now for the past three years , we 've also"
335,340,organized the Dutch National Memory Championships for high schoolers . We do this
340,345,"to show that everybody is capable of amazing feats of memory , but also"
345,350,to show that memorization is about a lot more than just learning
350,355,your French or your Spanish words . And today I 'd also like to share this with you .
355,360,"So , in the beginning , I made you do this little test ,"
360,365,"just to make you aware of how you 're memorizing things right now . Next , I"
365,370,'d like to give you a new type of memory experience . This time you can even
370,375,sit back and relax . So I 'm going to ask you to find a comfortable position to
375,380,"sit , to close your eyes , and to take a"
380,385,"deep breath . Now , I"
385,390,"want you to think of someone you know called John ,"
390,395,and I want you to see him .
395,400,"Now , John just grabbed the sun out of the sky , and he just"
400,405,threw it on your feet . And now your feet are getting really big and red and
405,410,swollen because John just threw the sun on your feet .
410,415,"Now you look to your knees , and on your"
415,420,"knees , you see 10 little guys playing basketball - very strange"
420,425,"sight . And on their shirts , you can see in brightly colored"
425,430,"letters the "" New York Knicks , "" so you have some Knicks on your"
430,435,"knees . Next , you look to where"
