start_time,stop_time,avg_intensity
0,20,44.2375
20,40,67.2
40,60,81.39999999999999
60,80,92.98333333333333
80,100,71.96666666666665
100,120,27.383333333333336
120,140,51.03333333333333
140,160,26.933333333333334
160,180,13.133333333333333
180,200,12.25
200,220,23.814285714285713
220,240,15.766666666666667
240,260,12.766666666666666
260,280,12.6
280,300,17.183333333333334
300,320,26.71666666666667
320,340,18.016666666666666
340,360,18.116666666666667
360,380,39.083333333333336
380,400,90.88571428571429
400,420,73.64999999999999
420,440,39.68333333333333
440,460,23.55
460,480,17.2
480,500,11.414285714285715
500,520,8.266666666666667
520,540,61.0
540,560,8.116666666666667
560,580,22.683333333333334
580,600,35.733333333333334
600,620,22.45
620,640,15.15
640,660,12.185714285714285
660,680,13.216666666666667
680,700,21.333333333333332
700,720,15.899999999999999
720,740,17.583333333333332
740,760,18.766666666666666
760,780,19.633333333333333
780,800,21.866666666666664
800,820,27.766666666666666
820,840,55.042857142857144
840,860,62.583333333333336
860,880,58.48333333333333
880,900,50.06666666666666
900,920,41.78333333333333
920,940,27.02857142857143
940,960,24.516666666666666
960,980,8.93
