start_time,end_time,words
0,20,"Tanya Cushman So , I have a little test for you . Do n't panic . I 'm not"
20,40,"here to judge you . It 's just a little test , OK ? First , you get 30 seconds to memorize 10 words in the right order . After that , you get 30 seconds to write down what you remembered . And then finally , you get 30 seconds to check your answers . So , are you guys"
40,60,"ready ? Well , we 're going to start anyway . So , memorize 10 words in the right order in 30 seconds in three , two , one , go !"
80,100,OK . Stop . Now write down what you remember .
100,120,"OK , and"
120,140,stop . Now quickly check your answers .
140,160,"OK , and stop . Very exciting ; I heard a lot of grunting and moaning . So I hope I did n't stress you out too much . Now a"
160,180,"moment of reflection . I 'd like you to ask yourself , "" How did I memorize this , and was it the best way to do it ? "" Now , for the generation of my parents and"
180,200,"grandparents , being able to memorize something like this was an absolutely essential skill . But nowadays , why would anyone want to remember a list of anything ? You just take a picture of the screen , and you 're done , right ? it seemed as if memorizing has somehow become less important . So"
200,220,"why should we then , in today 's day and age , still want to get better at memorizing ? Well , to answer that question , I 'd like to tell you a little story . In high school , I flunked a grade , twice . After seven years of torture , I finally got my diploma . Sweet ,"
220,240,"sweet freedom ! What would I do with it ? I did n't know . One thing I did know , however , was that I did n't want to go back to school because that old learning business , it was n't cut out for me . So instead , I went to sunny California for nine months , and"
240,260,"there I worked as a bagger , not beggar bagger . So in a supermarket , I had to put people 's groceries in bags , and then I 'd get a little tip . Surprisingly , that year I learned so much . I learned how to bag a bunch of groceries really , really quickly . I learned how to"
260,280,"drive a car . And in California , people are a little bit more open than they are in Amsterdam . So I also learned how to have a little chat with a stranger , just for the hell of it . That year I discovered that I do n't hate learning , just the specific way of doing it . So I decided to go and study psychology . Now for"
280,300,"the first time ever , I was getting information that I absolutely wanted to know . Now I was spending more time in the library than I spent skipping school as a teenager , voluntarily . The only problem was that I was spending all of my time in the library because I 'd never learned how to learn . So"
300,320,"I started experimenting with different methods of reading texts , of memorizing texts , and I got my reading time of three hours per chapter down to one . This way of studying enabled me to do an honors program , to get my degree , and to fall in love with learning . And"
320,340,"now I happily work for a company called Remind , in which we teach people the science and art of learning . We 're trying to bring back into education what we ourselves missed . Now for the past three years , we 've also organized the Dutch National Memory Championships for high schoolers . We do this"
340,360,"to show that everybody is capable of amazing feats of memory , but also to show that memorization is about a lot more than just learning your French or your Spanish words . And today I 'd also like to share this with you . So , in the beginning , I made you do this little test ,"
360,380,"just to make you aware of how you 're memorizing things right now . Next , I 'd like to give you a new type of memory experience . This time you can even sit back and relax . So I 'm going to ask you to find a comfortable position to sit , to close your eyes , and to take a"
380,400,"deep breath . Now , I want you to think of someone you know called John , and I want you to see him . Now , John just grabbed the sun out of the sky , and he just"
400,420,"threw it on your feet . And now your feet are getting really big and red and swollen because John just threw the sun on your feet . Now you look to your knees , and on your knees , you see 10 little guys playing basketball - very strange"
420,440,"sight . And on their shirts , you can see in brightly colored letters the "" New York Knicks , "" so you have some Knicks on your knees . Next , you look to where your thighs are , but they 're gone . Your thighs"
440,460,"have been replaced with Fords , the cars . They could be Ford Focuses or Ford Mustangs . Your thighs have been replaced with Fords . Now , with your bottom , you feel a hard plastic seat of a go - kart vibrating . With your bottom , you"
460,480,"feel the hard plastic seat of a go - kart . Your belly starts rumbling very loudly . So you follow your belly , and it leads you to McDonald 's , and there Ronald McDonald starts shooting rays of light at you with a ray gun ."
480,500,"Ronald McDonald is shooting rays of light at you with a ray gun . He hits you on your chest , and now from your chest , a big bush of gray hairs is growing . A huge bush of gray hair is growing from your chest . So obviously , you hurry home"
500,520,"to shave it off , and on your doormat , you see a letter . So you open it and it has good news . As you read it , you feel a huge weight falling off your shoulders . A huge weight falling off your shoulders . Your shoulders get all light and tingly because you just paid"
