start_time,end_time,text
0.0,7.0,Morton Bast
15.566,18.186,"Hi. My name is Cameron Russell,"
18.21,24.239,"and for the last little while, I've been a model."
24.263,26.604,"Actually, for 10 years."
28.25,30.406,And I feel like
30.43,33.23,there's an uncomfortable tension in the room right now
33.254,35.277,because I should not have worn this dress.
37.083,39.557,"So luckily, I brought an outfit change."
39.581,43.206,"This is the first outfit change on the TED stage,"
43.23,46.252,"so you guys are pretty lucky to witness it, I think."
46.276,49.193,"If some of the women were really horrified when I came out,"
49.217,52.36,"you don't have to tell me now, but I'll find out later on Twitter."
57.575,59.433,I'd also note that I'm quite privileged
59.457,62.511,to be able to transform what you think of me
62.535,65.174,in a very brief 10 seconds.
65.198,66.943,Not everybody gets to do that.
68.66,72.494,"These heels are very uncomfortable, so good thing I wasn't going to wear them."
74.499,77.02,"The worst part is putting this sweater over my head,"
77.044,79.093,"because that's when you'll all laugh at me,"
79.117,81.225,so don't do anything while it's over my head.
83.005,84.022,All right.
86.243,88.95,"So, why did I do that?"
88.974,90.18,That was awkward.
92.156,93.267,Well --
95.681,99.372,Hopefully not as awkward as that picture.
100.566,103.324,"Image is powerful,"
103.348,106.749,"but also, image is superficial."
108.296,112.715,"I just totally transformed what you thought of me, in six seconds."
112.739,114.554,"And in this picture,"
114.578,117.125,I had actually never had a boyfriend in real life.
117.903,119.696,"I was totally uncomfortable,"
119.72,122.198,and the photographer was telling me to arch my back
122.222,123.917,and put my hand in that guy's hair.
126.273,128.249,"And of course, barring surgery,"
128.273,131.69,"or the fake tan that I got two days ago for work,"
131.714,135.451,"there's very little that we can do to transform how we look,"
135.475,138.907,"and how we look, though it is superficial and immutable,"
138.931,141.241,has a huge impact on our lives.
143.294,147.898,"So today, for me, being fearless means being honest."
147.922,150.783,And I am on this stage because I am a model.
150.807,154.51,"I am on this stage because I am a pretty, white woman,"
154.534,157.275,"and in my industry, we call that a sexy girl."
157.299,160.146,"I'm going to answer the questions that people always ask me,"
160.17,161.468,but with an honest twist.
161.492,164.37,"So the first question is, how do you become a model?"
164.394,166.403,"I always just say, ""Oh, I was scouted,"""
166.427,167.585,but that means nothing.
167.609,170.69,The real way that I became a model
170.714,174.177,"is I won a genetic lottery, and I am the recipient of a legacy,"
174.201,176.297,and maybe you're wondering what is a legacy.
176.321,179.043,"Well, for the past few centuries"
179.067,184.561,we have defined beauty not just as health and youth
184.585,188.347,"and symmetry that we're biologically programmed to admire,"
188.371,191.883,"but also as tall, slender figures,"
191.907,195.13,and femininity and white skin.
