timestamp_sec,intensity
0.000,0.000
1.055,20.000
2.110,98.000
5.275,100.000
8.440,98.000
11.606,27.500
15.826,10.000
20.046,-7.500
22.156,12.400
26.376,12.400
30.596,12.400
32.706,10.500
36.927,10.000
41.147,9.500
43.257,9.400
47.477,10.000
51.697,10.600
53.807,12.800
58.028,13.200
62.248,13.600
64.358,12.600
68.578,12.000
72.798,11.300
74.908,10.400
79.128,10.000
83.349,9.600
85.459,10.000
89.679,10.000
93.899,10.000
96.009,10.000
100.229,10.000
104.450,10.000
106.560,10.000
110.780,10.000
115.000,10.000
117.110,10.000
121.330,10.000
125.550,10.000
127.661,10.000
131.881,10.000
136.101,10.000
138.211,-2.400
142.431,10.000
146.651,22.400
148.761,72.000
152.982,72.000
157.202,72.000
159.312,22.400
163.532,10.000
167.752,-2.400
169.862,10.000
174.083,10.000
178.303,10.000
180.413,10.000
184.633,10.000
188.853,10.000
190.963,9.600
195.184,10.000
199.404,10.400
201.514,10.100
205.734,12.100
209.954,14.200
212.064,17.500
216.284,20.300
220.505,23.000
222.615,23.000
226.835,25.900
231.055,28.800
233.165,32.800
237.385,34.800
241.606,36.700
243.716,36.300
247.936,35.600
252.156,34.900
254.266,33.800
258.486,31.300
262.706,28.800
264.817,24.700
269.037,23.100
273.257,21.400
275.367,22.700
279.587,23.000
283.807,23.200
285.917,24.300
290.138,24.300
294.358,24.400
296.468,23.000
300.688,23.200
304.908,23.400
307.018,24.800
311.239,25.300
315.459,25.800
317.569,26.100
321.789,25.700
326.009,25.300
328.119,25.400
332.339,23.400
336.560,21.400
338.670,18.200
342.890,15.800
347.110,13.400
349.220,12.600
353.440,11.400
357.661,10.300
359.771,10.300
363.991,10.000
368.211,9.700
370.321,10.000
374.541,10.000
378.761,10.000
380.872,10.000
385.092,10.000
389.312,10.000
391.422,10.000
395.642,10.000
399.862,10.000
401.973,9.700
406.193,10.000
410.413,10.300
412.523,10.700
416.743,11.600
420.963,12.500
423.073,13.900
427.294,14.500
431.514,15.200
433.624,14.500
437.844,15.000
442.064,15.400
444.174,15.700
448.395,16.900
452.615,18.200
454.725,19.100
458.945,21.200
463.165,23.300
465.275,25.000
469.495,27.300
473.716,29.600
475.826,28.900
480.046,32.800
484.266,36.700
486.376,44.700
490.596,46.800
494.817,48.900
496.927,47.700
501.147,43.200
505.367,38.700
507.477,28.300
511.697,24.300
515.917,20.300
518.028,21.500
522.248,23.000
526.468,24.600
528.578,30.100
532.798,32.100
537.018,34.100
539.128,32.200
543.349,33.100
547.569,34.000
549.679,35.700
553.899,36.600
558.119,37.600
560.229,38.900
564.450,37.900
568.670,36.900
570.780,33.900
575.000,31.600
579.220,29.300
581.330,27.600
585.551,26.400
589.771,25.200
591.881,25.100
596.101,25.700
600.321,26.200
602.431,28.200
606.651,29.100
610.872,30.000
612.982,30.300
617.202,30.100
621.422,30.000
623.532,23.000
627.752,28.200
631.973,33.400
634.083,56.300
638.303,56.200
642.523,56.100
644.633,32.000
648.853,27.700
653.073,23.300
655.184,30.800
659.404,34.400
663.624,38.100
665.734,42.600
669.954,45.900
674.174,49.100
676.284,50.900
680.505,50.600
684.725,50.300
686.835,48.400
691.055,44.300
695.275,40.200
697.385,34.900
701.606,30.000
705.826,25.200
707.936,22.000
712.156,20.000
716.376,18.000
718.486,18.900
722.706,20.000
726.927,21.000
729.037,22.300
733.257,25.200
737.477,28.100
739.587,34.200
743.807,34.600
748.028,34.900
750.138,28.900
754.358,26.900
758.578,24.900
760.688,25.900
764.908,24.600
769.129,23.400
771.239,20.600
775.459,20.700
779.679,20.900
781.789,23.600
786.009,25.400
790.229,27.200
792.340,28.300
796.560,29.600
800.780,31.000
802.890,30.500
807.110,32.000
811.330,33.600
813.440,33.900
817.661,37.300
821.881,40.700
823.991,44.700
828.211,48.900
832.431,53.200
834.541,56.400
838.762,58.600
842.982,60.800
845.092,59.600
849.312,60.100
853.532,60.500
855.642,60.000
859.862,60.800
864.083,61.600
866.193,63.300
870.413,63.900
874.633,64.500
876.743,62.900
880.963,63.700
885.184,64.500
887.294,67.100
891.514,67.900
895.734,68.700
897.844,69.900
902.064,67.800
906.284,65.800
908.395,60.400
912.615,57.700
916.835,55.000
918.945,54.800
923.165,54.200
927.385,53.600
929.495,56.800
933.716,54.600
937.936,52.500
940.046,46.100
944.266,43.500
948.486,40.900
950.596,39.400
954.817,41.600
959.037,43.900
961.147,48.500
965.367,54.900
969.587,61.400
971.697,70.900
975.918,73.800
980.138,76.700
982.248,72.300
986.468,69.500
990.688,66.600
992.798,61.500
997.018,59.600
1001.239,57.700
1003.349,56.000
1007.569,59.800
1011.789,63.500
1013.899,73.900
1018.119,78.400
1022.340,82.800
1024.450,82.800
1028.670,82.000
1032.890,81.200
1035.000,86.100
1039.220,74.200
1043.440,62.400
1046.606,32.900
1049.771,22.600
1052.936,12.300
1053.991,27.100
1055.046,22.600
1056.101,18.100
1055.046,4.500
1055.046,0.000
