start_time,end_time,text
12.915,14.161,Good evening!
14.161,16.19,Good evening. How are you?
16.56,18.808,Are you good? Great!
18.808,21.211,"Welcome, welcome, welcome to this match."
21.416,25.012,This match will take exactly 18 minutes.
25.463,28.295,OK? And you're all part of the same team:
28.811,30.08,Mechelen.
30.127,31.169,OK?
31.169,34.717,"Hey guys, I would like to see fair play on the field,"
34.717,37.206,respect and positivity.
37.605,39.677,Is that OK for everyone?
40.076,41.486,Cool.
41.646,43.047,Good luck!
43.498,48.538,"One year ago, I decided I wanted to become a football referee."
48.892,51.547,"Not because of the money, though."
51.547,53.92,I only get paid 20 euros per match.
53.92,56.886,"So I won't really get rich by it, will I?"
56.886,61.799,No. I decided to become a referee for two other reasons.
62.531,65.345,One to stay in good shape.
65.345,71.755,Two because I wanted to learn how not to take things personally.
74.067,75.616,I can see some people nodding.
75.616,77.452,"You are probably thinking,"
77.452,80.269,"""Being a referee is the perfect environment"
80.269,83.72,"to learn how not to take things personally, isn't it?"""
83.965,89.194,Because the spectators hardly ever shout encouraging or positive things.
89.194,90.878,No. What do they shout?
90.878,91.876,"Come on, come on."
91.876,93.61,"""Loser! Are you blind?"""
93.61,95.96,"Yeah, yeah, good!"
96.415,99.126,"As a referee, I am the scapegoat."
99.649,101.881,"Apparently, I'm always wrong."
101.881,104.411,It's always my fault.
104.411,109.29,And I wanted to learn how not to take all this personally.
111.227,113.859,Because I really struggle with this.
114.209,116.932,"For example, when I drive slowly"
116.932,120.405,because I'm trying to find a specific location
120.405,123.705,"and somebody is just driving behind me,"
123.705,125.275,I feel hunted.
125.275,128.628,"Especially when they start honking and flashing their headlights,"
130.226,131.52,I take it personally.
131.52,136.4,"I know I shouldn't, but it just happens."
136.42,138.472,Do you see what I mean?
139.152,142.177,"Or when somebody cancels an appointment last minute,"
142.493,145.253,I get the feeling that I'm not important enough.
145.402,148.789,"Again, I take it personally."
150.073,151.774,Even professionally.
151.791,153.513,"I'm a public speaker, like tonight."
153.513,154.833,This is what I do.
154.833,157.846,"I give keynote speeches, and I really like it"
157.846,161.126,as long as I can draw my audience into my story.
161.931,166.458,Because the very moment I see somebody is not paying attention -
166.458,169.448,"for example, when somebody is looking at his smartphone -"
169.848,172.069,it just happens:
172.069,174.115,I take it personally.
174.722,175.898,Relax!
175.898,178.448,You are safe tonight. Don't worry.
178.448,180.207,"Feel free to take your smartphones,"
180.207,182.514,and you can even start talking to your neighbor.
182.514,184.916,I will not take it personally.
184.916,186.076,Why not?
186.076,190.256,"Because now, here and now, I'm very conscious that this can happen."
190.256,193.98,"And more importantly, I have a strategy to deal with it."
195.039,199.36,"So tonight, I would like to share this strategy with you."
199.906,201.406,Are you interested?
201.91,203.414,Cool.
203.414,206.866,"Because, I guess, I'm not the only person in this room"
206.866,209.673,"who sometimes takes things personally, right?"
210.636,212.003,Imagine -
212.253,215.571,"imagine you invite a friend to go to the movies, and she replies,"
215.571,217.584,"""Oh, sorry, I have to work."""
217.934,221.304,But you see a picture on social media
221.304,225.748,of her having dinner with some friends that very night!
227.243,230.935,Or imagine you really have worked very hard on a project.
230.935,232.998,"You're really proud of the end result,"
233.639,237.21,but the only thing you get is criticism.
237.299,238.621,"So you come home,"
238.621,243.023,and you would like to wind down and share this terrible experience.
243.227,245.305,"But while you're telling your story,"
245.305,248.902,the other one walks away to switch on the TV.
249.804,253.353,"Now, who would take one of these situations personally?"
253.353,255.07,"Show me hands, come on."
255.563,257.1,Lots of you.
258.05,259.3,Why?
259.79,262.136,Why do we take things personally?
